source,level_1,method,candidate_mode,size,tower_count,stop_count,uncertainty,n,makespan_mean,makespan_sd,total_vehicle_distance_mean,total_vehicle_distance_sd,expected_energy_mean,expected_energy_sd,energy_violation_rate_mean,energy_violation_rate_sd,infeasible_sortie_rate_mean,infeasible_sortie_rate_sd,risk_weighted_completion_time_mean,risk_weighted_completion_time_sd,top_risk_coverage_mean,top_risk_coverage_sd,feasible_top_risk_coverage_mean,feasible_top_risk_coverage_sd,sortie_count_mean,sortie_count_sd,avg_towers_per_sortie_mean,avg_towers_per_sortie_sd,missed_value_mean,missed_value_sd,solver_runtime_mean,solver_runtime_sd,objective_value_mean,objective_value_sd,milp_gap_mean,milp_gap_sd,milp_optimizes_rwct_mean,milp_optimizes_rwct_sd,optimality_gap_pct_mean,optimality_gap_pct_sd,total_candidate_pairs_mean,total_candidate_pairs_sd,screened_pair_count_mean,screened_pair_count_sd,candidate_pair_reduction_mean,candidate_pair_reduction_sd,feasible_candidate_pairs_mean,feasible_candidate_pairs_sd,alns_accepted_moves_mean,alns_accepted_moves_sd,alns_improving_moves_mean,alns_improving_moves_sd,alns_rejected_moves_mean,alns_rejected_moves_sd,alns_best_updates_mean,alns_best_updates_sd,alns_objective_evaluations_mean,alns_objective_evaluations_sd,alns_score_cache_size_mean,alns_score_cache_size_sd,alns_repair_position_evaluations_mean,alns_repair_position_evaluations_sd,alns_portfolio_candidate_count_mean,alns_portfolio_candidate_count_sd,alns_selected_portfolio_infeasible_count_mean,alns_selected_portfolio_infeasible_count_sd,alns_selected_portfolio_rwct_mean,alns_selected_portfolio_rwct_sd,alns_selected_portfolio_makespan_mean,alns_selected_portfolio_makespan_sd,destroy_random_removal_uses_mean,destroy_random_removal_uses_sd,destroy_worst_energy_removal_uses_mean,destroy_worst_energy_removal_uses_sd,destroy_shaw_related_removal_uses_mean,destroy_shaw_related_removal_uses_sd,destroy_path_segment_removal_uses_mean,destroy_path_segment_removal_uses_sd,destroy_uav_chain_removal_uses_mean,destroy_uav_chain_removal_uses_sd,repair_greedy_insert_repair_uses_mean,repair_greedy_insert_repair_uses_sd,repair_regret_insert_repair_uses_mean,repair_regret_insert_repair_uses_sd,repair_energy_minimum_insert_repair_uses_mean,repair_energy_minimum_insert_repair_uses_sd,repair_synchronization_aware_insert_repair_uses_mean,repair_synchronization_aware_insert_repair_uses_sd,baseline_candidate_evaluations_mean,baseline_candidate_evaluations_sd,baseline_generations_mean,baseline_generations_sd,baseline_population_size_mean,baseline_population_size_sd,baseline_ant_count_mean,baseline_ant_count_sd,baseline_best_order_score_mean,baseline_best_order_score_sd,alns_risk_value_weight_mean,alns_risk_value_weight_sd,alns_adaptive_enabled_mean,alns_adaptive_enabled_sd,baseline_method,proposed_method,metric,baseline_mean,proposed_mean,effect_abs,effect_pct,median_effect_abs,median_effect_pct,paired_diff_ci95_low,paired_diff_ci95_high,improvement_count,worsening_count,tie_count,rank_biserial_effect,p_value,lower_is_better,p_holm
P6,0,alns_pinn_full,dbscan,M,30,15.0,medium,10,217.157081,14.25596,119.860289,25.981634,3549.564663,175.014493,0.372758,0.066218,0.372758,0.066218,51.838666,9.101781,0.828572,0.18808,0.528571,0.165643,29.5,0.527046,1.017241,0.018174,910.8311,224.097247,0.036379,0.0022,2945.775786,300.433459,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,55.6,2.951459,0.382222,0.032794,12.8,1.47573,76.0,3.018462,12.2,2.299758,24.0,3.018462,10.3,2.359378,101.0,0.0,30.0,0.0,500.0,0.0,3.1,0.316228,11.0,2.0,51.838666,9.101781,209.30546,15.987977,23.7,3.465705,19.0,2.94392,18.9,4.040077,18.3,5.417051,20.1,5.043147,36.7,5.186521,36.0,5.962848,11.2,1.686548,16.1,3.28126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
P6,1,alns_pinn_full,dbscan,M,50,25.0,medium,10,484.890849,39.436486,197.527492,45.077091,9092.628866,383.469864,0.624449,0.025652,0.624449,0.025652,120.103391,12.53832,0.825,0.186132,0.375,0.119477,49.8,0.421637,1.004082,0.008605,2386.56469,182.992553,0.060387,0.005234,10941.868831,1230.830483,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,74.0,3.399346,0.506667,0.022662,12.0,1.699673,75.9,3.17805,17.1,3.414023,24.1,3.17805,12.3,2.057507,101.0,0.0,50.0,0.0,900.0,0.0,3.6,0.516398,31.1,1.37032,120.103391,12.53832,478.351131,39.444827,23.0,6.531973,18.7,4.854551,19.0,2.624669,17.4,3.657564,21.9,4.771443,36.7,6.684144,35.8,6.56252,11.4,2.01108,16.1,2.601282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
P6,2,alns_pinn_full,dbscan,M,75,35.0,medium,10,395.390771,26.071439,139.302081,31.01092,19582.072198,1020.377643,0.766847,0.030839,0.766847,0.030839,91.465573,15.501697,0.844444,0.125051,0.272222,0.071482,74.6,0.516398,1.005406,0.006979,4204.99532,345.042118,0.095568,0.005371,13669.786593,1150.156269,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,100.0,2.867442,0.555555,0.012744,12.5,1.433721,76.4,2.796824,14.4,3.405877,23.6,2.796824,12.8,2.699794,101.0,0.0,75.0,0.0,1400.0,0.0,4.0,0.0,57.2,2.149935,91.465573,15.501697,387.543941,26.484999,22.2,5.391351,18.3,4.715224,20.3,4.922736,17.9,4.909175,21.3,4.498148,37.0,5.436502,38.5,5.502525,10.5,1.779513,14.0,2.788867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
P6,3,alns_pinn_full,dbscan,M,100,50.0,medium,10,658.9827,36.815727,168.007193,35.936383,33299.67009,2017.343232,0.809,0.021833,0.809,0.021833,155.442161,11.142721,0.772,0.130707,0.196,0.051467,100.0,0.0,1.0,0.0,6134.22218,374.650966,0.117773,0.01029,27949.729517,1208.156319,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,125.6,4.195235,0.581333,0.013984,12.8,2.097618,77.5,2.677063,16.1,4.771443,22.5,2.677063,14.9,3.414023,101.0,0.0,100.0,0.0,1800.0,0.0,4.0,0.0,80.9,2.18327,155.442161,11.142721,652.527228,36.409383,20.9,7.992357,17.6,3.062316,21.7,6.650814,17.2,3.765339,22.6,5.891614,37.1,5.321863,40.2,5.613476,10.1,1.72884,12.6,2.366432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
P6,4,alns_pinn_full,direct,M,30,15.0,medium,10,244.249398,15.463594,272.588733,21.7035,1591.167603,53.818693,0.0,0.0,0.0,0.0,58.435743,12.413761,0.957143,0.069006,0.957143,0.069006,29.7,0.674949,1.010591,0.023966,0.0,0.0,0.089574,0.017927,3398.357339,247.585112,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,450.0,0.0,0.0,0.0,55.9,5.546771,75.8,3.735714,16.1,7.078135,24.2,3.735714,3.4,1.074968,101.0,0.0,30.0,0.0,500.0,0.0,3.2,0.632456,0.0,0.0,58.435743,12.413761,230.235229,14.213541,21.5,5.147815,21.6,3.169297,22.8,4.962078,17.4,2.412928,16.7,4.137901,35.6,5.316641,33.5,6.059886,11.8,1.229273,19.1,3.95671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
P6,5,alns_pinn_full,direct,M,50,25.0,medium,10,486.230838,13.975809,615.921265,40.086501,2642.463786,90.68509,0.0,0.0,0.0,0.0,129.261218,10.871926,0.983333,0.035136,0.983333,0.035136,49.5,0.707107,1.010289,0.014632,0.0,0.0,0.212579,0.017745,11512.932367,548.985805,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,1250.0,0.0,0.0,0.0,96.5,7.245688,76.4,4.351245,17.0,7.659417,23.6,4.351245,5.7,2.057507,101.0,0.0,50.0,0.0,900.0,0.0,3.7,0.483046,0.0,0.0,129.261218,10.871926,463.748685,16.232986,21.8,4.391912,20.1,3.478505,20.9,5.40473,16.3,2.907844,20.9,5.586691,34.9,5.486347,36.1,5.363457,11.5,2.635231,17.5,5.060742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
P6,6,alns_pinn_full,direct,M,75,35.0,medium,10,522.923369,23.808486,1002.326649,70.161792,4301.452238,155.650238,0.024166,0.010493,0.024166,0.010493,131.906062,12.201581,0.972222,0.029281,0.966666,0.028689,74.4,1.074968,1.008258,0.01486,97.70803,49.677478,0.426334,0.025686,18605.680251,1060.449936,0.0,0.0,0.0,0.0,0.0,0.0,2625.0,0.0,2625.0,0.0,0.0,0.0,136.3,13.482911,77.8,2.097618,16.5,4.196559,22.2,2.097618,5.3,2.406011,101.0,0.0,75.0,0.0,1400.0,0.0,4.0,0.0,1.8,0.788811,131.906062,12.201581,494.603317,28.228134,18.8,5.977736,21.4,4.857983,21.9,6.118279,17.6,6.113737,20.3,4.831609,38.8,4.491968,35.0,5.270463,12.4,1.646545,13.8,2.936362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
P6,7,alns_pinn_full,direct,M,100,50.0,medium,10,759.651892,30.702499,1593.85446,91.800037,5201.95023,198.185437,0.002,0.004216,0.002,0.004216,202.916572,14.668944,0.964,0.022706,0.964,0.022706,99.9,0.316228,1.00101,0.003194,7.99663,17.302429,0.708802,0.051589,36553.396841,2107.647953,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,5000.0,0.0,0.0,0.0,204.1,21.12634,79.3,4.137901,22.5,7.074995,20.7,4.137901,8.0,3.431877,101.0,0.0,100.0,0.0,1800.0,0.0,4.0,0.0,0.2,0.421637,202.916572,14.668944,721.218398,27.3194,22.4,4.903513,19.1,4.840799,21.0,5.354126,15.9,2.558211,21.6,3.921451,36.5,5.441609,37.8,4.709329,10.2,2.20101,15.5,2.677063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
P6,8,alns_pinn_full,kmeans,M,30,15.0,medium,10,214.179103,10.301626,251.895086,20.813126,1351.908513,53.987464,0.0,0.0,0.0,0.0,53.218407,11.294679,0.957143,0.069006,0.957143,0.069006,29.9,0.316228,1.003448,0.010904,0.0,0.0,0.097861,0.025039,3034.156465,270.933949,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,90.0,0.0,0.8,0.0,55.5,4.813176,77.0,2.494438,17.5,5.759051,23.0,2.494438,3.6,1.349897,101.0,0.0,30.0,0.0,500.0,0.0,3.2,0.421637,0.0,0.0,53.218407,11.294679,203.849444,11.507567,21.6,6.275172,20.3,5.2079,20.8,6.663332,17.7,4.547282,19.6,4.857983,36.8,6.696599,33.8,7.083627,12.9,2.923088,16.5,4.377975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
P6,9,alns_pinn_full,kmeans,M,50,25.0,medium,10,445.924328,20.077717,590.755606,40.952068,2263.453217,81.824859,0.0,0.0,0.0,0.0,117.906843,9.94249,0.975,0.040254,0.975,0.040254,49.7,0.483046,1.006122,0.009858,0.0,0.0,0.218807,0.023713,10555.871309,551.97375,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,149.2,1.398412,0.88064,0.001119,93.9,6.436873,76.7,2.002776,19.6,6.586181,23.3,2.002776,5.0,2.788867,101.0,0.0,50.0,0.0,900.0,0.0,3.9,0.316228,0.0,0.0,117.906843,9.94249,426.669517,18.412528,19.8,4.565572,18.4,3.806427,21.6,2.988868,17.8,4.184628,22.4,5.481281,36.8,4.939636,34.9,4.012481,12.3,1.702939,16.0,2.867442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
P6,10,alns_pinn_full,kmeans,M,75,35.0,medium,10,481.828555,25.91452,988.951486,66.538026,3439.644367,110.35223,0.0,0.0,0.0,0.0,119.641339,13.510839,0.972222,0.029281,0.972222,0.029281,74.7,0.483046,1.004054,0.006528,0.0,0.0,0.427239,0.022495,17027.696882,1137.376729,0.0,0.0,0.0,0.0,0.0,0.0,2625.0,0.0,224.8,0.632456,0.914362,0.000241,135.7,14.150383,78.8,2.347576,21.4,4.742245,21.2,2.347576,5.5,2.54951,101.0,0.0,75.0,0.0,1400.0,0.0,4.0,0.0,0.0,0.0,119.641339,13.510839,453.486013,27.815218,21.9,6.983313,20.5,2.798809,22.5,4.453463,15.1,3.900142,20.0,4.966555,37.8,5.652925,35.9,6.590397,10.3,1.159502,16.0,3.399346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
P6,11,alns_pinn_full,kmeans,M,100,50.0,medium,10,705.812145,33.762288,1552.367843,98.522343,4414.698765,142.878695,0.0,0.0,0.0,0.0,186.19101,12.566846,0.976,0.033731,0.976,0.033731,99.9,0.316228,1.00101,0.003194,0.0,0.0,0.699399,0.059028,33706.048531,1629.308991,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,299.6,0.843274,0.94008,0.000169,200.3,21.197746,77.1,3.95671,23.0,7.483315,22.9,3.95671,7.8,3.489667,101.0,0.0,100.0,0.0,1800.0,0.0,4.0,0.0,0.0,0.0,186.19101,12.566846,675.456428,31.797962,22.0,5.617433,18.2,2.740641,21.3,5.538752,16.0,3.231787,22.5,4.766783,37.4,7.662318,36.0,6.992059,12.3,2.710064,14.3,2.213594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
P7,0,,,,30,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greedy_nearest,alns_pinn_full,makespan,182.886144,214.179103,-31.292959,-17.110623,-25.498929,-13.942516,-46.819053,-21.839894,0.0,10.0,0.0,-1.0,0.00195312,True,0.01171872
P7,1,,,,30,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ga,alns_pinn_full,makespan,221.661364,214.179103,7.482261,3.375537,8.772326,3.957535,-6.507448,19.849162,7.0,3.0,0.0,0.490909,0.19335938,True,0.8647746
P7,2,,,,30,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aco,alns_pinn_full,makespan,219.607284,214.179103,5.428181,2.471767,9.439993,4.298579,-10.793985,13.517066,7.0,3.0,0.0,0.2,0.625,True,1.0
P7,3,,,,30,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alns_fixed,alns_pinn_full,makespan,212.294024,214.179103,-1.885079,-0.887957,-5.612085,-2.643544,-21.89471,19.526335,5.0,5.0,0.0,-0.018182,1.0,True,1.0
