"case_id","method","tower_count","stop_count","makespan_mean","risk_weighted_completion_time_mean","top_risk_coverage_mean","infeasible_sortie_rate_mean","sortie_count_mean","avg_towers_per_sortie_mean","solver_runtime_mean"
"public_bay_area_full","aco","60","30","299.285345","104.488883","1.0","0.0","60.0","1.0","0.193368"
"public_bay_area_full","alns_fixed","60","30","328.208489","147.706862","0.2","0.0","60.0","1.0","0.207141"
"public_bay_area_full","alns_pinn","60","30","312.553435","107.824303","0.933333","0.0","60.0","1.0","0.070793"
"public_bay_area_full","alns_pinn_full","60","30","304.581867","104.769423","1.0","0.0","58.0","1.034483","0.299021"
"public_bay_area_full","alns_pinn_uq","60","30","312.143245","107.608216","0.933333","0.0","59.0","1.016949","0.070791"
"public_bay_area_full","ga","60","30","304.349957","107.109277","1.0","0.0","60.0","1.0","0.122027"
"public_bay_area_full","greedy_nearest","60","30","323.252792","140.926787","0.4","0.0","60.0","1.0","0.006841"
"public_dallas_fort_worth_full","aco","60","30","555.466734","155.515868","1.0","0.116667","60.0","1.0","0.185601"
"public_dallas_fort_worth_full","alns_fixed","60","30","600.915051","316.928271","0.0","0.116667","60.0","1.0","0.243507"
"public_dallas_fort_worth_full","alns_pinn","60","30","544.038971","153.353204","1.0","0.116667","60.0","1.0","0.077317"
"public_dallas_fort_worth_full","alns_pinn_full","60","30","535.560539","152.205394","0.866667","0.1","60.0","1.0","0.232123"
"public_dallas_fort_worth_full","alns_pinn_uq","60","30","566.696791","156.64829","1.0","0.1","60.0","1.0","0.070715"
"public_dallas_fort_worth_full","ga","60","30","555.466734","155.515868","1.0","0.116667","60.0","1.0","0.102005"
"public_dallas_fort_worth_full","greedy_nearest","60","30","599.581422","303.262491","0.066667","0.116667","60.0","1.0","0.009576"
"public_los_angeles_inland_full","aco","60","30","427.067658","141.320984","0.933333","0.0","60.0","1.0","0.224348"
"public_los_angeles_inland_full","alns_fixed","60","30","423.163689","209.687415","0.133333","0.0","60.0","1.0","0.192279"
"public_los_angeles_inland_full","alns_pinn","60","30","428.78937","141.84713","0.933333","0.0","60.0","1.0","0.057007"
"public_los_angeles_inland_full","alns_pinn_full","60","30","434.993955","142.42789","0.933333","0.0","59.0","1.016949","0.296036"
"public_los_angeles_inland_full","alns_pinn_uq","60","30","428.78937","141.84713","0.933333","0.0","60.0","1.0","0.063658"
"public_los_angeles_inland_full","ga","60","30","427.067658","141.320984","0.933333","0.0","60.0","1.0","0.133858"
"public_los_angeles_inland_full","greedy_nearest","60","30","461.809674","229.691103","0.2","0.0","60.0","1.0","0.008105"
