method,candidate_mode,size,tower_count,stop_count,uncertainty,n,makespan_mean,makespan_sd,total_vehicle_distance_mean,total_vehicle_distance_sd,expected_energy_mean,expected_energy_sd,energy_violation_rate_mean,energy_violation_rate_sd,infeasible_sortie_rate_mean,infeasible_sortie_rate_sd,risk_weighted_completion_time_mean,risk_weighted_completion_time_sd,top_risk_coverage_mean,top_risk_coverage_sd,feasible_top_risk_coverage_mean,feasible_top_risk_coverage_sd,sortie_count_mean,sortie_count_sd,avg_towers_per_sortie_mean,avg_towers_per_sortie_sd,missed_value_mean,missed_value_sd,solver_runtime_mean,solver_runtime_sd,objective_value_mean,objective_value_sd,milp_gap_mean,milp_gap_sd,milp_optimizes_rwct_mean,milp_optimizes_rwct_sd,optimality_gap_pct_mean,optimality_gap_pct_sd,total_candidate_pairs_mean,total_candidate_pairs_sd,screened_pair_count_mean,screened_pair_count_sd,candidate_pair_reduction_mean,candidate_pair_reduction_sd,feasible_candidate_pairs_mean,feasible_candidate_pairs_sd,alns_accepted_moves_mean,alns_accepted_moves_sd,alns_improving_moves_mean,alns_improving_moves_sd,alns_rejected_moves_mean,alns_rejected_moves_sd,alns_best_updates_mean,alns_best_updates_sd,alns_objective_evaluations_mean,alns_objective_evaluations_sd,alns_score_cache_size_mean,alns_score_cache_size_sd,alns_repair_position_evaluations_mean,alns_repair_position_evaluations_sd,destroy_random_removal_uses_mean,destroy_random_removal_uses_sd,destroy_worst_energy_removal_uses_mean,destroy_worst_energy_removal_uses_sd,destroy_shaw_related_removal_uses_mean,destroy_shaw_related_removal_uses_sd,destroy_path_segment_removal_uses_mean,destroy_path_segment_removal_uses_sd,destroy_uav_chain_removal_uses_mean,destroy_uav_chain_removal_uses_sd,repair_greedy_insert_repair_uses_mean,repair_greedy_insert_repair_uses_sd,repair_regret_insert_repair_uses_mean,repair_regret_insert_repair_uses_sd,repair_energy_minimum_insert_repair_uses_mean,repair_energy_minimum_insert_repair_uses_sd,repair_synchronization_aware_insert_repair_uses_mean,repair_synchronization_aware_insert_repair_uses_sd,baseline_candidate_evaluations_mean,baseline_candidate_evaluations_sd,baseline_generations_mean,baseline_generations_sd,baseline_population_size_mean,baseline_population_size_sd,baseline_ant_count_mean,baseline_ant_count_sd,baseline_best_order_score_mean,baseline_best_order_score_sd,alns_risk_value_weight_mean,alns_risk_value_weight_sd,alns_adaptive_enabled_mean,alns_adaptive_enabled_sd,surface_z_rwct
alns_pinn_full,dbscan,M,30,15,medium,10,222.350661,19.212617,123.195945,28.583295,3549.396682,163.95283,0.373555,0.071148,0.373555,0.071148,53.287015,9.772913,0.742857,0.131277,0.514286,0.167684,29.5,0.707107,1.017488,0.024969,910.8311,224.097247,0.02665,0.007363,2817.861241,256.013697,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,55.6,2.951459,0.382222,0.032794,12.8,1.47573,76.0,3.018462,12.2,2.299758,24.0,3.018462,10.3,2.359378,101.0,0.0,30.0,0.0,500.0,0.0,23.7,3.465705,19.0,2.94392,18.9,4.040077,18.3,5.417051,20.1,5.043147,36.7,5.186521,36.0,5.962848,11.2,1.686548,16.1,3.28126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,53.287015
alns_pinn_full,dbscan,M,50,25,medium,10,492.635103,34.56098,202.114563,37.578822,9084.446937,401.979594,0.626866,0.021857,0.626866,0.021857,123.663353,13.091434,0.7,0.125462,0.383333,0.125462,49.6,0.699206,1.008248,0.014487,2386.56469,182.992553,0.045466,0.016061,10716.368828,918.836073,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,74.0,3.399346,0.506667,0.022662,12.0,1.699673,75.9,3.17805,17.1,3.414023,24.1,3.17805,12.3,2.057507,101.0,0.0,50.0,0.0,900.0,0.0,23.0,6.531973,18.7,4.854551,19.0,2.624669,17.4,3.657564,21.9,4.771443,36.7,6.684144,35.8,6.56252,11.4,2.01108,16.1,2.601282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,123.663353
alns_pinn_full,dbscan,M,75,35,medium,10,425.340937,29.549577,168.480701,20.671549,19584.42463,1021.60484,0.76582,0.030883,0.76582,0.030883,97.062318,15.366385,0.711111,0.068293,0.272222,0.071482,74.7,0.483046,1.004054,0.006528,4204.99532,345.042118,0.053734,0.00419,13465.113097,1162.612846,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,100.0,2.867442,0.555555,0.012744,12.5,1.433721,76.4,2.796824,14.4,3.405877,23.6,2.796824,12.8,2.699794,101.0,0.0,75.0,0.0,1400.0,0.0,22.2,5.391351,18.3,4.715224,20.3,4.922736,17.9,4.909175,21.3,4.498148,37.0,5.436502,38.5,5.502525,10.5,1.779513,14.0,2.788867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,97.062318
alns_pinn_full,dbscan,M,100,50,medium,10,687.001489,35.630444,201.426215,48.112785,33299.67009,2017.343232,0.809,0.021833,0.809,0.021833,158.817688,11.541295,0.688,0.064773,0.192,0.049171,100.0,0.0,1.0,0.0,6134.22218,374.650966,0.071415,0.013812,27835.720497,1365.288095,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,125.6,4.195235,0.581333,0.013984,12.8,2.097618,77.5,2.677063,16.1,4.771443,22.5,2.677063,14.9,3.414023,101.0,0.0,100.0,0.0,1800.0,0.0,20.9,7.992357,17.6,3.062316,21.7,6.650814,17.2,3.765339,22.6,5.891614,37.1,5.321863,40.2,5.613476,10.1,1.72884,12.6,2.366432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,158.817688
alns_pinn_full,direct,M,30,15,medium,10,251.040881,9.955117,279.323408,16.30748,1575.706422,64.896944,0.0,0.0,0.0,0.0,60.461036,12.479114,0.971429,0.060234,0.971429,0.060234,29.0,1.054093,1.035742,0.038503,0.0,0.0,0.055581,0.014189,3516.346145,227.685882,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,450.0,0.0,0.0,0.0,55.9,5.546771,75.8,3.735714,16.1,7.078135,24.2,3.735714,3.4,1.074968,101.0,0.0,30.0,0.0,500.0,0.0,21.5,5.147815,21.6,3.169297,22.8,4.962078,17.4,2.412928,16.7,4.137901,35.6,5.316641,33.5,6.059886,11.8,1.229273,19.1,3.95671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,60.461036
alns_pinn_full,direct,M,50,25,medium,10,495.780945,13.538854,633.790489,31.23861,2641.432089,95.125284,0.0,0.0,0.0,0.0,131.402052,12.889547,0.966667,0.043033,0.966667,0.043033,49.5,0.527046,1.010204,0.010756,0.0,0.0,0.146167,0.038704,11738.487507,688.789473,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,1250.0,0.0,0.0,0.0,96.5,7.245688,76.4,4.351245,17.0,7.659417,23.6,4.351245,5.7,2.057507,101.0,0.0,50.0,0.0,900.0,0.0,21.8,4.391912,20.1,3.478505,20.9,5.40473,16.3,2.907844,20.9,5.586691,34.9,5.486347,36.1,5.363457,11.5,2.635231,17.5,5.060742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,131.402052
alns_pinn_full,direct,M,75,35,medium,10,536.832637,32.682347,1039.753774,108.530256,4293.403528,172.142252,0.024181,0.010416,0.024181,0.010416,136.202483,16.226724,0.944444,0.026189,0.944444,0.026189,74.2,0.788811,1.010885,0.010785,97.70803,49.677478,0.219932,0.036166,18839.886896,1339.782821,0.0,0.0,0.0,0.0,0.0,0.0,2625.0,0.0,2625.0,0.0,0.0,0.0,136.3,13.482911,77.8,2.097618,16.5,4.196559,22.2,2.097618,5.3,2.406011,101.0,0.0,75.0,0.0,1400.0,0.0,18.8,5.977736,21.4,4.857983,21.9,6.118279,17.6,6.113737,20.3,4.831609,38.8,4.491968,35.0,5.270463,12.4,1.646545,13.8,2.936362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,136.202483
alns_pinn_full,direct,M,100,50,medium,10,778.134878,44.067236,1645.096621,145.59356,5196.826336,197.080801,0.00201,0.004238,0.00201,0.004238,205.796721,15.534019,0.968,0.016865,0.968,0.016865,99.7,0.483046,1.00303,0.004879,7.99663,17.302429,0.361314,0.036138,37074.661568,2440.871922,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,5000.0,0.0,0.0,0.0,204.1,21.12634,79.3,4.137901,22.5,7.074995,20.7,4.137901,8.0,3.431877,101.0,0.0,100.0,0.0,1800.0,0.0,22.4,4.903513,19.1,4.840799,21.0,5.354126,15.9,2.558211,21.6,3.921451,36.5,5.441609,37.8,4.709329,10.2,2.20101,15.5,2.677063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,205.796721
alns_pinn_full,kmeans,M,30,15,medium,10,221.611794,20.412457,264.301066,27.324514,1348.459706,54.524708,0.0,0.0,0.0,0.0,54.098828,11.506076,0.957143,0.069006,0.957143,0.069006,29.7,0.483046,1.010345,0.016657,0.0,0.0,0.054648,0.014136,3094.830314,283.372201,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,90.0,0.0,0.8,0.0,55.5,4.813176,77.0,2.494438,17.5,5.759051,23.0,2.494438,3.6,1.349897,101.0,0.0,30.0,0.0,500.0,0.0,21.6,6.275172,20.3,5.2079,20.8,6.663332,17.7,4.547282,19.6,4.857983,36.8,6.696599,33.8,7.083627,12.9,2.923088,16.5,4.377975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,54.098828
alns_pinn_full,kmeans,M,50,25,medium,10,446.845101,17.785755,589.205089,38.611417,2255.428975,83.76319,0.0,0.0,0.0,0.0,120.194977,8.780002,0.925,0.047304,0.925,0.047304,49.4,0.516398,1.012245,0.010539,0.0,0.0,0.148678,0.0329,10736.58206,358.475958,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,149.2,1.398412,0.88064,0.001119,93.9,6.436873,76.7,2.002776,19.6,6.586181,23.3,2.002776,5.0,2.788867,101.0,0.0,50.0,0.0,900.0,0.0,19.8,4.565572,18.4,3.806427,21.6,2.988868,17.8,4.184628,22.4,5.481281,36.8,4.939636,34.9,4.012481,12.3,1.702939,16.0,2.867442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,120.194977
