method,size,uncertainty,n,makespan_mean,makespan_sd,total_vehicle_distance_mean,total_vehicle_distance_sd,expected_energy_mean,expected_energy_sd,energy_violation_rate_mean,energy_violation_rate_sd,infeasible_sortie_rate_mean,infeasible_sortie_rate_sd,risk_weighted_completion_time_mean,risk_weighted_completion_time_sd,top_risk_coverage_mean,top_risk_coverage_sd,missed_value_mean,missed_value_sd,solver_runtime_mean,solver_runtime_sd
aco,M,medium,3,100.608381,1.193898,779.54079,65.69282,2934.484625,70.370932,0.0,0.0,0.0,0.0,66630.346036,5666.616373,0.25,0.083333,0.0,0.0,0.032842,0.001241
alns_fixed,M,medium,3,100.608381,1.193898,779.54079,65.69282,2934.484625,70.370932,0.0,0.0,0.0,0.0,66630.346036,5666.616373,0.25,0.083333,0.0,0.0,0.030748,0.001468
alns_point,M,medium,3,100.20263,0.639993,745.121529,51.248173,2931.771775,70.067171,0.0,0.0,0.0,0.0,41312.519166,3446.850619,0.861111,0.048113,0.0,0.0,0.03394,0.000981
ga,M,medium,3,100.608381,1.193898,779.54079,65.69282,2934.484625,70.370932,0.0,0.0,0.0,0.0,66630.346036,5666.616373,0.25,0.083333,0.0,0.0,0.031722,0.002596
greedy_nearest,M,medium,3,100.608381,1.193898,779.54079,65.69282,2934.484625,70.370932,0.0,0.0,0.0,0.0,66630.346036,5666.616373,0.25,0.083333,0.0,0.0,0.001065,6e-05
greedy_value,M,medium,3,99.903852,0.371287,741.044878,82.25015,2931.771775,70.067171,0.0,0.0,0.0,0.0,41377.611951,3531.527514,0.888889,0.048113,0.0,0.0,0.00468,0.000439
random_feasible,M,medium,3,99.694649,2.627888,781.99026,8.429469,2934.484625,70.370932,0.0,0.0,0.0,0.0,68044.734447,4475.399383,0.305556,0.19245,0.0,0.0,0.000713,2.2e-05
rv_alns,M,medium,3,100.046983,0.688201,799.285537,42.917472,2931.771775,70.067171,0.0,0.0,0.0,0.0,41024.499321,3453.366989,0.888889,0.048113,0.0,0.0,0.004879,0.000563
uq_alns,M,medium,3,100.20263,0.639993,742.267641,55.206095,2931.771775,70.067171,0.0,0.0,0.0,0.0,41312.584188,3446.764405,0.861111,0.048113,0.0,0.0,0.034098,0.002057
uq_rv_alns,M,medium,3,100.046983,0.688201,799.285537,42.917472,2931.771775,70.067171,0.0,0.0,0.0,0.0,41024.499321,3453.366989,0.888889,0.048113,0.0,0.0,0.005028,0.000555
