experiment,size,seed,uncertainty,method,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime
E2_core_comparison,M,0,medium,greedy_nearest,99.788458,719.596821,2913.698262,0.0,0.0,71227.439908,0.25,0,0.001094
E2_core_comparison,M,0,medium,greedy_value,99.482945,749.795721,2913.698262,0.0,0.0,40612.157924,0.833333,0,0.005184
E2_core_comparison,M,0,medium,random_feasible,99.357954,774.918193,2913.698262,0.0,0.0,63031.276223,0.416667,0,0.000734
E2_core_comparison,M,0,medium,ga,99.788458,719.596821,2913.698262,0.0,0.0,71227.439908,0.25,0,0.029387
E2_core_comparison,M,0,medium,aco,99.788458,719.596821,2913.698262,0.0,0.0,71227.439908,0.25,0,0.031498
E2_core_comparison,M,0,medium,alns_fixed,99.788458,719.596821,2913.698262,0.0,0.0,71227.439908,0.25,0,0.030533
E2_core_comparison,M,0,medium,alns_point,99.482945,736.448487,2913.698262,0.0,0.0,40618.214188,0.833333,0,0.034418
E2_core_comparison,M,0,medium,uq_alns,99.482945,736.448487,2913.698262,0.0,0.0,40618.214188,0.833333,0,0.035082
E2_core_comparison,M,0,medium,rv_alns,99.304505,848.780732,2913.698262,0.0,0.0,40208.171574,0.916667,0,0.004797
E2_core_comparison,M,0,medium,uq_rv_alns,99.304505,848.780732,2913.698262,0.0,0.0,40208.171574,0.916667,0,0.005666
E2_core_comparison,M,1,medium,greedy_nearest,100.058557,849.76929,2876.848302,0.0,0.0,60299.357276,0.333333,0,0.001104
E2_core_comparison,M,1,medium,greedy_value,100.184891,654.769187,2872.511976,0.0,0.0,38291.586065,0.916667,0,0.004476
E2_core_comparison,M,1,medium,random_feasible,97.251336,779.734458,2876.848302,0.0,0.0,71636.879199,0.083333,0,0.000713
E2_core_comparison,M,1,medium,ga,100.058557,849.76929,2876.848302,0.0,0.0,60299.357276,0.333333,0,0.034517
E2_core_comparison,M,1,medium,aco,100.058557,849.76929,2876.848302,0.0,0.0,60299.357276,0.333333,0,0.033945
E2_core_comparison,M,1,medium,alns_fixed,100.058557,849.76929,2876.848302,0.0,0.0,60299.357276,0.333333,0,0.032312
E2_core_comparison,M,1,medium,alns_point,100.707838,698.763287,2872.511976,0.0,0.0,38265.671855,0.916667,0,0.03459
E2_core_comparison,M,1,medium,uq_alns,100.707838,690.201623,2872.511976,0.0,0.0,38265.866921,0.916667,0,0.035478
E2_core_comparison,M,1,medium,rv_alns,100.663508,772.39816,2872.511976,0.0,0.0,38052.433866,0.916667,0,0.005478
E2_core_comparison,M,1,medium,uq_rv_alns,100.663508,772.39816,2872.511976,0.0,0.0,38052.433866,0.916667,0,0.004763
E2_core_comparison,M,2,medium,greedy_nearest,101.978127,769.25626,3012.90731,0.0,0.0,68364.240923,0.166667,0,0.000996
E2_core_comparison,M,2,medium,greedy_value,100.043719,818.569727,3009.105088,0.0,0.0,45229.091865,0.916667,0,0.004381
E2_core_comparison,M,2,medium,random_feasible,102.474658,791.318128,3012.90731,0.0,0.0,69466.047919,0.416667,0,0.000691
E2_core_comparison,M,2,medium,ga,101.978127,769.25626,3012.90731,0.0,0.0,68364.240923,0.166667,0,0.031263
E2_core_comparison,M,2,medium,aco,101.978127,769.25626,3012.90731,0.0,0.0,68364.240923,0.166667,0,0.033084
E2_core_comparison,M,2,medium,alns_fixed,101.978127,769.25626,3012.90731,0.0,0.0,68364.240923,0.166667,0,0.029399
E2_core_comparison,M,2,medium,alns_point,100.417108,800.152813,3009.105088,0.0,0.0,45053.671454,0.833333,0,0.032812
E2_core_comparison,M,2,medium,uq_alns,100.417108,800.152813,3009.105088,0.0,0.0,45053.671454,0.833333,0,0.031733
E2_core_comparison,M,2,medium,rv_alns,100.172936,776.67772,3009.105088,0.0,0.0,44812.892524,0.833333,0,0.004361
E2_core_comparison,M,2,medium,uq_rv_alns,100.172936,776.67772,3009.105088,0.0,0.0,44812.892524,0.833333,0,0.004656
