tower,risk_value,mean_energy,q95_energy,duration,battery_limit,margin
3,193.68665087,82.739595,126.861055,13.540723,132.0,5.138945000000007
33,97.14012048000001,61.678441,94.568894,10.496847,132.0,37.431106
23,70.7797035,45.332837,69.506884,6.63329,132.0,62.493116
7,68.12608684,36.350852,55.735194,8.274145,132.0,76.264806
44,60.830555440000005,43.42153,66.576359,6.268873,132.0,65.423641
46,56.193473999999995,83.303752,127.726051,13.129549,132.0,4.273949000000002
43,49.99022238,55.852033,85.635515,8.906468,132.0,46.364485
12,48.14049798,60.567541,92.8656,7.369106,132.0,39.1344
24,46.96416344,71.798391,110.085377,9.305129,132.0,21.914623000000006
35,44.12783193,51.092011,78.337177,9.77771,132.0,53.662823
14,38.473683380000004,37.054976,56.814796,6.235914,132.0,75.185204
6,37.49733925,35.188842,53.953534,5.852798,132.0,78.04646600000001
47,34.68425702,62.451733,95.75455,10.741269,132.0,36.245450000000005
9,34.40146506,60.878086,93.341745,10.988306,132.0,38.658255
10,34.2351604,77.046789,118.13252,10.626474,132.0,13.86748
26,33.48579105,85.279443,130.755293,12.801361,132.0,1.2447070000000053
45,32.72475962,46.8171,71.782641,8.434741,132.0,60.217359
49,28.51588908,63.369251,97.161341,9.240257,132.0,34.83865900000001
0,28.308176,34.784205,53.333122,5.972529,132.0,78.666878
39,25.60657763,50.345931,77.193246,10.242969,132.0,54.806754
36,25.1186772,53.04086,81.325265,7.575503,132.0,50.674735
20,24.609377379999998,71.102507,109.018409,9.909101,132.0,22.981590999999995
25,24.2403384,50.639105,77.642756,6.630794,132.0,54.357243999999994
32,22.05223488,57.338931,87.915311,9.200681,132.0,44.084689
