experiment,size,seed,uncertainty,method,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime
E3_uncertainty_robustness,M,0,low,alns_point,99.482945,736.448487,2913.698262,0.0,0.0,40618.214188,0.833333,0,0.040124
E3_uncertainty_robustness,M,0,low,uq_alns,99.482945,736.448487,2913.698262,0.0,0.0,40618.214188,0.833333,0,0.043986
E3_uncertainty_robustness,M,0,low,uq_rv_alns,99.304505,848.780732,2913.698262,0.0,0.0,40208.171574,0.916667,0,0.005267
E3_uncertainty_robustness,M,0,medium,alns_point,99.482945,736.448487,2913.698262,0.0,0.0,40618.214188,0.833333,0,0.035993
E3_uncertainty_robustness,M,0,medium,uq_alns,99.482945,736.448487,2913.698262,0.0,0.0,40618.214188,0.833333,0,0.044193
E3_uncertainty_robustness,M,0,medium,uq_rv_alns,99.304505,848.780732,2913.698262,0.0,0.0,40208.171574,0.916667,0,0.005444
E3_uncertainty_robustness,M,0,high,alns_point,99.482945,736.448487,2913.698262,0.02,0.02,40618.214188,0.833333,0,0.039718
E3_uncertainty_robustness,M,0,high,uq_alns,100.63969,736.448487,2915.696658,0.0,0.0,40621.947776,0.833333,0,0.042216
E3_uncertainty_robustness,M,0,high,uq_rv_alns,100.46125,848.780732,2915.696658,0.0,0.0,40211.905161,0.916667,0,0.004804
E3_uncertainty_robustness,M,1,low,alns_point,100.707838,698.763287,2872.511976,0.0,0.0,38265.671855,0.916667,0,0.035182
E3_uncertainty_robustness,M,1,low,uq_alns,100.707838,690.201623,2872.511976,0.0,0.0,38265.866921,0.916667,0,0.040631
E3_uncertainty_robustness,M,1,low,uq_rv_alns,100.663508,772.39816,2872.511976,0.0,0.0,38052.433866,0.916667,0,0.007095
E3_uncertainty_robustness,M,1,medium,alns_point,100.707838,698.763287,2872.511976,0.0,0.0,38265.671855,0.916667,0,0.040371
E3_uncertainty_robustness,M,1,medium,uq_alns,100.707838,690.201623,2872.511976,0.0,0.0,38265.866921,0.916667,0,0.044157
E3_uncertainty_robustness,M,1,medium,uq_rv_alns,100.663508,772.39816,2872.511976,0.0,0.0,38052.433866,0.916667,0,0.006911
E3_uncertainty_robustness,M,1,high,alns_point,100.707838,698.763287,2872.511976,0.0,0.0,38265.671855,0.916667,0,0.044094
E3_uncertainty_robustness,M,1,high,uq_alns,100.707838,690.201623,2872.511976,0.0,0.0,38265.866921,0.916667,0,0.042173
E3_uncertainty_robustness,M,1,high,uq_rv_alns,100.663508,772.39816,2872.511976,0.0,0.0,38052.433866,0.916667,0,0.007522
E3_uncertainty_robustness,M,2,low,alns_point,100.417108,800.152813,3009.105088,0.0,0.0,45053.671454,0.833333,0,0.039073
E3_uncertainty_robustness,M,2,low,uq_alns,100.417108,800.152813,3009.105088,0.0,0.0,45053.671454,0.833333,0,0.040887
