experiment,size,seed,uncertainty,method,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime
E3_uncertainty_robustness,M,0,low,alns_point,99.482945,736.448487,2913.698262,0.0,0.0,40618.214188,0.833333,0,0.035892
E3_uncertainty_robustness,M,0,low,uq_alns,99.482945,736.448487,2913.698262,0.0,0.0,40618.214188,0.833333,0,0.038949
E3_uncertainty_robustness,M,0,low,uq_rv_alns,99.482945,736.448487,2913.698262,0.0,0.0,40618.214188,0.833333,0,0.038307
E3_uncertainty_robustness,M,0,medium,alns_point,99.482945,736.448487,2913.698262,0.0,0.0,40618.214188,0.833333,0,0.041328
E3_uncertainty_robustness,M,0,medium,uq_alns,99.482945,736.448487,2913.698262,0.0,0.0,40618.214188,0.833333,0,0.035457
E3_uncertainty_robustness,M,0,medium,uq_rv_alns,99.482945,736.448487,2913.698262,0.0,0.0,40618.214188,0.833333,0,0.040374
E3_uncertainty_robustness,M,0,high,alns_point,99.482945,736.448487,2913.698262,0.02,0.02,40618.214188,0.833333,0,0.041845
E3_uncertainty_robustness,M,0,high,uq_alns,99.482945,736.448487,2913.698262,0.02,0.02,40618.214188,0.833333,32.0523,0.039197
E3_uncertainty_robustness,M,0,high,uq_rv_alns,99.482945,736.448487,2913.698262,0.02,0.02,40618.214188,0.833333,32.0523,0.042444
E3_uncertainty_robustness,M,1,low,alns_point,100.707838,698.763287,2872.511976,0.0,0.0,38265.671855,0.916667,0,0.033773
E3_uncertainty_robustness,M,1,low,uq_alns,100.707838,690.201623,2872.511976,0.0,0.0,38265.866921,0.916667,0,0.03639
E3_uncertainty_robustness,M,1,low,uq_rv_alns,101.272403,666.110905,2872.511976,0.0,0.0,38277.120822,0.916667,0,0.03883
E3_uncertainty_robustness,M,1,medium,alns_point,100.707838,698.763287,2872.511976,0.0,0.0,38265.671855,0.916667,0,0.032723
E3_uncertainty_robustness,M,1,medium,uq_alns,100.707838,690.201623,2872.511976,0.0,0.0,38265.866921,0.916667,0,0.037145
E3_uncertainty_robustness,M,1,medium,uq_rv_alns,101.272403,666.110905,2872.511976,0.0,0.0,38277.120822,0.916667,0,0.035728
E3_uncertainty_robustness,M,1,high,alns_point,100.707838,698.763287,2872.511976,0.0,0.0,38265.671855,0.916667,0,0.037174
E3_uncertainty_robustness,M,1,high,uq_alns,100.707838,690.201623,2872.511976,0.0,0.0,38265.866921,0.916667,0,0.034158
E3_uncertainty_robustness,M,1,high,uq_rv_alns,101.272403,666.110905,2872.511976,0.0,0.0,38277.120822,0.916667,0,0.032956
E3_uncertainty_robustness,M,2,low,alns_point,100.417108,800.152813,3009.105088,0.0,0.0,45053.671454,0.833333,0,0.04182
E3_uncertainty_robustness,M,2,low,uq_alns,100.417108,800.152813,3009.105088,0.0,0.0,45053.671454,0.833333,0,0.037506
E3_uncertainty_robustness,M,2,low,uq_rv_alns,101.531904,816.363853,3009.105088,0.0,0.0,45202.84005,0.916667,0,0.040683
E3_uncertainty_robustness,M,2,medium,alns_point,100.417108,800.152813,3009.105088,0.0,0.0,45053.671454,0.833333,0,0.037891
E3_uncertainty_robustness,M,2,medium,uq_alns,100.417108,800.152813,3009.105088,0.0,0.0,45053.671454,0.833333,0,0.032891
E3_uncertainty_robustness,M,2,medium,uq_rv_alns,101.531904,816.363853,3009.105088,0.0,0.0,45202.84005,0.916667,0,0.033412
E3_uncertainty_robustness,M,2,high,alns_point,100.417108,800.152813,3009.105088,0.0,0.0,45053.671454,0.833333,0,0.032145
E3_uncertainty_robustness,M,2,high,uq_alns,100.417108,800.152813,3009.105088,0.0,0.0,45053.671454,0.833333,0,0.03265
E3_uncertainty_robustness,M,2,high,uq_rv_alns,101.531904,816.363853,3009.105088,0.0,0.0,45202.84005,0.916667,0,0.034969
