experiment,size,seed,uncertainty,method,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime
E3_uncertainty_robustness,M,0,low,alns_point,99.482945,736.448487,2913.698262,0.0,0.0,40618.214188,0.833333,0,0.034576
E3_uncertainty_robustness,M,0,low,uq_alns,99.482945,736.448487,2913.698262,0.0,0.0,40618.214188,0.833333,0,0.035723
E3_uncertainty_robustness,M,0,low,uq_rv_alns,99.482945,736.448487,2913.698262,0.0,0.0,40618.214188,0.833333,0,0.036334
E3_uncertainty_robustness,M,0,medium,alns_point,99.482945,736.448487,2913.698262,0.0,0.0,40618.214188,0.833333,0,0.035074
E3_uncertainty_robustness,M,0,medium,uq_alns,99.482945,736.448487,2913.698262,0.0,0.0,40618.214188,0.833333,0,0.034438
E3_uncertainty_robustness,M,0,medium,uq_rv_alns,99.482945,736.448487,2913.698262,0.0,0.0,40618.214188,0.833333,0,0.034239
E3_uncertainty_robustness,M,0,high,alns_point,99.482945,736.448487,2913.698262,0.02,0.02,40618.214188,0.833333,0,0.034517
E3_uncertainty_robustness,M,0,high,uq_alns,100.63969,736.448487,2915.696658,0.0,0.0,40621.947776,0.833333,0,0.035616
E3_uncertainty_robustness,M,0,high,uq_rv_alns,100.63969,736.448487,2915.696658,0.0,0.0,40621.947776,0.833333,0,0.034759
E3_uncertainty_robustness,M,1,low,alns_point,100.707838,698.763287,2872.511976,0.0,0.0,38265.671855,0.916667,0,0.033003
E3_uncertainty_robustness,M,1,low,uq_alns,100.707838,690.201623,2872.511976,0.0,0.0,38265.866921,0.916667,0,0.034282
E3_uncertainty_robustness,M,1,low,uq_rv_alns,101.272403,666.110905,2872.511976,0.0,0.0,38277.120822,0.916667,0,0.047474
E3_uncertainty_robustness,M,1,medium,alns_point,100.707838,698.763287,2872.511976,0.0,0.0,38265.671855,0.916667,0,0.042285
E3_uncertainty_robustness,M,1,medium,uq_alns,100.707838,690.201623,2872.511976,0.0,0.0,38265.866921,0.916667,0,0.039666
E3_uncertainty_robustness,M,1,medium,uq_rv_alns,101.272403,666.110905,2872.511976,0.0,0.0,38277.120822,0.916667,0,0.036999
E3_uncertainty_robustness,M,1,high,alns_point,100.707838,698.763287,2872.511976,0.0,0.0,38265.671855,0.916667,0,0.037365
E3_uncertainty_robustness,M,1,high,uq_alns,100.707838,690.201623,2872.511976,0.0,0.0,38265.866921,0.916667,0,0.035875
E3_uncertainty_robustness,M,1,high,uq_rv_alns,101.272403,666.110905,2872.511976,0.0,0.0,38277.120822,0.916667,0,0.034819
E3_uncertainty_robustness,M,2,low,alns_point,100.417108,800.152813,3009.105088,0.0,0.0,45053.671454,0.833333,0,0.034687
E3_uncertainty_robustness,M,2,low,uq_alns,100.417108,800.152813,3009.105088,0.0,0.0,45053.671454,0.833333,0,0.037798
E3_uncertainty_robustness,M,2,low,uq_rv_alns,101.531904,816.363853,3009.105088,0.0,0.0,45202.84005,0.916667,0,0.036263
E3_uncertainty_robustness,M,2,medium,alns_point,100.417108,800.152813,3009.105088,0.0,0.0,45053.671454,0.833333,0,0.034683
E3_uncertainty_robustness,M,2,medium,uq_alns,100.417108,800.152813,3009.105088,0.0,0.0,45053.671454,0.833333,0,0.036646
E3_uncertainty_robustness,M,2,medium,uq_rv_alns,101.531904,816.363853,3009.105088,0.0,0.0,45202.84005,0.916667,0,0.03692
E3_uncertainty_robustness,M,2,high,alns_point,100.417108,800.152813,3009.105088,0.0,0.0,45053.671454,0.833333,0,0.035558
E3_uncertainty_robustness,M,2,high,uq_alns,100.417108,800.152813,3009.105088,0.0,0.0,45053.671454,0.833333,0,0.03471
E3_uncertainty_robustness,M,2,high,uq_rv_alns,101.531904,816.363853,3009.105088,0.0,0.0,45202.84005,0.916667,0,0.038049
