experiment,size,seed,uncertainty,method,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime
E4_value_ablation,M,0,medium,alns_point,99.482945,736.448487,2913.698262,0.0,0.0,40618.214188,0.833333,0,0.034207
E4_value_ablation,M,0,medium,uq_alns,99.482945,736.448487,2913.698262,0.0,0.0,40618.214188,0.833333,0,0.035534
E4_value_ablation,M,0,medium,rv_alns,99.304505,848.780732,2913.698262,0.0,0.0,40208.171574,0.916667,0,0.004641
E4_value_ablation,M,0,medium,uq_rv_alns,99.304505,848.780732,2913.698262,0.0,0.0,40208.171574,0.916667,0,0.004864
E4_value_ablation,M,1,medium,alns_point,100.707838,698.763287,2872.511976,0.0,0.0,38265.671855,0.916667,0,0.034398
E4_value_ablation,M,1,medium,uq_alns,100.707838,690.201623,2872.511976,0.0,0.0,38265.866921,0.916667,0,0.036407
E4_value_ablation,M,1,medium,rv_alns,100.663508,772.39816,2872.511976,0.0,0.0,38052.433866,0.916667,0,0.004358
E4_value_ablation,M,1,medium,uq_rv_alns,100.663508,772.39816,2872.511976,0.0,0.0,38052.433866,0.916667,0,0.004822
E4_value_ablation,M,2,medium,alns_point,100.417108,800.152813,3009.105088,0.0,0.0,45053.671454,0.833333,0,0.03334
E4_value_ablation,M,2,medium,uq_alns,100.417108,800.152813,3009.105088,0.0,0.0,45053.671454,0.833333,0,0.033355
E4_value_ablation,M,2,medium,rv_alns,100.172936,776.67772,3009.105088,0.0,0.0,44812.892524,0.833333,0,0.004466
E4_value_ablation,M,2,medium,uq_rv_alns,100.172936,776.67772,3009.105088,0.0,0.0,44812.892524,0.833333,0,0.00529
E4_value_ablation,M,3,medium,alns_point,101.468721,654.550348,2636.284077,0.0,0.0,37236.774505,0.833333,0,0.035326
E4_value_ablation,M,3,medium,uq_alns,101.267529,681.398745,2636.284077,0.0,0.0,37245.279628,0.833333,0,0.033581
E4_value_ablation,M,3,medium,rv_alns,101.387815,666.52013,2636.284077,0.0,0.0,37085.807433,0.916667,0,0.004333
E4_value_ablation,M,3,medium,uq_rv_alns,101.387815,666.52013,2636.284077,0.0,0.0,37085.807433,0.916667,0,0.005234
E4_value_ablation,M,4,medium,alns_point,100.140679,760.279165,2741.489807,0.0,0.0,52894.876075,0.916667,0,0.033457
E4_value_ablation,M,4,medium,uq_alns,100.140679,760.279165,2741.489807,0.0,0.0,52894.876075,0.916667,0,0.035321
E4_value_ablation,M,4,medium,rv_alns,98.45586,790.305696,2741.489807,0.0,0.0,52739.019434,1.0,0,0.004976
E4_value_ablation,M,4,medium,uq_rv_alns,98.45586,790.305696,2741.489807,0.0,0.0,52739.019434,1.0,0,0.004869
E4_value_ablation,M,5,medium,alns_point,93.440744,754.251128,2625.020899,0.0,0.0,38368.19332,0.833333,0,0.03322
E4_value_ablation,M,5,medium,uq_alns,93.440744,754.251128,2625.020899,0.0,0.0,38368.19332,0.833333,0,0.034772
E4_value_ablation,M,5,medium,rv_alns,93.026073,703.877551,2625.020899,0.0,0.0,38171.406836,0.916667,0,0.004654
E4_value_ablation,M,5,medium,uq_rv_alns,93.026073,703.877551,2625.020899,0.0,0.0,38171.406836,0.916667,0,0.004832
E4_value_ablation,M,6,medium,alns_point,96.571009,732.598836,2877.676744,0.0,0.0,44038.810103,0.833333,0,0.031442
E4_value_ablation,M,6,medium,uq_alns,96.571009,732.598836,2877.676744,0.0,0.0,44038.810103,0.833333,0,0.033165
E4_value_ablation,M,6,medium,rv_alns,97.492565,749.194622,2877.676744,0.0,0.0,43958.266308,0.833333,0,0.004833
E4_value_ablation,M,6,medium,uq_rv_alns,97.492565,749.194622,2877.676744,0.0,0.0,43958.266308,0.833333,0,0.005854
E4_value_ablation,M,7,medium,alns_point,96.130382,728.683031,3017.001241,0.0,0.0,39147.907072,0.916667,0,0.034169
E4_value_ablation,M,7,medium,uq_alns,95.772067,709.996792,3017.001241,0.0,0.0,39150.912948,0.916667,0,0.03355
E4_value_ablation,M,7,medium,rv_alns,97.353921,738.684543,3017.001241,0.0,0.0,39138.798799,0.916667,0,0.005502
E4_value_ablation,M,7,medium,uq_rv_alns,97.353921,738.684543,3017.001241,0.0,0.0,39138.798799,0.916667,0,0.00491
E4_value_ablation,M,8,medium,alns_point,96.741192,698.641303,2877.663445,0.0,0.0,60668.37896,0.75,0,0.035681
E4_value_ablation,M,8,medium,uq_alns,96.741192,698.641303,2877.663445,0.0,0.0,60668.37896,0.75,0,0.034493
E4_value_ablation,M,8,medium,rv_alns,95.935055,714.571408,2877.663445,0.0,0.0,60534.923907,0.75,0,0.004395
E4_value_ablation,M,8,medium,uq_rv_alns,95.935055,714.571408,2877.663445,0.0,0.0,60534.923907,0.75,0,0.004817
E4_value_ablation,M,9,medium,alns_point,96.9937,811.319968,2748.57101,0.0,0.0,44698.356712,0.833333,0,0.035664
E4_value_ablation,M,9,medium,uq_alns,96.9937,811.319968,2748.57101,0.0,0.0,44698.356712,0.833333,0,0.035591
E4_value_ablation,M,9,medium,rv_alns,95.736293,720.560921,2748.57101,0.0,0.0,44583.246349,0.916667,0,0.004383
E4_value_ablation,M,9,medium,uq_rv_alns,95.736293,720.560921,2748.57101,0.0,0.0,44583.246349,0.916667,0,0.005272
E4_value_ablation,M,10,medium,alns_point,98.362238,864.658084,2747.097242,0.0,0.0,47301.222286,1.0,0,0.035482
E4_value_ablation,M,10,medium,uq_alns,98.396104,827.226509,2747.097242,0.0,0.0,47301.759746,1.0,0,0.03409
E4_value_ablation,M,10,medium,rv_alns,99.11302,814.226963,2747.097242,0.0,0.0,47037.929323,1.0,0,0.004423
E4_value_ablation,M,10,medium,uq_rv_alns,99.11302,814.226963,2747.097242,0.0,0.0,47037.929323,1.0,0,0.004725
E4_value_ablation,M,11,medium,alns_point,96.044183,769.395634,2868.836696,0.0,0.0,38164.886774,0.916667,0,0.034073
E4_value_ablation,M,11,medium,uq_alns,96.291485,768.471483,2868.836696,0.0,0.0,38165.945141,0.916667,0,0.035905
E4_value_ablation,M,11,medium,rv_alns,96.034347,723.849584,2868.836696,0.0,0.0,37922.502731,0.916667,0,0.004471
E4_value_ablation,M,11,medium,uq_rv_alns,96.034347,723.849584,2868.836696,0.0,0.0,37922.502731,0.916667,0,0.004633
E4_value_ablation,M,12,medium,alns_point,98.549672,766.709757,2975.806386,0.0,0.0,39194.146806,0.916667,0,0.035631
