experiment,size,seed,policy,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,online_response_time,event_count,disturbance_intensity
E5_online_replanning,M,0,static,113.536193,736.448487,2913.698262,0.02,0.02,42758.781078,0.833333,0,0.019359,0.0,4.0,3.513312
E5_online_replanning,M,0,periodic,109.352704,736.448487,2915.696658,0.0,0.0,41949.221238,0.833333,0,0.021531,2.6,4.0,3.513312
E5_online_replanning,M,0,event_triggered,105.520419,848.780732,2915.696658,0.0,0.0,40974.800793,0.916667,0,0.006646,1.12,4.0,3.513312
E5_online_replanning,M,1,static,110.898358,698.763287,2872.511976,0.0,0.0,39727.973459,0.916667,0,0.018487,0.0,4.0,2.54763
E5_online_replanning,M,1,periodic,107.02596,690.201623,2872.511976,0.0,0.0,39172.498537,0.916667,0,0.021505,2.6,4.0,2.54763
E5_online_replanning,M,1,event_triggered,104.332095,772.39816,2872.511976,0.0,0.0,38575.928885,0.916667,0,0.006047,1.12,4.0,2.54763
E5_online_replanning,M,2,static,109.688864,800.152813,3009.105088,0.0,0.0,46620.146386,0.833333,0,0.018864,0.0,4.0,2.317939
E5_online_replanning,M,2,periodic,106.165597,800.152813,3009.105088,0.0,0.0,46024.885912,0.833333,0,0.018997,2.6,4.0,2.317939
E5_online_replanning,M,2,event_triggered,103.510768,776.67772,3009.105088,0.0,0.0,45373.809701,0.833333,0,0.005443,1.12,4.0,2.317939
E5_online_replanning,M,3,static,111.183533,654.550348,2636.284077,0.0,0.0,38593.330494,0.833333,0,0.019918,0.0,4.0,2.428703
E5_online_replanning,M,3,periodic,107.290712,681.398745,2636.284077,0.0,0.0,38086.536446,0.833333,0,0.020572,2.6,4.0,2.428703
E5_online_replanning,M,3,event_triggered,104.885147,666.52013,2636.284077,0.0,0.0,37572.187657,0.916667,0,0.005578,1.12,4.0,2.428703
E5_online_replanning,M,4,static,107.486455,760.279165,2741.489807,0.0,0.0,54351.953242,0.916667,0,0.018987,0.0,4.0,1.836444
E5_online_replanning,M,4,periodic,104.69506,760.279165,2741.489807,0.0,0.0,53798.263919,0.916667,0,0.01936,2.6,4.0,1.836444
E5_online_replanning,M,4,event_triggered,101.100339,790.305696,2741.489807,0.0,0.0,53262.021615,1.0,0,0.00499,1.12,4.0,1.836444
E5_online_replanning,M,5,static,101.47154,754.251128,2625.020899,0.0,0.0,39523.67007,0.833333,0,0.023795,0.0,4.0,2.007699
E5_online_replanning,M,5,periodic,98.419838,754.251128,2625.020899,0.0,0.0,39084.588905,0.833333,0,0.018877,2.6,4.0,2.007699
E5_online_replanning,M,5,event_triggered,95.91716,703.877551,2625.020899,0.0,0.0,38585.244991,0.916667,0,0.005673,1.12,4.0,2.007699
E5_online_replanning,M,6,static,102.374989,732.598836,2877.676744,0.0,0.0,44997.311502,0.833333,0,0.01861,0.0,4.0,1.450995
E5_online_replanning,M,6,periodic,100.169477,732.598836,2877.676744,0.0,0.0,44633.08097,0.833333,0,0.018896,2.6,4.0,1.450995
E5_online_replanning,M,6,event_triggered,99.581998,749.194622,2877.676744,0.0,0.0,44302.695721,0.833333,0,0.004837,1.12,4.0,1.450995
E5_online_replanning,M,7,static,101.202402,728.683031,3017.001241,0.04,0.04,39892.503201,0.916667,0,0.018819,0.0,4.0,1.268005
E5_online_replanning,M,7,periodic,100.431596,802.554142,3020.738909,0.0,0.0,39694.78269,0.916667,0,0.019536,2.6,4.0,1.268005
E5_online_replanning,M,7,event_triggered,99.611029,731.67798,3020.738909,0.0,0.0,39495.332292,0.916667,0,0.004666,1.12,4.0,1.268005
E5_online_replanning,M,8,static,101.859076,698.641303,2877.663445,0.02,0.02,61832.730432,0.75,0,0.018097,0.0,4.0,1.279471
E5_online_replanning,M,8,periodic,99.91428,698.641303,2879.460677,0.0,0.0,61432.135824,0.75,0,0.01962,2.6,4.0,1.279471
E5_online_replanning,M,8,event_triggered,97.777493,677.489281,2879.460677,0.0,0.0,61009.111477,0.75,0,0.004776,1.12,4.0,1.279471
E5_online_replanning,M,9,static,104.914096,811.319968,2748.57101,0.0,0.0,46025.964283,0.833333,0,0.020119,0.0,4.0,1.980099
E5_online_replanning,M,9,periodic,101.904346,811.319968,2748.57101,0.0,0.0,45521.473406,0.833333,0,0.020267,2.6,4.0,1.980099
E5_online_replanning,M,9,event_triggered,98.587636,720.560921,2748.57101,0.0,0.0,45059.954253,0.916667,0,0.00476,1.12,4.0,1.980099
E5_online_replanning,M,10,static,109.456562,864.658084,2747.097242,0.0,0.0,49269.128857,1.0,0,0.020169,0.0,4.0,2.773581
E5_online_replanning,M,10,periodic,105.274585,827.226509,2747.097242,0.0,0.0,48521.875684,1.0,0,0.02166,2.6,4.0,2.773581
E5_online_replanning,M,10,event_triggered,103.106977,814.226963,2747.097242,0.0,0.0,47742.432261,1.0,0,0.005116,1.12,4.0,2.773581
E5_online_replanning,M,11,static,104.953515,769.395634,2868.836696,0.0,0.0,39439.97545,0.916667,0,0.017587,0.0,4.0,2.227333
E5_online_replanning,M,11,periodic,101.815271,768.471483,2868.836696,0.0,0.0,38956.522044,0.916667,0,0.019842,2.6,4.0,2.227333
E5_online_replanning,M,11,event_triggered,99.241707,723.849584,2868.836696,0.0,0.0,38378.619357,0.916667,0,0.004687,1.12,4.0,2.227333
E5_online_replanning,M,12,static,106.5862,766.709757,2975.806386,0.04,0.04,40375.340024,0.916667,0,0.019172,0.0,4.0,2.009132
E5_online_replanning,M,12,periodic,103.914478,751.899751,2979.429097,0.0,0.0,40015.193067,0.916667,0,0.020039,2.6,4.0,2.009132
E5_online_replanning,M,12,event_triggered,101.279673,778.112754,2979.429097,0.0,0.0,39500.518735,1.0,0,0.00496,1.12,4.0,2.009132
E5_online_replanning,M,13,static,101.915911,790.65037,2619.28086,0.0,0.0,39648.082857,0.833333,0,0.01873,0.0,4.0,2.389832
E5_online_replanning,M,13,periodic,98.283366,790.65037,2619.28086,0.0,0.0,39126.685764,0.833333,0,0.02096,2.6,4.0,2.389832
E5_online_replanning,M,13,event_triggered,95.823259,680.757295,2619.28086,0.0,0.0,38577.995621,0.916667,0,0.005367,1.12,4.0,2.389832
E5_online_replanning,M,14,static,110.763345,702.897777,2939.020701,0.0,0.0,45486.036887,0.833333,0,0.018286,0.0,4.0,2.00501
E5_online_replanning,M,14,periodic,110.12871,716.853864,2939.020701,0.0,0.0,44983.270981,0.833333,0,0.019311,2.6,4.0,2.00501
E5_online_replanning,M,14,event_triggered,106.341281,738.046036,2939.020701,0.0,0.0,44311.774112,0.916667,0,0.004836,1.12,4.0,2.00501
E5_online_replanning,M,15,static,106.503163,702.753088,2888.164338,0.02,0.02,58782.014528,0.833333,0,0.021717,0.0,4.0,1.698199
E5_online_replanning,M,15,periodic,104.423136,711.113376,2890.010001,0.0,0.0,58193.005822,0.833333,0,0.020963,2.6,4.0,1.698199
E5_online_replanning,M,15,event_triggered,102.342077,754.527307,2890.010001,0.0,0.0,57667.609761,0.916667,0,0.005576,1.12,4.0,1.698199
E5_online_replanning,M,16,static,105.861424,769.892144,2796.218021,0.0,0.0,44400.126073,0.916667,0,0.018705,0.0,4.0,2.232821
E5_online_replanning,M,16,periodic,102.467536,769.892144,2796.218021,0.0,0.0,43853.354767,0.916667,0,0.018396,2.6,4.0,2.232821
E5_online_replanning,M,16,event_triggered,101.065919,674.814697,2796.218021,0.0,0.0,43441.902801,1.0,0,0.00468,1.12,4.0,2.232821
E5_online_replanning,M,17,static,111.139363,722.531512,2801.820362,0.0,0.0,39278.889665,0.916667,0,0.017551,0.0,4.0,2.373928
E5_online_replanning,M,17,periodic,107.729328,762.156536,2801.820362,0.0,0.0,38779.42229,0.916667,0,0.02062,2.6,4.0,2.373928
E5_online_replanning,M,17,event_triggered,105.51645,771.460352,2801.820362,0.0,0.0,38139.214575,0.916667,0,0.004721,1.12,4.0,2.373928
E5_online_replanning,M,18,static,103.002284,696.001543,2806.11889,0.04,0.04,47432.551024,0.833333,0,0.021518,0.0,4.0,1.649626
E5_online_replanning,M,18,periodic,101.325368,679.975779,2809.784803,0.0,0.0,47047.257245,0.833333,0,0.019934,2.6,4.0,1.649626
E5_online_replanning,M,18,event_triggered,99.149585,758.741886,2809.784803,0.0,0.0,46155.296547,0.916667,0,0.004842,1.12,4.0,1.649626
E5_online_replanning,M,19,static,105.78532,820.734948,2713.560402,0.0,0.0,39974.94943,0.916667,0,0.019585,0.0,4.0,2.613514
E5_online_replanning,M,19,periodic,101.955795,810.829041,2713.560402,0.0,0.0,39435.652988,0.916667,0,0.020529,2.6,4.0,2.613514
E5_online_replanning,M,19,event_triggered,98.918804,759.731059,2713.560402,0.0,0.0,39107.426953,0.916667,0,0.005067,1.12,4.0,2.613514
E5_online_replanning,M,20,static,102.373083,751.49335,2737.438942,0.0,0.0,48723.776281,0.833333,0,0.017745,0.0,4.0,1.621977
E5_online_replanning,M,20,periodic,100.20712,713.563972,2737.438942,0.0,0.0,48287.574063,0.833333,0,0.020614,2.6,4.0,1.621977
E5_online_replanning,M,20,event_triggered,99.159547,754.990531,2737.438942,0.0,0.0,47927.792726,0.75,0,0.005127,1.12,4.0,1.621977
E5_online_replanning,M,21,static,100.856598,772.827132,2738.133665,0.0,0.0,46220.876036,0.833333,0,0.018327,0.0,4.0,2.13796
E5_online_replanning,M,21,periodic,97.606899,772.827132,2738.133665,0.0,0.0,45675.113523,0.833333,0,0.020209,2.6,4.0,2.13796
E5_online_replanning,M,21,event_triggered,96.651745,750.952806,2738.133665,0.0,0.0,45229.843283,0.916667,0,0.004964,1.12,4.0,2.13796
E5_online_replanning,M,22,static,102.607348,841.909514,2740.323628,0.0,0.0,51588.002432,0.916667,0,0.018811,0.0,4.0,2.75096
E5_online_replanning,M,22,periodic,98.425889,842.82975,2740.323628,0.0,0.0,50807.200036,0.916667,0,0.021211,2.6,4.0,2.75096
E5_online_replanning,M,22,event_triggered,94.408462,769.367991,2740.323628,0.0,0.0,49912.168116,1.0,0,0.004795,1.12,4.0,2.75096
E5_online_replanning,M,23,static,103.875829,760.852253,2799.424779,0.0,0.0,41830.415804,0.833333,0,0.018104,0.0,4.0,1.060253
E5_online_replanning,M,23,periodic,104.962233,790.212314,2799.424779,0.0,0.0,41586.482623,0.833333,0,0.019646,2.6,4.0,1.060253
E5_online_replanning,M,23,event_triggered,103.65613,804.189189,2799.424779,0.0,0.0,41035.939444,0.916667,0,0.004722,1.12,4.0,1.060253
E5_online_replanning,M,24,static,108.068699,800.715266,2789.495752,0.0,0.0,41634.708755,0.833333,0,0.018142,0.0,4.0,2.212048
E5_online_replanning,M,24,periodic,104.706386,800.715266,2789.495752,0.0,0.0,41126.609404,0.833333,0,0.021301,2.6,4.0,2.212048
E5_online_replanning,M,24,event_triggered,102.700741,866.889055,2789.495752,0.0,0.0,40272.449754,1.0,0,0.005127,1.12,4.0,2.212048
E5_online_replanning,M,25,static,108.162783,714.618545,2669.629019,0.0,0.0,38639.142543,0.833333,0,0.018438,0.0,4.0,3.079965
E5_online_replanning,M,25,periodic,103.481236,714.618545,2669.629019,0.0,0.0,37990.756557,0.833333,0,0.020362,2.6,4.0,3.079965
E5_online_replanning,M,25,event_triggered,99.329122,741.735124,2669.629019,0.0,0.0,37197.100075,0.916667,0,0.004682,1.12,4.0,3.079965
E5_online_replanning,M,26,static,110.623704,726.571928,2774.530215,0.0,0.0,44302.363331,0.833333,0,0.020166,0.0,4.0,3.094416
E5_online_replanning,M,26,periodic,106.02857,737.420179,2774.530215,0.0,0.0,43555.053207,0.833333,0,0.020002,2.6,4.0,3.094416
E5_online_replanning,M,26,event_triggered,103.276059,689.123234,2774.530215,0.0,0.0,42749.877535,0.833333,0,0.00498,1.12,4.0,3.094416
E5_online_replanning,M,27,static,109.132164,762.173945,2750.891176,0.0,0.0,58888.086174,0.833333,0,0.017359,0.0,4.0,3.178606
E5_online_replanning,M,27,periodic,104.300683,762.173945,2750.891176,0.0,0.0,57869.704164,0.833333,0,0.019781,2.6,4.0,3.178606
E5_online_replanning,M,27,event_triggered,103.722003,790.938375,2750.891176,0.0,0.0,56844.04289,0.833333,0,0.005342,1.12,4.0,3.178606
E5_online_replanning,M,28,static,108.780205,728.800687,2809.288862,0.0,0.0,54680.683792,0.833333,0,0.018417,0.0,4.0,2.241062
E5_online_replanning,M,28,periodic,105.373791,728.800687,2809.288862,0.0,0.0,54004.906693,0.833333,0,0.020374,2.6,4.0,2.241062
E5_online_replanning,M,28,event_triggered,102.402078,738.636202,2809.288862,0.0,0.0,53463.88556,0.916667,0,0.004791,1.12,4.0,2.241062
E5_online_replanning,M,29,static,101.59259,682.405337,2791.190626,0.0,0.0,46083.65206,0.916667,0,0.018316,0.0,4.0,1.640127
E5_online_replanning,M,29,periodic,99.055256,690.745797,2791.190626,0.0,0.0,45675.011875,0.916667,0,0.0204,2.6,4.0,1.640127
E5_online_replanning,M,29,event_triggered,95.281007,649.544882,2791.190626,0.0,0.0,45187.204869,0.916667,0,0.004688,1.12,4.0,1.640127
