experiment,size,seed,uncertainty,method,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime
E6_scalability,S,0,medium,alns_point,63.905306,74.02285,755.620236,0.0,0.0,9934.819443,1.0,0,0.003632
E6_scalability,S,0,medium,uq_rv_alns,63.905306,74.02285,755.620236,0.0,0.0,9934.819443,1.0,0,0.000386
E6_scalability,S,1,medium,alns_point,60.815093,87.153205,663.96304,0.0,0.0,6531.658067,1.0,0,0.003412
E6_scalability,S,1,medium,uq_rv_alns,60.385902,77.213679,663.96304,0.0,0.0,6528.19062,1.0,0,0.000392
E6_scalability,S,2,medium,alns_point,50.649662,65.175262,576.328299,0.0,0.0,7172.034104,0.666667,0,0.003022
E6_scalability,S,2,medium,uq_rv_alns,50.649662,65.175262,576.328299,0.0,0.0,7172.034104,0.666667,0,0.000365
E6_scalability,S,3,medium,alns_point,58.39712,66.423043,665.956819,0.0,0.0,8925.240217,0.666667,0,0.003194
E6_scalability,S,3,medium,uq_rv_alns,58.39712,66.423043,665.956819,0.0,0.0,8925.240217,0.666667,0,0.001211
E6_scalability,S,4,medium,alns_point,53.521756,66.018148,659.044663,0.0,0.0,10270.764582,1.0,0,0.00361
E6_scalability,S,4,medium,uq_rv_alns,54.901873,74.057733,659.044663,0.0,0.0,10247.210319,1.0,0,0.000406
E6_scalability,S,5,medium,alns_point,55.616833,83.149484,679.459043,0.0,0.0,8717.845879,0.666667,0,0.003177
E6_scalability,S,5,medium,uq_rv_alns,55.616833,83.149484,679.459043,0.0,0.0,8717.845879,0.666667,0,0.000378
E6_scalability,S,6,medium,alns_point,61.315868,79.518441,678.653661,0.0,0.0,6029.280592,1.0,0,0.003133
E6_scalability,S,6,medium,uq_rv_alns,63.907387,72.588998,678.653661,0.0,0.0,5994.209726,1.0,0,0.000367
E6_scalability,S,7,medium,alns_point,61.885957,46.355949,651.960416,0.0,0.0,5576.862718,1.0,0,0.003732
E6_scalability,S,7,medium,uq_rv_alns,61.80357,65.727112,651.960416,0.0,0.0,5575.377652,1.0,0,0.000504
E6_scalability,S,8,medium,alns_point,53.713512,72.061993,673.707713,0.0,0.0,10183.919888,1.0,0,0.003756
E6_scalability,S,8,medium,uq_rv_alns,53.713512,72.061993,673.707713,0.0,0.0,10183.919888,1.0,0,0.000395
E6_scalability,S,9,medium,alns_point,55.986338,57.976612,678.756462,0.0,0.0,6823.199541,1.0,0,0.003285
E6_scalability,S,9,medium,uq_rv_alns,55.986338,57.976612,678.756462,0.0,0.0,6823.199541,1.0,0,0.000377
E6_scalability,M,0,medium,alns_point,99.482945,736.448487,2913.698262,0.0,0.0,40618.214188,0.833333,0,0.043765
E6_scalability,M,0,medium,uq_rv_alns,99.304505,848.780732,2913.698262,0.0,0.0,40208.171574,0.916667,0,0.004985
E6_scalability,M,1,medium,alns_point,100.707838,698.763287,2872.511976,0.0,0.0,38265.671855,0.916667,0,0.045563
E6_scalability,M,1,medium,uq_rv_alns,100.663508,772.39816,2872.511976,0.0,0.0,38052.433866,0.916667,0,0.004924
E6_scalability,M,2,medium,alns_point,100.417108,800.152813,3009.105088,0.0,0.0,45053.671454,0.833333,0,0.045219
E6_scalability,M,2,medium,uq_rv_alns,100.172936,776.67772,3009.105088,0.0,0.0,44812.892524,0.833333,0,0.005282
E6_scalability,M,3,medium,alns_point,101.468721,654.550348,2636.284077,0.0,0.0,37236.774505,0.833333,0,0.044948
E6_scalability,M,3,medium,uq_rv_alns,101.387815,666.52013,2636.284077,0.0,0.0,37085.807433,0.916667,0,0.004703
E6_scalability,M,4,medium,alns_point,100.140679,760.279165,2741.489807,0.0,0.0,52894.876075,0.916667,0,0.042935
E6_scalability,M,4,medium,uq_rv_alns,98.45586,790.305696,2741.489807,0.0,0.0,52739.019434,1.0,0,0.004978
E6_scalability,M,5,medium,alns_point,93.440744,754.251128,2625.020899,0.0,0.0,38368.19332,0.833333,0,0.042389
E6_scalability,M,5,medium,uq_rv_alns,93.026073,703.877551,2625.020899,0.0,0.0,38171.406836,0.916667,0,0.004756
E6_scalability,M,6,medium,alns_point,96.571009,732.598836,2877.676744,0.0,0.0,44038.810103,0.833333,0,0.044678
E6_scalability,M,6,medium,uq_rv_alns,97.492565,749.194622,2877.676744,0.0,0.0,43958.266308,0.833333,0,0.005785
E6_scalability,M,7,medium,alns_point,96.130382,728.683031,3017.001241,0.0,0.0,39147.907072,0.916667,0,0.042774
E6_scalability,M,7,medium,uq_rv_alns,97.353921,738.684543,3017.001241,0.0,0.0,39138.798799,0.916667,0,0.005059
E6_scalability,M,8,medium,alns_point,96.741192,698.641303,2877.663445,0.0,0.0,60668.37896,0.75,0,0.04536
E6_scalability,M,8,medium,uq_rv_alns,95.935055,714.571408,2877.663445,0.0,0.0,60534.923907,0.75,0,0.005035
E6_scalability,M,9,medium,alns_point,96.9937,811.319968,2748.57101,0.0,0.0,44698.356712,0.833333,0,0.043375
E6_scalability,M,9,medium,uq_rv_alns,95.736293,720.560921,2748.57101,0.0,0.0,44583.246349,0.916667,0,0.004691
E6_scalability,L,0,medium,alns_point,120.245915,4784.756211,8201.756545,0.0,0.0,150869.035507,0.864865,0,0.375532
E6_scalability,L,0,medium,uq_rv_alns,119.889127,4186.437571,8201.756545,0.0,0.0,150232.319972,0.918919,0,0.044402
E6_scalability,L,1,medium,alns_point,126.452293,4565.675203,8742.252584,0.0,0.0,144400.658206,0.918919,0,0.398542
E6_scalability,L,1,medium,uq_rv_alns,127.040758,4276.435556,8742.252584,0.0,0.0,143713.486821,1.0,0,0.046628
E6_scalability,L,2,medium,alns_point,122.648536,4346.889602,8675.848198,0.0,0.0,151419.343406,0.918919,0,0.399019
E6_scalability,L,2,medium,uq_rv_alns,121.910882,4108.79436,8675.848198,0.0,0.0,151044.541842,0.945946,0,0.042034
