flight,speed,payload,altitude,altitude_raw,route,date,local_time,duration_s,energy_wh,mean_wind_speed,std_wind_speed,mean_voltage,mean_current,distance_m,split
1,4.0,0.0,25.0,25,R5,2019-04-07,10:13,200.7,21.761544,3.898058,1.951946,22.070134,17.930395,537.647068,train
2,4.0,0.0,50.0,50,R5,2019-04-07,10:23,271.2,25.38179,3.522941,2.158859,21.527547,15.993813,647.722461,train
3,6.0,0.0,25.0,25,R5,2019-04-07,10:33,180.1,17.086166,4.581182,3.334344,22.330305,15.751451,560.30083,train
4,8.0,0.0,25.0,25,R5,2019-04-07,10:48,171.0,14.712282,4.596319,3.436565,21.950616,14.493254,541.364007,train
5,4.0,0.0,25.0,25,R2,2019-04-07,11:05,217.0,19.078063,3.33391,2.246744,21.519937,15.305536,461.060055,test
6,4.0,0.0,25.0,25,R3,2019-04-07,11:18,204.49,20.116461,4.027639,1.9835,21.029721,17.169734,503.169929,train
7,4.0,0.0,25.0,25,R4,2019-05-06,15:43,179.61,21.533182,4.884712,1.886263,21.305553,20.491416,506.763604,train
8,4.0,0.0,25.0,25,R1,2019-05-06,15:56,233.5,21.920939,2.914185,1.88667,21.510183,16.290536,503.601585,train
10,6.0,0.0,25.0,25,R1,2019-05-06,16:08,138.09,16.563967,5.111714,2.662166,23.378519,18.604426,503.558156,test
12,10.0,0.0,25.0,25,R1,2019-05-06,16:19,116.21,12.971131,5.998581,4.073779,22.373615,18.178186,510.847925,train
14,12.0,250.0,25.0,25,R1,2019-05-06,16:37,106.11,14.234775,6.228249,4.738139,21.054393,23.139572,515.122392,train
15,10.0,250.0,25.0,25,R1,2019-05-06,16:42,113.2,14.229671,5.532143,4.249701,21.533404,21.399012,509.131612,test
16,8.0,250.0,25.0,25,R1,2019-05-06,16:47,125.8,15.241629,5.378214,3.494453,21.622884,20.467876,506.899681,train
17,6.0,250.0,25.0,25,R1,2019-05-06,16:53,139.09,17.540464,5.032759,2.663681,21.099139,21.706663,507.649035,train
18,4.0,250.0,25.0,25,R1,2019-05-06,17:06,170.2,23.277452,5.064934,2.522624,22.822531,21.702241,509.063247,train
20,8.0,250.0,50.0,50,R1,2019-05-06,17:18,140.09,18.844493,4.849893,3.565513,21.330637,22.852343,560.916819,test
23,12.0,250.0,50.0,50,R1,2019-05-06,17:37,127.0,16.925157,5.625943,4.349418,21.545346,22.461239,557.495521,train
59,10.0,250.0,50.0,50,R1,2019-06-05,15:27,141.1,17.643633,5.75898,4.135684,21.911711,20.724292,553.908436,train
60,12.0,250.0,75.0,75,R1,2019-06-05,15:38,150.41,19.287354,5.167896,4.224614,21.089566,22.053424,604.423149,test
68,12.0,250.0,100.0,100,R1,2019-06-05,16:54,171.49,22.748738,4.710664,3.953348,21.174585,22.80885,659.131731,train
