stress_case,method,tower_count,stop_count,n,makespan_mean,makespan_sd,total_vehicle_distance_mean,total_vehicle_distance_sd,expected_energy_mean,expected_energy_sd,energy_violation_rate_mean,energy_violation_rate_sd,infeasible_sortie_rate_mean,infeasible_sortie_rate_sd,risk_weighted_completion_time_mean,risk_weighted_completion_time_sd,top_risk_coverage_mean,top_risk_coverage_sd,missed_value_mean,missed_value_sd,solver_runtime_mean,solver_runtime_sd,objective_value_mean,objective_value_sd,alns_accepted_moves_mean,alns_accepted_moves_sd,alns_improving_moves_mean,alns_improving_moves_sd,alns_rejected_moves_mean,alns_rejected_moves_sd,alns_best_updates_mean,alns_best_updates_sd
sparse_high_wind,alns_fixed,75,18,10,355.701035,8.419228,639.510064,64.339151,16100.173937,251.894228,0.745333,0.02911,0.745333,0.02911,266769.009521,43352.27661,0.222222,0.111111,2967.58304,230.512322,0.072159,0.013255,8465.1756,159.503551,127.5,2.915476,20.4,6.46701,12.5,2.915476,16.0,5.517648
sparse_high_wind,alns_pinn_full,75,18,10,357.863842,11.065386,685.856957,54.142529,16102.154143,248.432057,0.554667,0.016866,0.554667,0.016866,204099.494838,35353.733034,0.583333,0.047213,3229.62012,251.468865,0.080026,0.008078,10229.219313,531.20551,111.0,3.05505,20.7,4.808557,29.0,3.05505,13.5,2.27303
sparse_high_wind,no_energy_repair,75,18,10,357.863842,11.065386,685.856957,54.142529,16102.154143,248.432057,0.554667,0.016866,0.554667,0.016866,204099.494838,35353.733034,0.583333,0.047213,3229.62012,251.468865,0.083987,0.009527,10229.219313,531.20551,123.6,3.204164,19.6,4.993329,16.4,3.204164,14.9,2.960856
sparse_high_wind,no_risk_value,75,18,10,349.717438,13.36582,730.721797,50.001214,16102.154143,248.432057,0.554667,0.016866,0.554667,0.016866,240090.353371,43113.537535,0.85,0.069537,3229.62012,251.468865,0.019487,0.003964,13465.917197,545.07488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sparse_high_wind,no_sync_repair,75,18,10,357.863842,11.065386,685.856957,54.142529,16102.154143,248.432057,0.554667,0.016866,0.554667,0.016866,204099.494838,35353.733034,0.583333,0.047213,3229.62012,251.468865,0.084559,0.008859,10229.219313,531.20551,123.9,3.212822,15.6,2.91357,16.1,3.212822,14.3,2.540779
sparse_high_wind,no_uq,75,18,10,348.554856,12.376636,718.687266,43.005831,16083.282098,248.043974,0.745333,0.02911,0.745333,0.02911,238550.397756,43219.804083,0.872222,0.052705,2967.58304,230.512322,0.018008,0.00278,13477.340804,572.695503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tight_battery,alns_fixed,75,24,10,241.674402,5.189534,791.109459,57.95474,10221.246055,192.738892,0.741333,0.021035,0.741333,0.021035,179490.073802,28233.93419,0.244445,0.079436,2156.05711,181.666629,0.105284,0.004571,5704.593937,111.596917,127.7,2.668749,19.5,6.43342,12.3,2.668749,13.4,3.864367
tight_battery,alns_pinn_full,75,24,10,243.15844,4.087089,876.008797,51.64172,10241.748876,194.34469,0.465333,0.033525,0.465333,0.033525,132690.628284,20135.184986,0.716667,0.061139,2687.87936,304.912597,0.136422,0.007797,7029.480663,512.803513,112.3,3.335,20.6,5.985167,27.7,3.335,13.6,2.590581
tight_battery,no_energy_repair,75,24,10,243.15844,4.087089,876.008797,51.64172,10241.748876,194.34469,0.465333,0.033525,0.465333,0.033525,132690.628284,20135.184986,0.716667,0.061139,2687.87936,304.912597,0.135557,0.008307,7029.480663,512.803513,124.3,2.710064,20.6,4.993329,15.7,2.710064,13.5,2.12132
tight_battery,no_risk_value,75,24,10,238.119123,8.502615,900.073049,49.408743,10241.748876,194.34469,0.465333,0.033525,0.465333,0.033525,146414.58964,23039.4207,0.838889,0.076129,2687.87936,304.912597,0.031686,0.003027,8562.677992,525.230895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tight_battery,no_sync_repair,75,24,10,243.15844,4.087089,876.008797,51.64172,10241.748876,194.34469,0.465333,0.033525,0.465333,0.033525,132690.628284,20135.184986,0.716667,0.061139,2687.87936,304.912597,0.130405,0.008092,7029.480663,512.803513,122.4,1.95505,14.8,4.442222,17.6,1.95505,12.0,2.494438
tight_battery,no_uq,75,24,10,236.329674,8.825708,923.048538,69.841931,10217.627913,194.704541,0.741333,0.021035,0.741333,0.021035,144644.189644,22546.649188,0.877778,0.068293,2154.10462,183.408638,0.032541,0.008122,8534.279481,519.97972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
very_sparse_corridor,alns_fixed,100,18,10,748.380837,11.180125,826.645725,77.232938,34142.118877,429.979683,0.732,0.026998,0.732,0.026998,662962.342953,68121.879983,0.288,0.059029,4665.45957,204.049437,0.114767,0.005448,23158.358064,259.28972,126.6,2.170509,24.6,6.203941,13.4,2.170509,16.8,3.938415
very_sparse_corridor,alns_pinn_full,100,18,10,746.528375,15.895336,795.844315,96.954606,34142.496921,427.932021,0.646,0.008433,0.646,0.008433,494616.974511,43582.082159,0.556,0.04402,4852.02341,254.51492,0.139907,0.006155,26301.328744,732.495126,110.1,3.071373,19.8,5.452828,29.9,3.071373,14.7,3.683296
very_sparse_corridor,no_energy_repair,100,18,10,746.528375,15.895336,795.844315,96.954606,34142.496921,427.932021,0.646,0.008433,0.646,0.008433,494616.974511,43582.082159,0.556,0.04402,4852.02341,254.51492,0.143392,0.014447,26301.328744,732.495126,124.1,1.523884,19.4,3.627059,15.9,1.523884,16.4,3.098387
very_sparse_corridor,no_risk_value,100,18,10,745.718334,15.438982,906.071475,58.982453,34142.496921,427.932021,0.646,0.008433,0.646,0.008433,608594.471068,56509.844084,0.872,0.031552,4852.02341,254.51492,0.032248,0.003051,37337.070158,957.534404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
very_sparse_corridor,no_sync_repair,100,18,10,746.528375,15.895336,795.844315,96.954606,34142.496921,427.932021,0.646,0.008433,0.646,0.008433,494616.974511,43582.082159,0.556,0.04402,4852.02341,254.51492,0.146213,0.013101,26301.328744,732.495126,123.7,2.057507,16.0,3.091206,16.3,2.057507,15.6,2.75681
very_sparse_corridor,no_uq,100,18,10,741.919217,12.290451,905.063105,51.171072,34130.258392,429.323742,0.731,0.02846,0.731,0.02846,606032.844759,55963.048263,0.908,0.026998,4665.45957,204.049437,0.029721,0.003748,37533.847283,937.056162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
