stress_case,method,tower_count,stop_count,n,makespan_mean,makespan_sd,total_vehicle_distance_mean,total_vehicle_distance_sd,expected_energy_mean,expected_energy_sd,energy_violation_rate_mean,energy_violation_rate_sd,infeasible_sortie_rate_mean,infeasible_sortie_rate_sd,risk_weighted_completion_time_mean,risk_weighted_completion_time_sd,top_risk_coverage_mean,top_risk_coverage_sd,feasible_top_risk_coverage_mean,feasible_top_risk_coverage_sd,missed_value_mean,missed_value_sd,solver_runtime_mean,solver_runtime_sd,objective_value_mean,objective_value_sd,alns_accepted_moves_mean,alns_accepted_moves_sd,alns_improving_moves_mean,alns_improving_moves_sd,alns_rejected_moves_mean,alns_rejected_moves_sd,alns_best_updates_mean,alns_best_updates_sd
sparse_high_wind,alns_fixed,75,18,10,532.340583,21.153413,437.893974,40.651658,16100.173937,251.894228,0.745333,0.02911,0.745333,0.02911,222.893835,21.070285,0.25,0.11188,0.25,0.11188,2967.58304,230.512322,0.101417,0.009462,17086.256338,957.15929,125.5,4.790036,20.9,4.094712,14.5,4.790036,15.6,4.477102
sparse_high_wind,alns_pinn_full,75,18,10,604.347078,32.492248,522.622476,53.840795,16102.154143,248.432057,0.554667,0.016866,0.554667,0.016866,178.298201,19.407068,0.6,0.073142,0.405556,0.083024,3229.62012,251.468865,0.124907,0.01771,19753.329808,1323.359043,107.6,4.695151,15.2,1.813529,32.4,4.695151,15.0,1.943651
sparse_high_wind,no_energy_repair,75,18,10,604.347078,32.492248,522.622476,53.840795,16102.154143,248.432057,0.554667,0.016866,0.554667,0.016866,178.298201,19.407068,0.6,0.073142,0.405556,0.083024,3229.62012,251.468865,0.122569,0.01898,19753.329808,1323.359043,121.7,2.58414,15.7,4.110961,18.3,2.58414,15.2,4.049691
sparse_high_wind,no_risk_value,75,18,10,537.526279,18.597167,444.008755,29.681318,16102.154143,248.432057,0.554667,0.016866,0.554667,0.016866,225.452509,21.297321,0.25,0.11188,0.25,0.11188,3229.62012,251.468865,0.125749,0.0217,17280.52896,907.980128,126.7,3.802046,18.9,4.175324,13.3,3.802046,15.0,3.858612
sparse_high_wind,no_sync_repair,75,18,10,604.347078,32.492248,522.622476,53.840795,16102.154143,248.432057,0.554667,0.016866,0.554667,0.016866,178.298201,19.407068,0.6,0.073142,0.405556,0.083024,3229.62012,251.468865,0.123993,0.020533,19753.329808,1323.359043,122.9,2.024846,14.9,3.212822,17.1,2.024846,14.9,3.212822
sparse_high_wind,no_uq,75,18,10,610.575407,32.484447,535.059315,67.16544,16083.282098,248.043974,0.745333,0.02911,0.745333,0.02911,169.018853,15.237585,0.616667,0.08466,0.272222,0.10294,2967.58304,230.512322,0.126306,0.018125,19662.969192,1260.969203,110.9,3.900142,18.9,6.402257,29.1,3.900142,13.6,2.716207
tight_battery,alns_fixed,75,24,10,511.512856,23.635481,693.850727,70.378945,10221.246055,192.738892,0.741333,0.021035,0.741333,0.021035,232.866123,17.759653,0.244444,0.05972,0.244444,0.05972,2156.05711,181.666629,0.144476,0.016657,17677.666735,1070.664543,126.4,3.373096,19.6,6.380526,13.6,3.373096,14.3,5.96378
tight_battery,alns_pinn_full,75,24,10,553.242626,29.338153,727.34054,62.099244,10241.748876,194.34469,0.465333,0.033525,0.465333,0.033525,155.360221,17.252493,0.744444,0.06521,0.461111,0.141154,2687.87936,304.912597,0.167294,0.011294,18925.111951,1416.286714,110.6,4.742245,16.9,2.923088,29.4,4.742245,13.1,2.514403
tight_battery,no_energy_repair,75,24,10,553.242626,29.338153,727.34054,62.099244,10241.748876,194.34469,0.465333,0.033525,0.465333,0.033525,155.360221,17.252493,0.744444,0.06521,0.461111,0.141154,2687.87936,304.912597,0.167106,0.010687,18925.111951,1416.286714,123.6,2.54733,17.7,5.292552,16.4,2.54733,13.4,2.988868
tight_battery,no_risk_value,75,24,10,508.195717,20.344876,673.437168,54.222486,10241.748876,194.34469,0.465333,0.033525,0.465333,0.033525,234.257705,17.143712,0.244444,0.05972,0.244444,0.05972,2687.87936,304.912597,0.176772,0.01828,17739.755366,934.20262,126.5,3.472111,19.7,2.830391,13.5,3.472111,13.3,3.497618
