stress_case,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,battery_capacity,reserve_ratio,quantile_z,wind_speed,temperature,objective_value,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
sparse_high_wind,0,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,20709.06191065878,616.816534,570.569378,15777.683975,0.533333,0.533333,158.343471,0.833333,0.333333,75,1.0,3188.4179,1.169937,118.0,59.0,22.0,9.0
sparse_high_wind,0,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,2992.305553,507.868544,241.369585,15404.460842,0.770492,0.770492,170.195598,0.222222,0.055556,61,1.229508,4797.9574,1.163935,120.0,59.0,20.0,5.0
sparse_high_wind,0,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,2988.882753,592.956288,208.753729,15374.257233,0.766667,0.766667,157.844499,0.333333,0.222222,60,1.25,4801.7677,1.307057,118.0,59.0,22.0,2.0
sparse_high_wind,0,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,2951.788085,579.562463,255.687403,15209.353224,0.944444,0.944444,148.307446,0.611111,0.333333,54,1.388889,3393.418,0.891056,121.0,62.0,19.0,0.0
sparse_high_wind,0,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,3088.557132,820.762291,212.261834,15241.757536,0.758621,0.758621,234.87941,0.277778,0.111111,58,1.293103,4821.5659,1.098706,115.0,56.0,25.0,7.0
sparse_high_wind,0,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,3097.974987,826.527145,254.511963,15345.489106,0.866667,0.866667,221.342444,0.388889,0.277778,60,1.25,3129.6915,0.88268,123.0,60.0,17.0,9.0
sparse_high_wind,1,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,21297.71920843878,624.733698,451.845395,16343.094788,0.56,0.56,149.887998,0.944444,0.555556,75,1.0,3273.8417,1.065973,124.0,62.0,16.0,5.0
sparse_high_wind,1,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,3084.910451,490.760523,238.318796,16047.879267,0.807018,0.807018,153.71551,0.666667,0.277778,57,1.315789,4666.6581,1.119866,120.0,59.0,20.0,1.0
sparse_high_wind,1,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,3080.516893,512.090039,242.504716,16010.51054,0.786885,0.786885,151.246648,0.388889,0.333333,61,1.229508,4552.5248,1.100467,121.0,55.0,19.0,2.0
sparse_high_wind,1,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,3070.48148,547.807628,237.503866,15871.586817,0.913793,0.913793,158.844689,0.722222,0.277778,58,1.293103,3238.5079,0.924096,118.0,56.0,22.0,1.0
sparse_high_wind,1,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,3139.065612,783.609815,231.267396,15801.521216,0.754098,0.754098,193.082915,0.333333,0.277778,61,1.229508,4482.904,1.094184,107.0,56.0,33.0,12.0
sparse_high_wind,1,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,3137.68256,754.058589,220.651609,15951.667721,0.828125,0.828125,172.204756,0.444444,0.333333,64,1.171875,3155.1861,0.866421,113.0,52.0,27.0,12.0
sparse_high_wind,2,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19794.177731757638,544.731475,471.532029,15992.830724,0.56,0.56,139.295069,0.888889,0.5,75,1.0,3112.1921,1.057151,121.0,56.0,19.0,3.0
sparse_high_wind,2,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,3036.612901,602.519745,263.877099,15587.91427,0.783333,0.783333,161.490709,0.555556,0.277778,60,1.25,4418.8959,1.16344,118.0,62.0,22.0,2.0
sparse_high_wind,2,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,3025.542113,602.519745,249.80519,15556.63562,0.779661,0.779661,157.108105,0.5,0.222222,59,1.271186,4418.8959,1.113026,120.0,55.0,20.0,4.0
sparse_high_wind,2,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,3030.209009,573.916865,267.021043,15567.560464,0.932203,0.932203,164.105201,0.555556,0.277778,59,1.271186,2982.986,0.882583,122.0,62.0,18.0,2.0
sparse_high_wind,2,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,3015.226178,559.53863,208.431197,15624.581816,0.703125,0.703125,147.026213,0.333333,0.222222,64,1.171875,4001.4153,1.074942,122.0,56.0,18.0,9.0
sparse_high_wind,2,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,3048.059809,648.625792,254.795309,15602.386539,0.825397,0.825397,161.958378,0.5,0.277778,63,1.190476,2982.986,0.862891,126.0,71.0,14.0,10.0
sparse_high_wind,3,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,21223.749234498595,577.12716,529.570568,16551.271044,0.573333,0.573333,166.988227,1.0,0.333333,75,1.0,3556.5486,1.047515,119.0,61.0,21.0,4.0
sparse_high_wind,3,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,3175.599651,563.80915,215.398126,16220.781457,0.836066,0.836066,201.456083,0.277778,0.111111,61,1.229508,5137.9991,1.153096,122.0,61.0,18.0,1.0
sparse_high_wind,3,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,3103.317631,523.239896,218.441178,16002.302382,0.786885,0.786885,175.318598,0.166667,0.166667,61,1.229508,4967.5626,1.110433,120.0,64.0,20.0,7.0
sparse_high_wind,3,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,3094.788767,511.646934,246.604311,15952.165221,0.929825,0.929825,175.481583,0.5,0.055556,57,1.315789,3399.1123,0.813595,126.0,64.0,14.0,0.0
