stress_case,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,battery_capacity,reserve_ratio,quantile_z,wind_speed,temperature,objective_value,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
sparse_high_wind,0,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,3009.540925,507.686361,252.865494,15372.273271,0.758065,0.758065,192.123366,0.277778,0.055556,62,1.209677,4725.1459,1.543391,35.0,20.0,5.0,6.0
sparse_high_wind,0,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,2992.305553,507.868544,241.369585,15404.460842,0.770492,0.770492,170.195598,0.222222,0.055556,61,1.229508,4797.9574,1.567305,33.0,19.0,7.0,5.0
sparse_high_wind,0,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,2988.882753,592.956288,208.753729,15374.257233,0.766667,0.766667,157.844499,0.333333,0.222222,60,1.25,4801.7677,1.570012,34.0,17.0,6.0,2.0
sparse_high_wind,0,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,2951.788085,579.562463,255.687403,15209.353224,0.944444,0.944444,148.307446,0.611111,0.333333,54,1.388889,3393.418,1.227846,38.0,19.0,2.0,0.0
sparse_high_wind,0,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,3088.557132,820.762291,212.261834,15241.757536,0.758621,0.758621,234.87941,0.277778,0.111111,58,1.293103,4821.5659,1.488305,36.0,17.0,4.0,7.0
sparse_high_wind,0,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,3124.948474,838.773914,252.838839,15430.988758,0.796875,0.796875,231.024977,0.333333,0.055556,64,1.171875,3168.5464,1.163414,35.0,18.0,5.0,6.0
sparse_high_wind,1,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,3071.462761,489.382182,242.75379,15919.686478,0.790323,0.790323,162.630927,0.333333,0.166667,62,1.209677,4533.1127,1.230619,34.0,18.0,6.0,5.0
sparse_high_wind,1,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,3084.910451,490.760523,238.318796,16047.879267,0.807018,0.807018,153.71551,0.666667,0.277778,57,1.315789,4666.6581,1.281371,36.0,17.0,4.0,1.0
sparse_high_wind,1,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,3085.726396,490.760523,237.653923,16055.774351,0.807018,0.807018,153.204719,0.666667,0.277778,57,1.315789,4666.6581,1.386045,38.0,20.0,2.0,1.0
sparse_high_wind,1,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,3070.48148,547.807628,237.503866,15871.586817,0.913793,0.913793,158.844689,0.722222,0.277778,58,1.293103,3238.5079,1.260787,37.0,16.0,3.0,1.0
sparse_high_wind,1,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,3160.234934,830.46797,206.233912,15945.875101,0.777778,0.777778,181.726294,0.444444,0.222222,63,1.190476,4517.274,1.321824,32.0,16.0,8.0,8.0
sparse_high_wind,1,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,3178.704334,799.848663,234.647647,15917.382221,0.84375,0.84375,208.877869,0.5,0.388889,64,1.171875,3063.9163,1.164303,35.0,18.0,5.0,6.0
tight_battery,0,alns_pinn_full,alns_full,75,24,3,6,108.0,0.22,1.96,9.5,32.0,1889.248344,444.522983,303.825812,9551.055742,0.8,0.8,156.50551,0.333333,0.222222,55,1.363636,4780.1423,1.960302,36.0,16.0,4.0,4.0
tight_battery,0,no_energy_repair,alns_full_no_energy_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,1889.248344,444.522983,303.825812,9551.055742,0.8,0.8,156.50551,0.333333,0.222222,55,1.363636,4780.1423,2.006543,35.0,18.0,5.0,5.0
tight_battery,0,no_sync_repair,alns_full_no_sync_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,1885.954325,439.220025,299.67197,9547.177194,0.796296,0.796296,155.285089,0.333333,0.222222,54,1.388889,4780.1423,2.208555,36.0,20.0,4.0,4.0
tight_battery,0,no_uq,alns_full_no_uq,75,24,3,6,108.0,0.22,1.96,9.5,32.0,1886.198718,534.846634,305.248203,9718.679696,0.85,0.85,106.876417,0.555556,0.166667,60,1.25,2850.3633,1.72326,36.0,20.0,4.0,1.0
tight_battery,0,no_risk_value,alns_full_no_risk_value,75,24,3,6,108.0,0.22,1.96,9.5,32.0,1915.18502,424.450875,323.269801,9802.456687,0.737705,0.737705,142.206682,0.444444,0.277778,61,1.229508,4547.2695,1.945188,35.0,17.0,5.0,8.0
tight_battery,0,alns_fixed,alns_fixed,75,24,3,6,108.0,0.22,1.96,9.5,32.0,1893.743788,420.169481,325.707364,9743.466775,0.772727,0.772727,131.404742,0.444444,0.111111,66,1.136364,2431.3751,1.773825,36.0,20.0,4.0,4.0
tight_battery,1,alns_pinn_full,alns_full,75,24,3,6,108.0,0.22,1.96,9.5,32.0,1845.807266,404.64417,355.871761,9371.329687,0.722222,0.722222,147.021831,0.388889,0.333333,54,1.388889,4235.6449,1.84922,35.0,20.0,5.0,3.0
tight_battery,1,no_energy_repair,alns_full_no_energy_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,1835.283783,367.969693,329.562954,9329.76434,0.745763,0.745763,153.128788,0.222222,0.222222,59,1.271186,4191.2229,1.760027,32.0,18.0,8.0,5.0
