stress_case,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,battery_capacity,reserve_ratio,quantile_z,wind_speed,temperature,objective_value,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,missed_value,solver_runtime,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
sparse_high_wind,0,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10107.881369043196,353.084877,592.505701,15777.683975,0.533333,0.533333,228766.410965,0.611111,0.388889,3188.4179,0.073213,107.0,18.0,33.0,17.0
sparse_high_wind,0,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10107.881369043196,353.084877,592.505701,15777.683975,0.533333,0.533333,228766.410965,0.611111,0.388889,3188.4179,0.086109,125.0,15.0,15.0,13.0
sparse_high_wind,0,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10107.881369043196,353.084877,592.505701,15777.683975,0.533333,0.533333,228766.410965,0.611111,0.388889,3188.4179,0.084393,122.0,11.0,18.0,9.0
sparse_high_wind,0,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10201.463052963201,342.845202,636.088574,15755.933543,0.76,0.76,226706.97206,0.555556,0.166667,3067.8306,0.07479,111.0,28.0,29.0,15.0
sparse_high_wind,0,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8383.549942043199,348.706034,646.92695,15777.683975,0.533333,0.533333,291407.901463,0.166667,0.166667,3188.4179,0.080694,124.0,28.0,16.0,18.0
sparse_high_wind,0,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8271.0650002032,344.080342,618.012251,15764.719449,0.76,0.76,287592.781843,0.166667,0.166667,3067.8306,0.065109,120.0,30.0,20.0,25.0
sparse_high_wind,1,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10273.476769295201,360.392297,727.00679,16343.094788,0.56,0.56,207194.333761,0.611111,0.444444,3273.8417,0.082728,106.0,28.0,34.0,13.0
sparse_high_wind,1,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10273.476769295201,360.392297,727.00679,16343.094788,0.56,0.56,207194.333761,0.611111,0.444444,3273.8417,0.090423,116.0,19.0,24.0,16.0
sparse_high_wind,1,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10273.476769295201,360.392297,727.00679,16343.094788,0.56,0.56,207194.333761,0.611111,0.444444,3273.8417,0.102286,118.0,17.0,22.0,15.0
sparse_high_wind,1,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10502.097961735199,367.564774,668.439171,16322.733024,0.76,0.76,205568.167934,0.611111,0.333333,3063.9163,0.090065,106.0,21.0,34.0,15.0
sparse_high_wind,1,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8691.3478432952,361.135246,686.353437,16343.094788,0.56,0.56,263504.969637,0.333333,0.333333,3273.8417,0.099485,122.0,21.0,18.0,12.0
sparse_high_wind,1,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8600.843486575199,359.199684,623.793221,16363.47436,0.76,0.76,260167.312872,0.333333,0.333333,3063.9163,0.079867,123.0,24.0,17.0,12.0
sparse_high_wind,2,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10457.635765768804,365.649062,679.322655,15992.830724,0.56,0.56,190920.7004,0.666667,0.5,3112.1921,0.107097,112.0,16.0,28.0,16.0
sparse_high_wind,2,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10457.635765768804,365.649062,679.322655,15992.830724,0.56,0.56,190920.7004,0.666667,0.5,3112.1921,0.098767,121.0,12.0,19.0,12.0
sparse_high_wind,2,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10457.635765768804,365.649062,679.322655,15992.830724,0.56,0.56,190920.7004,0.666667,0.5,3112.1921,0.099067,124.0,16.0,16.0,16.0
sparse_high_wind,2,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10693.565004488803,362.961734,686.760642,15978.143833,0.706667,0.706667,189339.176458,0.666667,0.388889,2851.2536,0.075319,108.0,24.0,32.0,15.0
sparse_high_wind,2,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8590.470189768801,354.685446,641.069561,15992.830724,0.56,0.56,266261.110509,0.333333,0.333333,3112.1921,0.072477,130.0,13.0,10.0,10.0
sparse_high_wind,2,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8518.9551665288,350.808305,575.99995,15986.416168,0.706667,0.706667,263973.863747,0.333333,0.333333,2851.2536,0.064582,128.0,17.0,12.0,10.0
sparse_high_wind,3,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10853.738826100798,354.490095,733.719418,16551.271044,0.573333,0.573333,246896.315736,0.5,0.333333,3556.5486,0.081902,110.0,17.0,30.0,12.0
sparse_high_wind,3,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10853.738826100798,354.490095,733.719418,16551.271044,0.573333,0.573333,246896.315736,0.5,0.333333,3556.5486,0.08248,128.0,18.0,12.0,15.0
sparse_high_wind,3,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10853.738826100798,354.490095,733.719418,16551.271044,0.573333,0.573333,246896.315736,0.5,0.333333,3556.5486,0.086523,129.0,14.0,11.0,14.0
sparse_high_wind,3,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,11104.613645340796,349.822803,675.873131,16531.703672,0.773333,0.773333,248127.725164,0.555556,0.111111,3241.1706,0.103486,118.0,20.0,22.0,20.0
sparse_high_wind,3,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8726.6215131008,364.944233,662.452947,16551.271044,0.573333,0.573333,336073.340839,0.111111,0.111111,3556.5486,0.088338,129.0,14.0,11.0,12.0
sparse_high_wind,3,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8631.964670860798,363.01858,661.83038,16539.78951,0.773333,0.773333,334029.468701,0.111111,0.111111,3241.1706,0.073712,123.0,28.0,17.0,17.0
sparse_high_wind,4,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,9532.371285156,340.77443,722.640565,16025.736139,0.56,0.56,209714.824983,0.555556,0.277778,3527.2144,0.078675,109.0,20.0,31.0,12.0
sparse_high_wind,4,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,9532.371285156,340.77443,722.640565,16025.736139,0.56,0.56,209714.824983,0.555556,0.277778,3527.2144,0.084422,123.0,15.0,17.0,14.0
sparse_high_wind,4,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,9532.371285156,340.77443,722.640565,16025.736139,0.56,0.56,209714.824983,0.555556,0.277778,3527.2144,0.075182,126.0,19.0,14.0,14.0
sparse_high_wind,4,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,9664.539808676,343.325186,695.356242,16006.640317,0.746667,0.746667,207206.148685,0.611111,0.111111,2995.4051,0.08587,107.0,24.0,33.0,9.0
