stress_case,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,battery_capacity,reserve_ratio,quantile_z,wind_speed,temperature,objective_value,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,missed_value,solver_runtime,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
sparse_high_wind,0,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10107.881369043196,353.084877,592.505701,15777.683975,0.533333,0.533333,228766.410965,0.611111,0.388889,3188.4179,0.067777,29.0,17.0,11.0,17.0
sparse_high_wind,0,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10107.881369043196,353.084877,592.505701,15777.683975,0.533333,0.533333,228766.410965,0.611111,0.388889,3188.4179,0.061156,36.0,13.0,4.0,13.0
sparse_high_wind,0,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10107.881369043196,353.084877,592.505701,15777.683975,0.533333,0.533333,228766.410965,0.611111,0.388889,3188.4179,0.064963,30.0,11.0,10.0,9.0
sparse_high_wind,0,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10191.503114963201,341.376524,722.18125,15755.933543,0.76,0.76,226989.235459,0.555556,0.166667,3067.8306,0.068257,32.0,23.0,8.0,12.0
sparse_high_wind,0,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8383.549942043199,348.706034,646.92695,15777.683975,0.533333,0.533333,291407.901463,0.166667,0.166667,3188.4179,0.062924,34.0,19.0,6.0,18.0
sparse_high_wind,0,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8474.126354203197,349.3962,637.467727,15764.719449,0.76,0.76,297045.354767,0.166667,0.166667,3067.8306,0.053517,34.0,19.0,6.0,18.0
sparse_high_wind,1,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10273.476769295201,360.392297,727.00679,16343.094788,0.56,0.56,207194.333761,0.611111,0.444444,3273.8417,0.059919,28.0,15.0,12.0,13.0
sparse_high_wind,1,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10315.985548295199,357.40417,762.762871,16343.094788,0.56,0.56,207476.01927,0.611111,0.444444,3273.8417,0.065577,32.0,14.0,8.0,13.0
sparse_high_wind,1,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10314.6035352952,357.018951,717.791321,16343.094788,0.56,0.56,207416.235149,0.611111,0.444444,3273.8417,0.067553,31.0,14.0,9.0,14.0
sparse_high_wind,1,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10476.361429735198,367.602733,677.109664,16322.733024,0.76,0.76,205685.508402,0.611111,0.333333,3063.9163,0.065016,29.0,14.0,11.0,13.0
