stress_case,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,battery_capacity,reserve_ratio,quantile_z,wind_speed,temperature,objective_value,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
sparse_high_wind,0,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10107.881369043196,353.084877,592.505701,15777.683975,0.533333,0.533333,228766.410965,0.611111,3188.4179,0.083373,107.0,18.0,33.0,17.0
sparse_high_wind,0,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10107.881369043196,353.084877,592.505701,15777.683975,0.533333,0.533333,228766.410965,0.611111,3188.4179,0.080023,125.0,15.0,15.0,13.0
sparse_high_wind,0,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10107.881369043196,353.084877,592.505701,15777.683975,0.533333,0.533333,228766.410965,0.611111,3188.4179,0.08166,122.0,11.0,18.0,9.0
sparse_high_wind,0,no_uq,rv_alns,75,18,3,6,125.0,0.2,1.96,12.0,34.0,12706.604221963202,340.883217,746.647952,15755.933543,0.76,0.76,264478.027955,0.944444,3067.8306,0.017498,0.0,0.0,0.0,0.0
sparse_high_wind,0,no_risk_value,uq_alns,75,18,3,6,125.0,0.2,1.96,12.0,34.0,12720.308774043202,342.45516,802.932807,15777.683975,0.533333,0.533333,267690.656077,0.944444,3188.4179,0.01767,0.0,0.0,0.0,0.0
sparse_high_wind,0,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8271.0650002032,344.496477,610.192204,15764.719449,0.76,0.76,285927.96669,0.166667,3067.8306,0.057169,124.0,31.0,16.0,27.0
sparse_high_wind,1,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10273.476769295201,360.392297,727.00679,16343.094788,0.56,0.56,207194.333761,0.611111,3273.8417,0.078966,106.0,28.0,34.0,13.0
sparse_high_wind,1,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10273.476769295201,360.392297,727.00679,16343.094788,0.56,0.56,207194.333761,0.611111,3273.8417,0.082796,116.0,19.0,24.0,16.0
sparse_high_wind,1,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10273.476769295201,360.392297,727.00679,16343.094788,0.56,0.56,207194.333761,0.611111,3273.8417,0.083761,118.0,17.0,22.0,15.0
sparse_high_wind,1,no_uq,rv_alns,75,18,3,6,125.0,0.2,1.96,12.0,34.0,13682.0810367352,370.765512,738.62088,16322.733024,0.76,0.76,242886.779519,0.833333,3063.9163,0.017669,0.0,0.0,0.0,0.0
sparse_high_wind,1,no_risk_value,uq_alns,75,18,3,6,125.0,0.2,1.96,12.0,34.0,13610.138138295197,377.245175,734.985429,16343.094788,0.56,0.56,243385.805788,0.833333,3273.8417,0.020588,0.0,0.0,0.0,0.0
sparse_high_wind,1,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8600.843486575199,359.199684,623.793221,16363.47436,0.76,0.76,260167.312872,0.333333,3063.9163,0.064605,122.0,21.0,18.0,12.0
sparse_high_wind,2,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10457.635765768804,365.649062,679.322655,15992.830724,0.56,0.56,190920.7004,0.666667,3112.1921,0.073479,112.0,16.0,28.0,16.0
