stress_case,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,battery_capacity,reserve_ratio,quantile_z,wind_speed,temperature,objective_value,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,missed_value,solver_runtime,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
sparse_high_wind,0,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19072.23431865878,599.051775,509.595479,15777.683975,0.533333,0.533333,183.809507,0.611111,0.444444,3188.4179,0.145725,109.0,18.0,31.0,18.0
sparse_high_wind,0,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19072.23431865878,599.051775,509.595479,15777.683975,0.533333,0.533333,183.809507,0.611111,0.444444,3188.4179,0.123803,121.0,15.0,19.0,15.0
sparse_high_wind,0,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19072.23431865878,599.051775,509.595479,15777.683975,0.533333,0.533333,183.809507,0.611111,0.444444,3188.4179,0.116298,121.0,15.0,19.0,15.0
sparse_high_wind,0,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19786.46419657878,634.155904,538.573645,15755.933543,0.76,0.76,179.735196,0.611111,0.166667,3067.8306,0.106967,108.0,16.0,32.0,15.0
sparse_high_wind,0,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,17438.782917658777,549.643882,465.481434,15777.683975,0.533333,0.533333,227.016656,0.166667,0.166667,3188.4179,0.123439,126.0,21.0,14.0,16.0
sparse_high_wind,0,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,17244.35316381878,534.410225,465.481434,15764.719449,0.76,0.76,224.88284,0.166667,0.166667,3067.8306,0.091912,127.0,24.0,13.0,21.0
sparse_high_wind,1,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,20011.303029438775,608.148621,523.317108,16343.094788,0.56,0.56,182.147236,0.722222,0.555556,3273.8417,0.104951,105.0,16.0,35.0,16.0
sparse_high_wind,1,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,20011.303029438775,608.148621,523.317108,16343.094788,0.56,0.56,182.147236,0.722222,0.555556,3273.8417,0.097431,120.0,14.0,20.0,14.0
sparse_high_wind,1,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,20011.303029438775,608.148621,523.317108,16343.094788,0.56,0.56,182.147236,0.722222,0.555556,3273.8417,0.090133,120.0,14.0,20.0,14.0
sparse_high_wind,1,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,18465.306109878777,598.093149,474.429802,16322.733024,0.76,0.76,159.507311,0.722222,0.444444,3063.9163,0.102477,107.0,11.0,33.0,11.0
