size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,implementation_family,service_graph_pattern_count,service_graph_feasible_count,selected_sortie_count,missed_service_count,duplicate_service_count,objective_rwct,objective_makespan,objective_ground_travel,objective_q95_energy,objective_missed_penalty,objective_duplicate_penalty,objective_total,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,alns_portfolio_candidate_count,alns_selected_portfolio_candidate,alns_selected_portfolio_infeasible_count,alns_selected_portfolio_rwct,alns_selected_portfolio_makespan,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
S,0,10,5,1,1,0,medium,milp_highs,direct,3,S10_P5_seed0_medium,optimal,compact_makespan_energy_reference,False,post_hoc_schedule_evaluator,50,50,0.0,15,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.322518,29.172465,639.198928,0.0,0.0,41.903943,0.5,0.5,10,1.0,0,0.004885,1164.7351612912566,0.01628582975751672,0.0
S,0,10,5,1,1,0,medium,alns_pinn,direct,3,S10_P5_seed0_medium,not_milp,not_milp,False,not_milp,50,50,0.0,15,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,1615.0,73.0,7.0,0.0,0.0,44.815006,114.663985,28.1196,621.053943,0.0,0.0,132.665157,False,0.0,True,45.0,12.0,35.0,4.0,81.0,10.0,160.0,1.0,alns_search,0.0,44.815006,114.663985,18.0,17.0,15.0,17.0,13.0,20.0,13.0,18.0,29.0,114.663985,32.8062,484.408493,0.142857,0.142857,44.815006,0.5,0.5,7,1.428571,0,0.126575,132.665157,0.0,0.0
S,0,10,5,1,1,0,medium,alns_pinn_full,direct,3,S10_P5_seed0_medium,not_milp,not_milp,False,not_milp,50,50,0.0,15,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,1615.0,27.0,9.0,0.0,0.0,42.146468,140.287015,46.309922,701.6740350000001,0.0,0.0,771.8994768680855,True,0.25,True,45.0,14.0,35.0,0.0,81.0,10.0,160.0,3.0,risk_bucket_stop_4,0.0,42.146468,140.287015,11.0,31.0,10.0,20.0,8.0,25.0,28.0,17.0,10.0,146.786214,61.610641,564.856924,0.0,0.0,42.146468,1.0,1.0,9,1.111111,0,0.118812,771.8994768680855,0.0,16.199563089773115
S,0,10,5,1,1,1,medium,milp_highs,direct,3,S10_P5_seed1_medium,optimal,compact_makespan_energy_reference,False,post_hoc_schedule_evaluator,50,50,0.0,15,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.860729,29.323169,686.954687,0.0,0.0,60.881019,0.5,0.5,10,1.0,0,0.002582,1175.4766736477932,0.018867567403997795,0.0
S,0,10,5,1,1,1,medium,alns_pinn,direct,3,S10_P5_seed1_medium,not_milp,not_milp,False,not_milp,50,50,0.0,15,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,1615.0,73.0,5.0,0.0,0.0,30.762835,121.430298,26.029636,671.515738,0.0,0.0,124.803432,False,0.0,True,38.0,9.0,42.0,2.0,81.0,10.0,160.0,1.0,alns_search,0.0,30.762835,121.430298,10.0,24.0,16.0,19.0,11.0,11.0,32.0,17.0,20.0,121.430298,30.367909,520.29451,0.6,0.6,30.762835,0.5,0.5,5,2.0,0,0.125273,124.803432,0.0,0.0
S,0,10,5,1,1,1,medium,alns_pinn_full,direct,3,S10_P5_seed1_medium,not_milp,not_milp,False,not_milp,50,50,0.0,15,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,1615.0,31.0,9.0,0.0,0.0,28.263346,136.035955,35.001442999999995,737.486519,0.0,0.0,612.0797954593677,True,0.25,True,30.0,3.0,50.0,0.0,81.0,10.0,160.0,3.0,risk_bucket_stop_4,0.0,28.263346,136.035955,17.0,22.0,10.0,18.0,13.0,16.0,24.0,21.0,19.0,144.516096,50.728514,605.853188,0.0,0.0,28.263346,1.0,1.0,9,1.111111,0,0.106607,612.0797954593677,0.0,7.15950971909696
S,0,10,5,1,1,2,medium,milp_highs,direct,3,S10_P5_seed2_medium,optimal,compact_makespan_energy_reference,False,post_hoc_schedule_evaluator,50,50,0.0,19,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.216474,39.363336,530.476329,0.0,0.0,37.065062,0.5,0.5,10,1.0,0,0.019789,149.8907168072857,0.018336192118433414,0.0
S,0,10,5,1,1,2,medium,alns_pinn,direct,3,S10_P5_seed2_medium,not_milp,not_milp,False,not_milp,50,50,0.0,19,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,1615.0,96.0,5.0,0.0,0.0,30.255065,109.339425,23.312623,531.360575,0.0,0.0,107.590269,False,0.0,True,50.0,3.0,30.0,2.0,81.0,10.0,160.0,1.0,alns_search,0.0,30.255065,109.339425,12.0,39.0,11.0,7.0,11.0,28.0,21.0,17.0,14.0,109.339425,27.19806,428.822615,0.4,0.4,30.255065,0.5,0.5,5,2.0,0,0.103264,107.590269,0.0,0.0
S,0,10,5,1,1,2,medium,alns_pinn_full,direct,3,S10_P5_seed2_medium,not_milp,not_milp,False,not_milp,50,50,0.0,19,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,1615.0,39.0,7.0,0.0,0.0,27.559914,106.369498,18.893475,575.802914,0.0,0.0,496.01815480914325,True,0.25,True,38.0,4.0,42.0,2.0,81.0,10.0,160.0,3.0,alns_search,0.0,27.559914,106.369498,12.0,23.0,24.0,11.0,10.0,21.0,10.0,28.0,21.0,115.198769,32.343204,464.688806,0.0,0.0,27.559914,0.5,0.5,7,1.428571,0,0.104733,496.01815480914325,0.0,0.0
S,0,10,5,1,1,3,medium,milp_highs,direct,3,S10_P5_seed3_medium,optimal,compact_makespan_energy_reference,False,post_hoc_schedule_evaluator,50,50,0.0,17,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.16171,31.940318,545.946586,0.0,0.0,61.376113,0.0,0.0,10,1.0,0,0.022495,149.17708075491564,0.01992275638925169,0.0
