size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,scenario_id,milp_status,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
S,0,10,5,1,1,0,medium,milp_highs,S10_P5_seed0_medium,optimal,100.173625,21.590066,642.336158,0.1,0.1,6577.58604,0.5,82.0892,0.004086,1164.8151569662566,0.016288050642126344,0.0
S,0,10,5,1,1,0,medium,alns_pinn,S10_P5_seed0_medium,not_milp,95.145608,49.911959,601.508487,0.1,0.1,4765.565563,1.0,0,0.000638,505.2100110592,0.0,0.0
S,0,10,5,1,1,0,medium,alns_pinn_full,S10_P5_seed0_medium,not_milp,96.289531,54.293636,603.73665,0.0,0.0,4992.006048,1.0,0,0.000434,521.1194932592,0.0,0.0
S,0,10,5,1,1,1,medium,milp_highs,S10_P5_seed1_medium,optimal,108.151555,21.724488,689.262105,0.1,0.1,13659.265204,0.5,42.0288,0.002833,1175.5510450427932,0.01886614731142522,0.0
S,0,10,5,1,1,1,medium,alns_pinn,S10_P5_seed1_medium,not_milp,101.541918,41.298038,637.963351,0.1,0.1,7120.685231,1.0,42.0288,0.000433,446.18663421680003,0.0,0.0
S,0,10,5,1,1,1,medium,alns_pinn_full,S10_P5_seed1_medium,not_milp,103.116947,41.298038,640.639081,0.0,0.0,7140.498847,1.0,0,0.000285,447.6306558968,0.0,0.0
S,0,10,5,1,1,2,medium,milp_highs,S10_P5_seed2_medium,optimal,91.476471,31.735467,531.629687,0.0,0.0,16593.830851,0.5,0,0.017354,149.9080171772857,0.018334076001403507,0.0
S,0,10,5,1,1,2,medium,alns_pinn,S10_P5_seed2_medium,not_milp,91.476471,49.679977,531.629687,0.0,0.0,14087.357104,0.5,0,0.000416,414.000796396,0.0,0.0
S,0,10,5,1,1,2,medium,alns_pinn_full,S10_P5_seed2_medium,not_milp,91.476471,49.679977,531.629687,0.0,0.0,14087.357104,0.5,0,0.000296,414.000796396,0.0,0.0
S,0,10,5,1,1,3,medium,milp_highs,S10_P5_seed3_medium,optimal,91.784295,26.119126,549.028557,0.0,0.0,25293.637222,0.0,0,0.021768,149.22331031991564,0.019916584294828038,0.0
S,0,10,5,1,1,3,medium,alns_pinn,S10_P5_seed3_medium,not_milp,91.784295,54.429787,549.028557,0.0,0.0,13052.380354,1.0,0,0.000427,362.09881668800006,0.0,0.0
S,0,10,5,1,1,3,medium,alns_pinn_full,S10_P5_seed3_medium,not_milp,91.784295,54.429787,549.028557,0.0,0.0,13052.380354,1.0,0,0.000286,362.09881668800006,0.0,0.0
S,0,10,5,1,1,4,medium,milp_highs,S10_P5_seed4_medium,optimal,110.522074,19.09205,637.999174,0.1,0.1,20698.874965,0.5,42.7546,0.002956,1182.032632722976,0.018882018714944188,0.0
S,0,10,5,1,1,4,medium,alns_pinn,S10_P5_seed4_medium,not_milp,105.005765,43.270376,594.835986,0.1,0.1,16737.982758,0.5,0,0.000425,458.0906944384,0.0,0.0
S,0,10,5,1,1,4,medium,alns_pinn_full,S10_P5_seed4_medium,not_milp,106.449464,43.270376,597.04988,0.0,0.0,16773.157627,0.5,0,0.000283,461.64716467840003,0.0,0.0
S,0,10,5,1,1,5,medium,milp_highs,S10_P5_seed5_medium,optimal,102.70071,19.495402,685.234354,0.1,0.1,9664.719029,0.5,61.2546,0.003032,1172.4498932193026,0.012977017257611169,0.0
S,0,10,5,1,1,5,medium,alns_pinn,S10_P5_seed5_medium,not_milp,98.091831,49.919793,636.707474,0.1,0.1,9232.633076,0.5,0,0.00042,523.6827128528,0.0,0.0
S,0,10,5,1,1,5,medium,alns_pinn_full,S10_P5_seed5_medium,not_milp,99.237433,49.919793,638.862123,0.0,0.0,9305.286759,0.5,0,0.000297,528.6171462128,0.0,0.0
S,0,10,5,1,1,6,medium,milp_highs,S10_P5_seed6_medium,optimal,99.295573,35.141068,609.599082,0.1,0.1,15378.311313,0.5,50.4637,0.004084,1167.043979165902,0.007060665066558887,0.0
S,0,10,5,1,1,6,medium,alns_pinn,S10_P5_seed6_medium,not_milp,99.295573,21.685234,609.599082,0.1,0.1,9781.365913,1.0,0,0.000425,460.3130130552,0.0,0.0
S,0,10,5,1,1,6,medium,alns_pinn_full,S10_P5_seed6_medium,not_milp,100.835635,21.685234,612.03626,0.0,0.0,9834.397661,1.0,0,0.000299,467.04902113520006,0.0,1.5509875752466746
S,0,10,5,1,1,7,medium,milp_highs,S10_P5_seed7_medium,optimal,103.97501,20.018101,672.249269,0.2,0.2,18745.26276,0.5,108.9777,0.003202,2169.624452494317,0.005527334587071599,0.0
S,0,10,5,1,1,7,medium,alns_pinn,S10_P5_seed7_medium,not_milp,102.400316,44.467623,661.357972,0.2,0.2,11302.647784,1.0,43.8956,0.000422,471.3380400832,0.0,0.0
S,0,10,5,1,1,7,medium,alns_pinn_full,S10_P5_seed7_medium,not_milp,103.477347,40.004052,663.427533,0.1,0.1,11349.842208,1.0,43.8956,0.000304,477.4023536032,0.0,0.0
S,0,10,5,1,1,8,medium,milp_highs,S10_P5_seed8_medium,optimal,89.113231,26.739914,544.431171,0.0,0.0,4417.28148,0.0,0,0.008915,144.92712211090696,0.019184817197615396,0.0
S,0,10,5,1,1,8,medium,alns_pinn,S10_P5_seed8_medium,not_milp,89.113231,50.292451,544.431171,0.0,0.0,3741.579367,1.0,0,0.000807,469.19639699440006,0.0,0.0
S,0,10,5,1,1,8,medium,alns_pinn_full,S10_P5_seed8_medium,not_milp,89.113231,62.414575,544.431171,0.0,0.0,3661.300962,1.0,0,0.000641,468.78349399440003,0.0,0.0
S,0,10,5,1,1,9,medium,milp_highs,S10_P5_seed9_medium,optimal,86.28903,29.905833,524.123341,0.0,0.0,23109.665631,0.0,0,0.046626,142.94624619771034,0.01652547455499201,0.0
S,0,10,5,1,1,9,medium,alns_pinn,S10_P5_seed9_medium,not_milp,86.28903,32.3485,524.123341,0.0,0.0,6904.081094,1.0,0,0.000429,386.3550723016,0.0,0.0
S,0,10,5,1,1,9,medium,alns_pinn_full,S10_P5_seed9_medium,not_milp,86.28903,32.3485,524.123341,0.0,0.0,7024.361416,1.0,0,0.000279,396.1307443016,0.0,0.0
S,1,15,8,1,2,0,medium,milp_highs,S15_P8_seed0_medium,optimal,62.464697,55.326614,722.730436,0.0,0.0,31125.18874,0.333333,0,0.054364,142.7694581285329,0.0027383361577590724,0.0
S,1,15,8,1,2,0,medium,alns_pinn,S15_P8_seed0_medium,not_milp,65.266931,98.552699,722.730436,0.0,0.0,21974.545328,1.0,0,0.000725,330.6216095128,0.0,4.486108369340203
S,1,15,8,1,2,0,medium,alns_pinn_full,S15_P8_seed0_medium,not_milp,64.824654,95.890008,722.730436,0.0,0.0,21928.693803,1.0,0,0.000567,331.98075451280005,0.0,3.7780652325904893
S,1,15,8,1,2,1,medium,milp_highs,S15_P8_seed1_medium,optimal,70.127377,51.035998,804.453936,0.0,0.0,16002.835049,0.333333,0,0.039294,148.81620857383137,0.007047603184728101,0.0
S,1,15,8,1,2,1,medium,alns_pinn,S15_P8_seed1_medium,not_milp,70.203475,102.421647,803.457909,0.0,0.0,11125.46103,1.0,0,0.000724,464.51750825600004,0.0,0.10851396880279976
S,1,15,8,1,2,1,medium,alns_pinn_full,S15_P8_seed1_medium,not_milp,69.045295,96.643354,803.457909,0.0,0.0,11013.038625,1.0,0,0.000579,461.488640256,0.0,0.0
S,1,15,8,1,2,2,medium,milp_highs,S15_P8_seed2_medium,optimal,59.549763,51.870926,667.374742,0.0,0.0,14731.405325,0.333333,0,0.102663,129.83641122705396,0.019826144964375954,0.0
S,1,15,8,1,2,2,medium,alns_pinn,S15_P8_seed2_medium,not_milp,56.716509,82.630136,667.374742,0.0,0.0,10184.189062,1.0,0,0.000709,354.320968712,0.0,0.0
S,1,15,8,1,2,2,medium,alns_pinn_full,S15_P8_seed2_medium,not_milp,57.131918,90.42202,667.374742,0.0,0.0,10330.406355,1.0,0,0.000575,358.760577712,0.0,0.0
S,1,15,8,1,2,3,medium,milp_highs,S15_P8_seed3_medium,optimal,68.948901,42.352004,753.783485,0.0,0.0,21885.033521,0.333333,0,0.156364,141.37841872618262,0.019288234160737872,0.0
S,1,15,8,1,2,3,medium,alns_pinn,S15_P8_seed3_medium,not_milp,65.207577,105.940981,722.738363,0.0,0.0,10860.901456,1.0,0,0.000725,413.5906151072,0.0,0.0
S,1,15,8,1,2,3,medium,alns_pinn_full,S15_P8_seed3_medium,not_milp,66.137461,106.169719,722.738363,0.0,0.0,10604.715179,1.0,0,0.000571,412.4545161072,0.0,0.0
S,1,15,8,1,2,4,medium,milp_highs,S15_P8_seed4_medium,optimal,69.496283,46.927493,745.682598,0.0,0.0,18169.558241,0.333333,0,0.058265,145.74309189851547,0.006039138660137438,0.0
