size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
S,0,10,5,1,1,0,medium,milp_highs,direct,3,S10_P5_seed0_medium,optimal,50,50,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.173625,21.590066,637.003113,0.1,0.1,6577.58604,0.5,82.0892,0.00475,1164.7351612912566,0.01628582975751672,0.0
S,0,10,5,1,1,0,medium,alns_pinn,direct,3,S10_P5_seed0_medium,not_milp,50,50,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.145608,49.911959,596.499585,0.1,0.1,4765.565563,1.0,0,0.000757,504.9531370991999,0.0,0.0
S,0,10,5,1,1,0,medium,alns_pinn_full,direct,3,S10_P5_seed0_medium,not_milp,50,50,0.0,50,80.0,2.0,0.0,2.0,81.0,10.0,11.0,16.0,13.0,21.0,19.0,46.0,34.0,96.289531,51.109778,598.6954,0.0,0.0,4926.983001,0.5,0,0.00505,502.4469775392,0.0,0.0
S,0,10,5,1,1,1,medium,milp_highs,direct,3,S10_P5_seed1_medium,optimal,50,50,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.151555,21.724488,684.304012,0.1,0.1,13659.265204,0.5,42.0288,0.002669,1175.4766736477932,0.018867567403997795,0.0
S,0,10,5,1,1,1,medium,alns_pinn,direct,3,S10_P5_seed1_medium,not_milp,50,50,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.541918,41.298038,633.221956,0.1,0.1,7120.685231,1.0,42.0288,0.000786,445.94185581680006,0.0,0.0
S,0,10,5,1,1,1,medium,alns_pinn_full,direct,3,S10_P5_seed1_medium,not_milp,50,50,0.0,50,80.0,1.0,0.0,1.0,81.0,10.0,19.0,15.0,16.0,13.0,17.0,36.0,44.0,103.116947,41.298038,635.872631,0.0,0.0,7163.007429,1.0,0,0.005219,437.16705557680007,0.0,0.0
S,1,15,8,1,2,0,medium,milp_highs,direct,3,S15_P8_seed0_medium,optimal,120,120,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.464697,55.326614,718.173235,0.0,0.0,31125.18874,0.333333,0,0.058971,142.7011001135329,0.0028169748277847993,0.0
S,1,15,8,1,2,0,medium,alns_pinn,direct,3,S15_P8_seed0_medium,not_milp,120,120,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.266931,98.552699,718.173235,0.0,0.0,21974.545328,1.0,0,0.001552,330.3931116328,0.0,4.486108369340203
S,1,15,8,1,2,0,medium,alns_pinn_full,direct,3,S15_P8_seed0_medium,not_milp,120,120,0.0,120,80.0,1.0,0.0,1.0,81.0,15.0,16.0,14.0,11.0,16.0,23.0,40.0,40.0,63.10611,87.114522,718.173235,0.0,0.0,21897.394182,1.0,0,0.011318,330.0337126328,0.0,1.0268408089772691
S,1,15,8,1,2,1,medium,milp_highs,direct,3,S15_P8_seed1_medium,optimal,120,120,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.127377,51.035998,798.521947,0.0,0.0,16002.835049,0.333333,0,0.046695,148.72722873883137,0.007085311979654748,0.0
