size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,scenario_id,milp_status,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
S,0,10,5,1,1,0,medium,milp_highs,S10_P5_seed0_medium,optimal,100.173625,21.590066,642.336158,0.1,0.1,6577.58604,0.5,82.0892,0.003899,1164.8151569662566,0.016288050642126344,0.0
S,0,10,5,1,1,0,medium,alns_pinn,S10_P5_seed0_medium,not_milp,95.145608,49.911959,601.508487,0.1,0.1,4765.565563,1.0,0,0.000435,505.2100110592,0.0,0.0
S,0,10,5,1,1,0,medium,alns_pinn_full,S10_P5_seed0_medium,not_milp,96.289531,54.293636,603.73665,0.0,0.0,4992.006048,1.0,0,0.000282,521.1194932592,0.0,0.0
S,0,10,5,1,1,1,medium,milp_highs,S10_P5_seed1_medium,optimal,108.151555,21.724488,689.262105,0.1,0.1,13659.265204,0.5,42.0288,0.003348,1175.5510450427932,0.01886614731142522,0.0
S,0,10,5,1,1,1,medium,alns_pinn,S10_P5_seed1_medium,not_milp,101.541918,41.298038,637.963351,0.1,0.1,7120.685231,1.0,42.0288,0.000578,446.18663421680003,0.0,0.0
S,0,10,5,1,1,1,medium,alns_pinn_full,S10_P5_seed1_medium,not_milp,103.116947,41.298038,640.639081,0.0,0.0,7140.498847,1.0,0,0.000312,447.6306558968,0.0,0.0
S,1,15,8,1,2,0,medium,milp_highs,S15_P8_seed0_medium,optimal,62.464697,55.326614,722.730436,0.0,0.0,31125.18874,0.333333,0,0.056068,142.7694581285329,0.0027383361577590724,0.0
S,1,15,8,1,2,0,medium,alns_pinn,S15_P8_seed0_medium,not_milp,65.266931,98.552699,722.730436,0.0,0.0,21974.545328,1.0,0,0.000837,330.6216095128,0.0,131.57726718773912
S,1,15,8,1,2,0,medium,alns_pinn_full,S15_P8_seed0_medium,not_milp,64.824654,95.890008,722.730436,0.0,0.0,21928.693803,1.0,0,0.000917,331.98075451280005,0.0,132.5292530100685
S,1,15,8,1,2,1,medium,milp_highs,S15_P8_seed1_medium,optimal,70.127377,51.035998,804.453936,0.0,0.0,16002.835049,0.333333,0,0.04022,148.81620857383137,0.007047603184728101,0.0
S,1,15,8,1,2,1,medium,alns_pinn,S15_P8_seed1_medium,not_milp,70.203475,102.421647,803.457909,0.0,0.0,11125.46103,1.0,0,0.00073,464.51750825600004,0.0,212.141743636441
S,1,15,8,1,2,1,medium,alns_pinn_full,S15_P8_seed1_medium,not_milp,69.045295,96.643354,803.457909,0.0,0.0,11013.038625,1.0,0,0.000576,461.488640256,0.0,210.10643576975968
S,2,20,10,1,2,0,medium,milp_highs,S20_P10_seed0_medium,optimal,95.633413,69.807185,1144.428103,0.0,0.0,30280.345519,0.4,0,0.049886,201.44158059766232,0.004526401724822932,0.0
S,2,20,10,1,2,0,medium,alns_pinn,S20_P10_seed0_medium,not_milp,99.427642,158.694196,1143.053837,0.0,0.0,23382.052271,1.0,0,0.001706,859.5831655888,0.0,326.71585629862517
S,2,20,10,1,2,0,medium,alns_pinn_full,S20_P10_seed0_medium,not_milp,99.479436,149.807836,1143.053837,0.0,0.0,23109.578194,1.0,0,0.000921,860.6464755888001,0.0,327.2437066048258
S,2,20,10,1,2,1,medium,milp_highs,S20_P10_seed1_medium,optimal,88.802143,68.263134,1110.941474,0.0,0.0,35311.222058,0.2,0,0.042096,188.0896488453759,0.012892724687120532,0.0
S,2,20,10,1,2,1,medium,alns_pinn,S20_P10_seed1_medium,not_milp,89.286228,143.955817,1107.88333,0.0,0.0,22076.68433,1.0,0,0.001241,791.1970666624,0.0,320.64891476979926
S,2,20,10,1,2,1,medium,alns_pinn_full,S20_P10_seed1_medium,not_milp,89.19137,144.983872,1107.88333,0.0,0.0,22056.576924,1.0,0,0.000962,791.1970666624001,0.0,320.64891476979926
