size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
S,0,10,5,1,1,0,medium,milp_highs,direct,3,S10_P5_seed0_medium,optimal,compact_makespan_energy_reference,False,post_hoc_schedule_evaluator,50,50,0.0,15,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.173625,21.590066,637.003113,0.1,0.1,6577.58604,0.5,0.5,82.0892,0.004951,1164.7351612912566,0.01628582975751672,0.0
S,0,10,5,1,1,0,medium,alns_pinn,direct,3,S10_P5_seed0_medium,not_milp,not_milp,False,not_milp,50,50,0.0,15,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.145608,49.911959,596.499585,0.1,0.1,4765.565563,1.0,0.5,0,0.001282,504.9531370991999,0.0,0.0
S,0,10,5,1,1,0,medium,alns_pinn_full,direct,3,S10_P5_seed0_medium,not_milp,not_milp,False,not_milp,50,50,0.0,15,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,65.0,8.0,15.0,4.0,81.0,10.0,160.0,13.0,11.0,17.0,16.0,23.0,27.0,33.0,8.0,12.0,96.289531,51.109778,598.6954,0.0,0.0,4926.983001,0.5,0.5,0,0.00422,502.4469775392,0.0,0.0
S,0,10,5,1,1,1,medium,milp_highs,direct,3,S10_P5_seed1_medium,optimal,compact_makespan_energy_reference,False,post_hoc_schedule_evaluator,50,50,0.0,15,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.151555,21.724488,684.304012,0.1,0.1,13659.265204,0.5,0.5,42.0288,0.002856,1175.4766736477932,0.018867567403997795,0.0
S,0,10,5,1,1,1,medium,alns_pinn,direct,3,S10_P5_seed1_medium,not_milp,not_milp,False,not_milp,50,50,0.0,15,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.541918,41.298038,633.221956,0.1,0.1,7120.685231,1.0,1.0,42.0288,0.000746,445.94185581680006,0.0,0.0
S,0,10,5,1,1,1,medium,alns_pinn_full,direct,3,S10_P5_seed1_medium,not_milp,not_milp,False,not_milp,50,50,0.0,15,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,63.0,4.0,17.0,1.0,81.0,10.0,160.0,21.0,16.0,17.0,9.0,17.0,27.0,25.0,8.0,20.0,103.116947,41.298038,635.872631,0.0,0.0,7163.007429,1.0,1.0,0,0.004081,437.16705557680007,0.0,0.0
S,0,10,5,1,1,2,medium,milp_highs,direct,3,S10_P5_seed2_medium,optimal,compact_makespan_energy_reference,False,post_hoc_schedule_evaluator,50,50,0.0,19,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.476471,31.735467,530.476329,0.0,0.0,16593.830851,0.5,0.5,0,0.018696,149.8907168072857,0.018336192118433414,0.0
S,0,10,5,1,1,2,medium,alns_pinn,direct,3,S10_P5_seed2_medium,not_milp,not_milp,False,not_milp,50,50,0.0,19,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.476471,49.679977,530.476329,0.0,0.0,14087.357104,0.5,0.5,0,0.000771,413.943630556,0.0,0.0
S,0,10,5,1,1,2,medium,alns_pinn_full,direct,3,S10_P5_seed2_medium,not_milp,not_milp,False,not_milp,50,50,0.0,19,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,61.0,1.0,19.0,0.0,81.0,10.0,160.0,18.0,18.0,19.0,9.0,16.0,28.0,25.0,11.0,16.0,91.476471,49.679977,530.476329,0.0,0.0,14087.357104,0.5,0.5,0,0.003957,413.943630556,0.0,0.0
S,0,10,5,1,1,3,medium,milp_highs,direct,3,S10_P5_seed3_medium,optimal,compact_makespan_energy_reference,False,post_hoc_schedule_evaluator,50,50,0.0,17,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.784295,26.119126,545.946586,0.0,0.0,25293.637222,0.0,0.0,0,0.025318,149.17708075491564,0.01992275638925169,0.0
