method,candidate_mode,size,tower_count,stop_count,uncertainty,n,makespan_mean,makespan_sd,total_vehicle_distance_mean,total_vehicle_distance_sd,expected_energy_mean,expected_energy_sd,energy_violation_rate_mean,energy_violation_rate_sd,infeasible_sortie_rate_mean,infeasible_sortie_rate_sd,risk_weighted_completion_time_mean,risk_weighted_completion_time_sd,top_risk_coverage_mean,top_risk_coverage_sd,feasible_top_risk_coverage_mean,feasible_top_risk_coverage_sd,sortie_count_mean,sortie_count_sd,avg_towers_per_sortie_mean,avg_towers_per_sortie_sd,missed_value_mean,missed_value_sd,solver_runtime_mean,solver_runtime_sd,objective_value_mean,objective_value_sd,milp_gap_mean,milp_gap_sd,milp_optimizes_rwct_mean,milp_optimizes_rwct_sd,optimality_gap_pct_mean,optimality_gap_pct_sd,total_candidate_pairs_mean,total_candidate_pairs_sd,screened_pair_count_mean,screened_pair_count_sd,candidate_pair_reduction_mean,candidate_pair_reduction_sd,feasible_candidate_pairs_mean,feasible_candidate_pairs_sd,service_graph_pattern_count_mean,service_graph_pattern_count_sd,service_graph_feasible_count_mean,service_graph_feasible_count_sd,selected_sortie_count_mean,selected_sortie_count_sd,missed_service_count_mean,missed_service_count_sd,duplicate_service_count_mean,duplicate_service_count_sd,objective_rwct_mean,objective_rwct_sd,objective_makespan_mean,objective_makespan_sd,objective_ground_travel_mean,objective_ground_travel_sd,objective_q95_energy_mean,objective_q95_energy_sd,objective_missed_penalty_mean,objective_missed_penalty_sd,objective_duplicate_penalty_mean,objective_duplicate_penalty_sd,objective_total_mean,objective_total_sd,alns_accepted_moves_mean,alns_accepted_moves_sd,alns_improving_moves_mean,alns_improving_moves_sd,alns_rejected_moves_mean,alns_rejected_moves_sd,alns_best_updates_mean,alns_best_updates_sd,alns_objective_evaluations_mean,alns_objective_evaluations_sd,alns_score_cache_size_mean,alns_score_cache_size_sd,alns_repair_position_evaluations_mean,alns_repair_position_evaluations_sd,alns_portfolio_candidate_count_mean,alns_portfolio_candidate_count_sd,alns_selected_portfolio_infeasible_count_mean,alns_selected_portfolio_infeasible_count_sd,alns_selected_portfolio_rwct_mean,alns_selected_portfolio_rwct_sd,alns_selected_portfolio_makespan_mean,alns_selected_portfolio_makespan_sd,destroy_random_removal_uses_mean,destroy_random_removal_uses_sd,destroy_worst_energy_removal_uses_mean,destroy_worst_energy_removal_uses_sd,destroy_shaw_related_removal_uses_mean,destroy_shaw_related_removal_uses_sd,destroy_path_segment_removal_uses_mean,destroy_path_segment_removal_uses_sd,destroy_uav_chain_removal_uses_mean,destroy_uav_chain_removal_uses_sd,repair_greedy_insert_repair_uses_mean,repair_greedy_insert_repair_uses_sd,repair_regret_insert_repair_uses_mean,repair_regret_insert_repair_uses_sd,repair_energy_minimum_insert_repair_uses_mean,repair_energy_minimum_insert_repair_uses_sd,repair_synchronization_aware_insert_repair_uses_mean,repair_synchronization_aware_insert_repair_uses_sd,baseline_candidate_evaluations_mean,baseline_candidate_evaluations_sd,baseline_generations_mean,baseline_generations_sd,baseline_population_size_mean,baseline_population_size_sd,baseline_ant_count_mean,baseline_ant_count_sd,baseline_best_order_score_mean,baseline_best_order_score_sd,alns_risk_value_weight_mean,alns_risk_value_weight_sd,alns_adaptive_enabled_mean,alns_adaptive_enabled_sd
aco,kmeans,L,150,75,medium,2,1236.06548,0.371684,2766.335552,12.390724,6771.881605,69.235861,0.0,0.0,0.0,0.0,365.142534,38.507642,0.972973,0.0,0.972973,0.0,150.0,0.0,1.0,0.0,0.0,0.0,0.195622,0.003246,93670.334298,2356.420161,0.0,0.0,0.0,0.0,0.0,0.0,11250.0,0.0,450.0,0.0,0.96,0.0,281.5,2.12132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,0.0,40.0,0.0,0.0,0.0,24.0,0.0,53910.592173,3156.546046,0.0,0.0,0.0,0.0
aco,kmeans,L,200,100,medium,2,1402.464432,5.178265,4354.225196,217.823995,8585.74632,175.134752,0.0,0.0,0.0,0.0,396.959455,3.097415,1.0,0.0,1.0,0.0,200.0,0.0,1.0,0.0,0.0,0.0,0.304761,0.014066,137837.588503,4594.205036,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,600.0,0.0,0.97,0.0,410.0,63.63961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,0.0,40.0,0.0,0.0,0.0,24.0,0.0,91129.743456,1255.57984,0.0,0.0,0.0,0.0
aco,kmeans,L,300,150,medium,2,1797.659705,103.843278,6979.018407,430.455008,13172.084492,380.43637,0.001667,0.002357,0.001667,0.002357,515.021622,25.86936,0.966667,0.028284,0.966667,0.028284,300.0,0.0,1.0,0.0,0.0,0.0,0.583114,0.021613,268696.662039,8889.431719,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,0.0,899.0,1.414214,0.980022,3.1e-05,623.5,41.7193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,0.0,40.0,0.0,0.0,0.0,24.0,0.0,201445.269928,4532.740359,0.0,0.0,0.0,0.0
aco,kmeans,L,500,250,medium,2,3541.406167,43.842262,14729.403921,268.782163,22516.220308,624.695972,0.002,0.0,0.002,0.0,995.162947,39.320819,0.984,0.0,0.984,0.0,500.0,0.0,1.0,0.0,0.0,0.0,1.413954,0.006471,877130.271674,30823.477725,0.0,0.0,0.0,0.0,0.0,0.0,125000.0,0.0,1498.0,0.0,0.988016,0.0,973.0,67.882251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,0.0,40.0,0.0,0.0,0.0,24.0,0.0,565506.618298,2848.220606,0.0,0.0,0.0,0.0
aco,kmeans,M,30,15,medium,2,204.857644,29.489465,238.981059,50.620171,1318.81881,24.40384,0.0,0.0,0.0,0.0,54.640596,5.251804,1.0,0.0,1.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,0.026814,0.000247,3068.771108,321.426183,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,90.0,0.0,0.8,0.0,58.5,6.363961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,50.0,0.0,0.0,0.0,24.0,0.0,1994.151767,354.065666,0.0,0.0,0.0,0.0
aco,kmeans,M,50,25,medium,2,454.202332,25.040844,598.911458,21.069702,2209.768523,0.437517,0.0,0.0,0.0,0.0,131.779001,6.249351,0.916667,0.0,0.916667,0.0,50.0,0.0,1.0,0.0,0.0,0.0,0.049915,0.000834,10949.332988,668.696996,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,150.0,0.0,0.88,0.0,103.5,4.949747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,50.0,0.0,0.0,0.0,24.0,0.0,6607.428835,108.954526,0.0,0.0,0.0,0.0
aco,kmeans,M,75,35,medium,2,509.873266,0.382922,1084.943534,26.474277,3400.307219,213.703274,0.0,0.0,0.0,0.0,133.588109,12.662376,0.944444,0.0,0.944444,0.0,75.0,0.0,1.0,0.0,0.0,0.0,0.080077,0.00457,18819.656364,177.190677,0.0,0.0,0.0,0.0,0.0,0.0,2625.0,0.0,225.0,0.0,0.914286,0.0,143.5,16.263456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,50.0,0.0,0.0,0.0,24.0,0.0,11994.082791,38.135486,0.0,0.0,0.0,0.0
aco,kmeans,M,100,50,medium,2,740.265286,33.856561,1646.4864,133.479807,4509.051446,173.889225,0.005,0.007071,0.005,0.007071,198.190923,19.660585,0.98,0.028284,0.98,0.028284,100.0,0.0,1.0,0.0,0.0,0.0,0.127904,0.014665,35609.354847,3107.224739,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,299.0,1.414214,0.9402,0.000283,185.5,12.020815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,50.0,0.0,0.0,0.0,24.0,0.0,23405.646115,953.531196,0.0,0.0,0.0,0.0
alns_fixed,kmeans,L,150,75,medium,2,823.450397,12.19596,1435.022303,91.762559,6153.977058,34.5228,0.126267,0.059615,0.126267,0.059615,357.303745,4.452856,0.337838,0.095555,0.337838,0.095555,101.0,8.485281,1.490408,0.125213,0.0,0.0,1.873312,0.056853,1450.376704,15.132594,0.0,0.0,0.0,0.0,0.0,0.0,11250.0,0.0,450.0,0.0,0.96,0.0,281.5,2.12132,23687.0,195.161472,1772.0,5.656854,101.0,8.485281,0.0,0.0,0.0,0.0,357.303745,4.452856,823.450397,12.19596,1324.635972,84.703901,7959.192817,2.298446,0.0,0.0,0.0,0.0,1450.376704,15.132594,48.5,0.707107,29.0,2.828427,11.5,0.707107,10.5,4.949747,61.0,0.0,150.0,0.0,1583.5,9.192388,1.0,0.0,0.0,0.0,357.303745,4.452856,823.450397,12.19596,13.5,6.363961,8.0,1.414214,14.5,3.535534,8.5,3.535534,15.5,0.707107,14.5,4.949747,14.5,0.707107,16.5,0.707107,14.5,4.949747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
alns_fixed,kmeans,L,200,100,medium,2,910.091975,12.158998,2152.754365,57.46167,7675.46787,81.875323,0.200251,0.061132,0.200251,0.061132,390.306002,56.293636,0.32,0.141421,0.32,0.141421,118.0,4.242641,1.696012,0.060979,0.0,0.0,2.479042,0.06892,1736.835221,1.36166,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,600.0,0.0,0.97,0.0,410.0,63.63961,31865.5,341.532575,2966.0,753.775829,118.0,4.242641,0.0,0.0,0.0,0.0,390.306002,56.293636,910.091975,12.158998,1987.157875,53.041541,9657.950366,499.193434,0.0,0.0,0.0,0.0,1736.835221,1.36166,43.5,9.192388,24.0,5.656854,16.5,9.192388,7.5,3.535534,61.0,0.0,200.0,0.0,2024.5,57.275649,1.0,0.0,0.0,0.0,390.306002,56.293636,910.091975,12.158998,7.0,0.0,13.0,2.828427,16.0,7.071068,17.0,1.414214,7.0,2.828427,12.0,0.0,10.5,0.707107,19.0,2.828427,18.5,3.535534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
