size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,implementation_family,service_graph_pattern_count,service_graph_feasible_count,selected_sortie_count,missed_service_count,duplicate_service_count,objective_rwct,objective_makespan,objective_ground_travel,objective_q95_energy,objective_missed_penalty,objective_duplicate_penalty,objective_total,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,alns_portfolio_candidate_count,alns_selected_portfolio_candidate,alns_selected_portfolio_infeasible_count,alns_selected_portfolio_rwct,alns_selected_portfolio_makespan,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,0,30,15,2,2,0,medium,greedy_nearest,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,54,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.33884,168.525736,1336.074931,0.0,0.0,82.795181,0.285714,0.285714,30,1.0,0,0.001129,2000.9565553228254,0.0,0.0
M,0,30,15,2,2,0,medium,ga,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,54,genetic_order_search,965.0,50.0,30.0,0.0,2636.768419,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.005443,203.187193,1336.074931,0.0,0.0,58.354182,1.0,1.0,30,1.0,0,0.016086,2841.4884743228254,0.0,0.0
M,0,30,15,2,2,0,medium,aco,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,54,ant_colony_order_search,1200.0,50.0,0.0,24.0,2244.514,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.005443,203.187193,1336.074931,0.0,0.0,58.354182,1.0,1.0,30,1.0,0,0.026989,2841.4884743228254,0.0,0.0
M,0,30,15,2,2,0,medium,alns_fixed,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,54,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,4491.0,332.0,24.0,0.0,0.0,52.228574,163.738641,135.809466,1543.472707,0.0,0.0,252.904519,False,0.0,True,56.0,35.0,44.0,9.0,101.0,30.0,500.0,1.0,alns_search,0.0,52.228574,163.738641,26.0,7.0,12.0,14.0,41.0,28.0,24.0,27.0,21.0,163.73864,158.444376,1238.40794,0.0,0.0,52.228574,0.428571,0.428571,24,1.25,0,1.013139,252.904519,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,54,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,4491.0,332.0,24.0,0.0,0.0,52.228574,163.738641,135.809466,1543.472707,0.0,0.0,252.904519,False,0.0,True,56.0,35.0,44.0,9.0,101.0,30.0,500.0,1.0,alns_search,0.0,52.228574,163.738641,26.0,7.0,12.0,14.0,41.0,28.0,24.0,27.0,21.0,163.73864,158.444376,1238.40794,0.0,0.0,52.228574,0.428571,0.428571,24,1.25,0,1.019574,252.904519,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn_uq,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,54,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,4491.0,148.0,23.0,0.0,0.0,49.6644,143.437518,123.63348,1529.108282,0.0,0.0,243.62608,True,0.0,True,57.0,26.0,43.0,10.0,101.0,30.0,500.0,1.0,alns_search,0.0,49.6644,143.437518,19.0,20.0,26.0,15.0,20.0,23.0,18.0,32.0,27.0,143.437518,144.23906,1226.882619,0.0,0.0,49.6644,0.571429,0.571429,23,1.304348,0,0.753964,243.62608,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn_full,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,54,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,4491.0,148.0,25.0,0.0,0.0,49.516819,157.858381,116.946681,1621.02679,0.0,0.0,254.885842,True,0.25,True,59.0,22.0,41.0,3.0,101.0,30.0,500.0,1.0,alns_search,0.0,49.516819,157.858381,13.0,28.0,24.0,16.0,19.0,26.0,23.0,26.0,25.0,157.858381,136.437795,1300.633589,0.0,0.0,49.516819,0.714286,0.714286,25,1.2,0,0.681299,254.885842,0.0,0.0
M,0,30,15,2,2,1,medium,greedy_nearest,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,63,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.022077,215.049458,1301.857374,0.0,0.0,80.07939,0.285714,0.285714,30,1.0,0,0.000995,2495.005135217699,0.0,0.0
M,0,30,15,2,2,1,medium,ga,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,63,genetic_order_search,972.0,50.0,30.0,0.0,2040.072541,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.709845,274.774925,1301.56269,0.0,0.0,50.92701,1.0,1.0,30,1.0,0,0.016153,3296.0537420576993,0.0,0.0
M,0,30,15,2,2,1,medium,aco,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,63,ant_colony_order_search,1200.0,50.0,0.0,24.0,1743.789533,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.709845,274.774925,1301.56269,0.0,0.0,50.92701,1.0,1.0,30,1.0,0,0.02664,3296.0537420576993,0.0,0.0
