size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,scenario_id,milp_status,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,0,30,15,2,2,0,medium,greedy_nearest,M30_P15_seed0_medium,not_milp,72.238812,277.682954,1646.537469,0.0,0.0,36200.67601,0.142857,0,0.000519,859.3001713632,0.0,0.0
M,0,30,15,2,2,0,medium,ga,M30_P15_seed0_medium,not_milp,71.677536,204.845592,1646.537469,0.0,0.0,22485.089931,0.714286,0,0.001976,991.8896143631999,0.0,0.0
M,0,30,15,2,2,0,medium,aco,M30_P15_seed0_medium,not_milp,71.607958,277.330739,1646.537469,0.0,0.0,28408.146995,0.428571,0,0.001927,896.8545163632,0.0,0.0
M,0,30,15,2,2,0,medium,alns_fixed,M30_P15_seed0_medium,not_milp,72.238812,277.682954,1646.537469,0.0,0.0,36200.67601,0.142857,0,0.00138,859.3001713632,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn,M30_P15_seed0_medium,not_milp,70.615073,203.099781,1646.537469,0.0,0.0,22481.814142,0.714286,0,0.002261,990.8271513631998,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn_uq,M30_P15_seed0_medium,not_milp,71.069521,207.275484,1646.537469,0.0,0.0,22492.396179,0.714286,0,0.002109,992.6650123631998,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn_full,M30_P15_seed0_medium,not_milp,70.92235,227.429009,1646.537469,0.0,0.0,22473.802242,0.714286,0,0.001883,996.7345233632001,0.0,0.0
M,0,30,15,2,2,1,medium,greedy_nearest,M30_P15_seed1_medium,not_milp,66.623553,296.819613,1514.957257,0.0,0.0,34191.922537,0.0,0,0.000484,814.2630319855999,0.0,0.0
M,0,30,15,2,2,1,medium,ga,M30_P15_seed1_medium,not_milp,68.554099,281.058837,1514.957257,0.0,0.0,18934.741792,1.0,0,0.002051,916.0583369855999,0.0,0.0
M,0,30,15,2,2,1,medium,aco,M30_P15_seed1_medium,not_milp,69.553266,243.733094,1514.957257,0.0,0.0,22184.774517,0.428571,0,0.001888,832.7542719856,0.0,0.0
M,0,30,15,2,2,1,medium,alns_fixed,M30_P15_seed1_medium,not_milp,66.623553,296.819613,1514.957257,0.0,0.0,34191.922537,0.0,0,0.000825,814.2630319855999,0.0,0.0
