size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,0,30,15,2,2,0,medium,greedy_nearest,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,450,90,0.8,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.845948,281.941724,1336.074931,0.0,0.0,30840.03183,0.285714,0,0.000659,690.4005536432002,0.0,0.0
M,0,30,15,2,2,0,medium,ga,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,450,90,0.8,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.179173,198.598658,1336.074931,0.0,0.0,19754.920207,1.0,0,0.004619,833.5155566432,0.0,0.0
M,0,30,15,2,2,0,medium,aco,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,450,90,0.8,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.122705,257.597439,1336.074931,0.0,0.0,24232.640067,0.285714,0,0.004563,700.8234556432001,0.0,0.0
M,0,30,15,2,2,0,medium,alns_fixed,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,450,90,0.8,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.845948,281.941724,1336.074931,0.0,0.0,30840.03183,0.285714,0,0.000996,690.4005536432002,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,450,90,0.8,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.179173,198.598658,1336.074931,0.0,0.0,19754.920207,1.0,0,0.004751,833.5155566432,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn_uq,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,450,90,0.8,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.179173,198.598658,1336.074931,0.0,0.0,19754.920207,1.0,0,0.004672,833.5155566432,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn_full,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,450,90,0.8,54,100.0,3.0,0.0,3.0,101.0,30.0,500.0,32.0,17.0,14.0,15.0,22.0,43.0,57.0,59.344569,250.112202,1336.074931,0.0,0.0,19415.57366,0.857143,0,0.011539,826.9175296432,0.0,0.0
M,0,30,15,2,2,1,medium,greedy_nearest,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,450,90,0.8,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.576724,227.861812,1301.857374,0.0,0.0,24698.671101,0.285714,0,0.000689,671.1781773456,0.0,0.0
M,0,30,15,2,2,1,medium,ga,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,450,90,0.8,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.697349,310.643265,1301.56269,0.0,0.0,15823.198361,1.0,0,0.005013,763.9039791856,0.0,0.0
M,0,30,15,2,2,1,medium,aco,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,450,90,0.8,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.947803,276.980017,1301.56269,0.0,0.0,19389.763577,0.428571,0,0.004405,684.3549431856,0.0,0.0
M,0,30,15,2,2,1,medium,alns_fixed,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,450,90,0.8,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.576724,227.861812,1301.857374,0.0,0.0,24698.671101,0.285714,0,0.000963,671.1781773456,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,450,90,0.8,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.780205,312.299234,1301.56269,0.0,0.0,15825.606479,1.0,0,0.004584,763.7775971856,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn_uq,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,450,90,0.8,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.16549,265.58936,1301.56269,0.0,0.0,15835.720204,1.0,0,0.0048,764.1628821856,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn_full,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,450,90,0.8,63,100.0,2.0,0.0,2.0,101.0,30.0,500.0,27.0,16.0,17.0,17.0,23.0,46.0,54.0,62.368457,310.057742,1301.56269,0.0,0.0,15727.462719,1.0,0,0.011663,761.1576581855999,0.0,0.0
M,1,50,25,2,2,0,medium,greedy_nearest,kmeans,3,M50_P25_seed0_medium_kmeans25,not_milp,1250,150,0.88,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.410932,505.329626,2210.077894,0.0,0.0,88045.662344,0.25,0,0.001317,1931.2352191424004,0.0,0.0
M,1,50,25,2,2,0,medium,ga,kmeans,3,M50_P25_seed0_medium_kmeans25,not_milp,1250,150,0.88,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.69909,607.425593,2210.077894,0.0,0.0,61079.804857,0.916667,0,0.012852,2442.6859431424004,0.0,0.0
M,1,50,25,2,2,0,medium,aco,kmeans,3,M50_P25_seed0_medium_kmeans25,not_milp,1250,150,0.88,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.725049,634.790658,2210.077894,0.0,0.0,75683.985707,0.333333,0,0.012737,1984.9583151424,0.0,0.0
M,1,50,25,2,2,0,medium,alns_fixed,kmeans,3,M50_P25_seed0_medium_kmeans25,not_milp,1250,150,0.88,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.410932,505.329626,2210.077894,0.0,0.0,88045.662344,0.25,0,0.00184,1931.2352191424004,0.0,0.0
M,1,50,25,2,2,0,medium,alns_pinn,kmeans,3,M50_P25_seed0_medium_kmeans25,not_milp,1250,150,0.88,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.076655,654.28723,2210.077894,0.0,0.0,61099.444883,0.916667,0,0.012726,2448.3010131424003,0.0,0.0
M,1,50,25,2,2,0,medium,alns_pinn_uq,kmeans,3,M50_P25_seed0_medium_kmeans25,not_milp,1250,150,0.88,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.076655,654.28723,2210.077894,0.0,0.0,61099.444883,0.916667,0,0.013383,2448.3010131424003,0.0,0.0
M,1,50,25,2,2,0,medium,alns_pinn_full,kmeans,3,M50_P25_seed0_medium_kmeans25,not_milp,1250,150,0.88,107,100.0,4.0,0.0,4.0,101.0,50.0,900.0,19.0,21.0,21.0,18.0,21.0,47.0,53.0,103.154642,625.900396,2210.077894,0.0,0.0,61048.528966,0.916667,0,0.030324,2457.2569511424003,0.0,0.0
M,1,50,25,2,2,1,medium,greedy_nearest,kmeans,3,M50_P25_seed1_medium_kmeans25,not_milp,1250,150,0.88,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.111746,542.44015,2211.203907,0.0,0.0,77555.127922,0.25,0,0.001436,2018.266027172,0.0,0.0
M,1,50,25,2,2,1,medium,ga,kmeans,3,M50_P25_seed1_medium_kmeans25,not_milp,1250,150,0.88,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.186364,702.216788,2209.459151,0.0,0.0,55339.374052,0.833333,0,0.012182,2243.6392151720006,0.0,0.0
M,1,50,25,2,2,1,medium,aco,kmeans,3,M50_P25_seed1_medium_kmeans25,not_milp,1250,150,0.88,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.392498,576.511663,2209.459151,0.0,0.0,67490.591526,0.333333,0,0.012014,2066.9941501720004,0.0,0.0
M,1,50,25,2,2,1,medium,alns_fixed,kmeans,3,M50_P25_seed1_medium_kmeans25,not_milp,1250,150,0.88,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.111746,542.44015,2211.203907,0.0,0.0,77555.127922,0.25,0,0.002698,2018.266027172,0.0,0.0
M,1,50,25,2,2,1,medium,alns_pinn,kmeans,3,M50_P25_seed1_medium_kmeans25,not_milp,1250,150,0.88,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.911797,649.255917,2209.459151,0.0,0.0,55363.069304,0.833333,0,0.01217,2246.120381172,0.0,0.0
M,1,50,25,2,2,1,medium,alns_pinn_uq,kmeans,3,M50_P25_seed1_medium_kmeans25,not_milp,1250,150,0.88,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.155652,626.096653,2209.459151,0.0,0.0,55435.067717,0.833333,0,0.012777,2250.773763172,0.0,0.0
M,1,50,25,2,2,1,medium,alns_pinn_full,kmeans,3,M50_P25_seed1_medium_kmeans25,not_milp,1250,150,0.88,100,100.0,5.0,0.0,5.0,101.0,50.0,900.0,16.0,21.0,23.0,19.0,21.0,51.0,49.0,104.326287,618.0457,2209.459151,0.0,0.0,54897.716817,0.916667,0,0.030269,2245.6932751719996,0.0,0.0
M,2,75,35,3,3,0,medium,greedy_nearest,kmeans,3,M75_P35_seed0_medium_kmeans35,not_milp,2625,225,0.914286,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.50386,1183.294286,3249.196185,0.0,0.0,51205.617564,0.222222,0,0.0024,1925.0513280888003,0.0,0.0
M,2,75,35,3,3,0,medium,ga,kmeans,3,M75_P35_seed0_medium_kmeans35,not_milp,2625,225,0.914286,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.173458,1260.203821,3249.196185,0.0,0.0,34276.470596,0.888889,0,0.025651,2178.8224260887996,0.0,0.0
M,2,75,35,3,3,0,medium,aco,kmeans,3,M75_P35_seed0_medium_kmeans35,not_milp,2625,225,0.914286,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.965721,1194.612211,3249.196185,0.0,0.0,43236.763796,0.222222,0,0.025253,1926.5923240888,0.0,0.0
M,2,75,35,3,3,0,medium,alns_fixed,kmeans,3,M75_P35_seed0_medium_kmeans35,not_milp,2625,225,0.914286,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.50386,1183.294286,3249.196185,0.0,0.0,51205.617564,0.222222,0,0.002994,1925.0513280888003,0.0,0.0
M,2,75,35,3,3,0,medium,alns_pinn,kmeans,3,M75_P35_seed0_medium_kmeans35,not_milp,2625,225,0.914286,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.290505,1279.327352,3249.196185,0.0,0.0,34323.754401,0.888889,0,0.027404,2187.2779110888,0.0,0.0
M,2,75,35,3,3,0,medium,alns_pinn_uq,kmeans,3,M75_P35_seed0_medium_kmeans35,not_milp,2625,225,0.914286,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.039026,1361.303424,3249.196185,0.0,0.0,34324.351622,0.888889,0,0.025407,2189.1743880888007,0.0,0.0
M,2,75,35,3,3,0,medium,alns_pinn_full,kmeans,3,M75_P35_seed0_medium_kmeans35,not_milp,2625,225,0.914286,155,100.0,8.0,0.0,8.0,101.0,75.0,1400.0,19.0,16.0,20.0,16.0,29.0,41.0,59.0,67.637569,1293.834889,3249.196185,0.0,0.0,34128.895146,0.944444,0,0.059574,2177.7123740888,0.0,0.0
M,2,75,35,3,3,1,medium,greedy_nearest,kmeans,3,M75_P35_seed1_medium_kmeans35,not_milp,2625,225,0.914286,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.323412,1138.736469,3551.418253,0.0,0.0,82821.246384,0.277778,0,0.002442,2073.5722859903995,0.0,0.0
M,2,75,35,3,3,1,medium,ga,kmeans,3,M75_P35_seed1_medium_kmeans35,not_milp,2625,225,0.914286,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.611273,1276.60052,3551.418253,0.0,0.0,50631.834492,0.888889,0,0.025106,2352.239896990399,0.0,0.0
M,2,75,35,3,3,1,medium,aco,kmeans,3,M75_P35_seed1_medium_kmeans35,not_milp,2625,225,0.914286,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.963979,1171.683079,3551.418253,0.0,0.0,66611.921397,0.444444,0,0.02511,2090.0499809904,0.0,0.0
M,2,75,35,3,3,1,medium,alns_fixed,kmeans,3,M75_P35_seed1_medium_kmeans35,not_milp,2625,225,0.914286,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.323412,1138.736469,3551.418253,0.0,0.0,82821.246384,0.277778,0,0.003119,2073.5722859903995,0.0,0.0
M,2,75,35,3,3,1,medium,alns_pinn,kmeans,3,M75_P35_seed1_medium_kmeans35,not_milp,2625,225,0.914286,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.787787,1149.022842,3551.418253,0.0,0.0,50671.901042,0.888889,0,0.030997,2356.6835579904,0.0,0.0
M,2,75,35,3,3,1,medium,alns_pinn_uq,kmeans,3,M75_P35_seed1_medium_kmeans35,not_milp,2625,225,0.914286,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.974959,1231.507792,3551.418253,0.0,0.0,50700.125747,0.888889,0,0.026791,2358.3844159903997,0.0,0.0
M,2,75,35,3,3,1,medium,alns_pinn_full,kmeans,3,M75_P35_seed1_medium_kmeans35,not_milp,2625,225,0.914286,132,100.0,5.0,0.0,5.0,101.0,75.0,1400.0,19.0,22.0,23.0,19.0,17.0,52.0,48.0,72.808269,1175.724739,3551.418253,0.0,0.0,50380.2436,0.888889,0,0.065914,2348.2295459903994,0.0,0.0
M,3,100,50,3,3,0,medium,greedy_nearest,kmeans,3,M100_P50_seed0_medium_kmeans50,not_milp,5000,298,0.9404,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.489646,1799.471025,4632.009696,0.01,0.01,145328.87446,0.28,0,0.004357,3647.043459348801,0.0,0.0
M,3,100,50,3,3,0,medium,ga,kmeans,3,M100_P50_seed0_medium_kmeans50,not_milp,5000,298,0.9404,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.566963,2252.318964,4632.009696,0.01,0.01,97588.848638,0.88,0,0.0488,4225.188111348801,0.0,0.0
