size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,scenario_id,milp_status,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,1,50,25,2,2,0,high,alns_pinn_full,M50_P25_seed0_high,not_milp,113.700787,584.29048,2613.45621,0.0,0.0,65806.846161,0.916667,0,0.005535,2797.6223394224,0.0,0.0
M,1,50,25,2,2,0,high,no_pinn,M50_P25_seed0_high,not_milp,120.249981,586.723422,2611.341785,0.02,0.02,100459.043177,0.25,0,0.001612,2448.3716813824008,0.0,0.0
M,1,50,25,2,2,0,high,no_adaptive,M50_P25_seed0_high,not_milp,113.816391,605.971567,2611.164352,0.02,0.02,66000.284047,0.833333,0,0.004612,2784.4532075823995,0.0,0.0
M,1,50,25,2,2,0,high,no_uq,M50_P25_seed0_high,not_milp,113.700787,584.29048,2611.164352,0.02,0.02,65713.710454,0.916667,0,0.004534,2792.2742565824,0.0,0.0
M,1,50,25,2,2,0,high,no_risk_value,M50_P25_seed0_high,not_milp,113.816391,605.971567,2613.45621,0.0,0.0,66097.971479,0.833333,0,0.00628,2789.8012904224,0.0,0.0
M,1,50,25,2,2,1,high,alns_pinn_full,M50_P25_seed1_high,not_milp,117.883769,614.423226,2596.050152,0.0,0.0,61319.291754,0.833333,0,0.004951,2604.8136448920004,0.0,0.0
M,1,50,25,2,2,1,high,no_pinn,M50_P25_seed1_high,not_milp,116.05345,658.817334,2594.250278,0.02,0.02,84572.146318,0.25,0,0.001548,2395.7110916119996,0.0,0.0
M,1,50,25,2,2,1,high,no_adaptive,M50_P25_seed1_high,not_milp,117.160837,673.689032,2594.250278,0.02,0.02,62104.189887,0.833333,0,0.005789,2605.6080926120007,0.0,0.0
M,1,50,25,2,2,1,high,no_uq,M50_P25_seed1_high,not_milp,116.812938,614.423226,2594.250278,0.02,0.02,61317.102405,0.833333,0,0.004652,2604.501333612,0.0,0.0
M,1,50,25,2,2,1,high,no_risk_value,M50_P25_seed1_high,not_milp,118.087746,687.039513,2596.050152,0.0,0.0,62103.968395,0.833333,0,0.0053,2605.7764818920004,0.0,0.0
M,1,50,25,2,2,2,high,alns_pinn_full,M50_P25_seed2_high,not_milp,117.372686,638.476888,2708.406259,0.0,0.0,43804.987673,0.916667,0,0.005086,2730.4666071695997,0.0,0.0
M,1,50,25,2,2,2,high,no_pinn,M50_P25_seed2_high,not_milp,115.467982,660.249327,2709.039785,0.04,0.04,71006.93996,0.333333,0,0.001441,2533.4952414896,0.0,0.0
M,1,50,25,2,2,2,high,no_adaptive,M50_P25_seed2_high,not_milp,117.1433,620.381722,2704.883149,0.04,0.04,44444.440252,0.75,0,0.00463,2725.7411624096,0.0,0.0
M,1,50,25,2,2,2,high,no_uq,M50_P25_seed2_high,not_milp,116.313554,638.476888,2704.883149,0.04,0.04,43774.91672,0.916667,0,0.004839,2725.2856694096,0.0,0.0
M,1,50,25,2,2,2,high,no_risk_value,M50_P25_seed2_high,not_milp,116.986285,654.881902,2708.406259,0.0,0.0,44453.475683,0.75,0,0.005177,2728.5554951696,0.0,0.0
M,1,50,25,2,2,3,high,alns_pinn_full,M50_P25_seed3_high,not_milp,118.802796,643.872411,2606.509736,0.0,0.0,62678.005341,0.916667,0,0.005698,2819.8729363879997,0.0,0.0
M,1,50,25,2,2,3,high,no_pinn,M50_P25_seed3_high,not_milp,120.827549,613.91066,2606.509736,0.0,0.0,84764.533131,0.166667,0,0.00149,2506.6302893880006,0.0,0.0
M,1,50,25,2,2,3,high,no_adaptive,M50_P25_seed3_high,not_milp,118.882921,628.583242,2606.509736,0.0,0.0,63118.048939,0.833333,0,0.006341,2816.119033388,0.0,0.0
M,1,50,25,2,2,3,high,no_uq,M50_P25_seed3_high,not_milp,118.802796,643.872411,2606.509736,0.0,0.0,62678.005341,0.916667,0,0.005522,2819.8729363879997,0.0,0.0
M,1,50,25,2,2,3,high,no_risk_value,M50_P25_seed3_high,not_milp,118.92042,612.002472,2606.509736,0.0,0.0,63117.378836,0.833333,0,0.00576,2816.0815343880004,0.0,0.0
M,1,50,25,2,2,4,high,alns_pinn_full,M50_P25_seed4_high,not_milp,115.418826,561.040741,2756.515532,0.0,0.0,54905.342368,1.0,0,0.004924,2628.8493701767998,0.0,0.0
M,1,50,25,2,2,4,high,no_pinn,M50_P25_seed4_high,not_milp,121.139077,623.724824,2754.487619,0.02,0.02,85440.930562,0.25,0,0.001459,2487.4505480968005,0.0,0.0
M,1,50,25,2,2,4,high,no_adaptive,M50_P25_seed4_high,not_milp,118.451026,623.10326,2754.487619,0.02,0.02,55250.809029,0.916667,0,0.004773,2630.2211750968004,0.0,0.0
M,1,50,25,2,2,4,high,no_uq,M50_P25_seed4_high,not_milp,115.418826,561.040741,2754.487619,0.02,0.02,54899.483143,1.0,0,0.007594,2628.6017970968,0.0,0.0
M,1,50,25,2,2,4,high,no_risk_value,M50_P25_seed4_high,not_milp,115.784882,588.502909,2756.515532,0.0,0.0,55254.449469,0.916667,0,0.005034,2629.6457211767997,0.0,0.0
M,1,50,25,2,2,5,high,alns_pinn_full,M50_P25_seed5_high,not_milp,117.246455,620.846206,2501.190659,0.0,0.0,61884.624598,0.833333,0,0.007694,2559.7227349016,0.0,0.0
M,1,50,25,2,2,5,high,no_pinn,M50_P25_seed5_high,not_milp,114.801279,617.876788,2501.335975,0.02,0.02,86735.842716,0.083333,0,0.001986,2350.9352789816003,0.0,0.0
M,1,50,25,2,2,5,high,no_adaptive,M50_P25_seed5_high,not_milp,116.71915,573.120518,2499.210594,0.02,0.02,62062.223194,0.666667,0,0.006171,2549.9213172215996,0.0,0.0
M,1,50,25,2,2,5,high,no_uq,M50_P25_seed5_high,not_milp,115.963562,620.846206,2499.210594,0.02,0.02,61883.19868,0.833333,0,0.00617,2559.2744102215997,0.0,0.0
M,1,50,25,2,2,5,high,no_risk_value,M50_P25_seed5_high,not_milp,118.506922,541.877681,2501.190659,0.0,0.0,62096.485562,0.666667,0,0.007161,2550.5514859016,0.0,0.0
M,1,50,25,2,2,6,high,alns_pinn_full,M50_P25_seed6_high,not_milp,124.440174,586.851582,2795.269196,0.02,0.02,45329.97052,0.916667,43.9562,0.00672,2873.4192355199993,0.0,0.0
M,1,50,25,2,2,6,high,no_pinn,M50_P25_seed6_high,not_milp,120.318069,591.229756,2799.03563,0.06,0.06,70476.015308,0.333333,0,0.002059,2580.2655064,0.0,0.0
M,1,50,25,2,2,6,high,no_adaptive,M50_P25_seed6_high,not_milp,122.77505,585.694809,2793.404153,0.04,0.04,45593.449842,0.916667,0,0.004833,2874.3599440000003,0.0,0.0
M,1,50,25,2,2,6,high,no_uq,M50_P25_seed6_high,not_milp,123.334545,586.851582,2793.404153,0.04,0.04,45329.46285,0.916667,0,0.005664,2873.131111999999,0.0,0.0
M,1,50,25,2,2,6,high,no_risk_value,M50_P25_seed6_high,not_milp,123.880679,602.405085,2795.269196,0.02,0.02,45598.150037,0.916667,43.9562,0.005388,2874.6480675200005,0.0,0.0
M,1,50,25,2,2,7,high,alns_pinn_full,M50_P25_seed7_high,not_milp,115.564364,638.384834,2679.088106,0.0,0.0,70289.235215,1.0,0,0.0051,2617.0647852536003,0.0,0.0
M,1,50,25,2,2,7,high,no_pinn,M50_P25_seed7_high,not_milp,114.023387,612.012595,2681.054143,0.0,0.0,99414.702235,0.333333,0,0.001458,2412.3862079736004,0.0,0.0
M,1,50,25,2,2,7,high,no_adaptive,M50_P25_seed7_high,not_milp,115.571473,627.992983,2679.088106,0.0,0.0,70668.366094,1.0,0,0.005375,2616.1283392535997,0.0,0.0
M,1,50,25,2,2,7,high,no_uq,M50_P25_seed7_high,not_milp,115.564364,638.384834,2679.088106,0.0,0.0,70289.235215,1.0,0,0.004819,2617.0647852536003,0.0,0.0
M,1,50,25,2,2,7,high,no_risk_value,M50_P25_seed7_high,not_milp,115.186865,584.166198,2679.088106,0.0,0.0,70682.211432,1.0,0,0.00634,2616.3656782535995,0.0,0.0
M,1,50,25,2,2,8,high,alns_pinn_full,M50_P25_seed8_high,not_milp,118.51588,631.119215,2758.719846,0.0,0.0,52936.762512,0.833333,0,0.00539,2849.4993066456004,0.0,0.0
M,1,50,25,2,2,8,high,no_pinn,M50_P25_seed8_high,not_milp,118.614598,634.940374,2761.08326,0.04,0.04,85003.052149,0.083333,0,0.001442,2547.953684245601,0.0,0.0
M,1,50,25,2,2,8,high,no_adaptive,M50_P25_seed8_high,not_milp,118.524825,649.500272,2755.012395,0.04,0.04,53268.909962,0.75,0,0.006175,2839.5571838456,0.0,0.0
M,1,50,25,2,2,8,high,no_uq,M50_P25_seed8_high,not_milp,118.39545,648.119087,2755.012395,0.04,0.04,52874.315171,0.833333,0,0.004893,2842.1564138456,0.0,0.0
M,1,50,25,2,2,8,high,no_risk_value,M50_P25_seed8_high,not_milp,119.304715,606.553224,2758.719846,0.0,0.0,53370.43579,0.75,0,0.007056,2848.6785986456,0.0,0.0
M,1,50,25,2,2,9,high,alns_pinn_full,M50_P25_seed9_high,not_milp,113.722115,637.099419,2708.853118,0.0,0.0,63170.956901,0.916667,0,0.006003,2584.71120474,0.0,0.0
M,1,50,25,2,2,9,high,no_pinn,M50_P25_seed9_high,not_milp,113.532259,699.60701,2708.536494,0.02,0.02,89384.96378,0.333333,0,0.00149,2414.8113641,0.0,0.0
M,1,50,25,2,2,9,high,no_adaptive,M50_P25_seed9_high,not_milp,112.099328,637.177078,2706.949577,0.02,0.02,63619.605179,0.75,0,0.004595,2582.2184881000003,0.0,0.0
M,1,50,25,2,2,9,high,no_uq,M50_P25_seed9_high,not_milp,112.772652,637.099419,2706.949577,0.02,0.02,63163.736923,0.916667,0,0.007266,2584.5888791,0.0,0.0
M,1,50,25,2,2,9,high,no_risk_value,M50_P25_seed9_high,not_milp,112.601182,637.177078,2708.853118,0.0,0.0,63626.825157,0.75,0,0.006688,2582.34081374,0.0,0.0
