size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,M50_P25_seed0_high_kmeans25,not_milp,1250,148,0.8816,87,100.0,4.0,0.0,2.0,101.0,50.0,900.0,17.0,22.0,21.0,16.0,24.0,47.0,53.0,103.086942,618.143857,2211.976027,0.0,0.0,60709.293726,0.916667,0,0.029322,2475.1522335024006,0.0,0.0
M,1,50,25,2,2,0,high,no_pinn,kmeans,3,M50_P25_seed0_high_kmeans25,not_milp,1250,148,0.8816,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.410932,505.329626,2210.077894,0.02,0.02,88045.662344,0.25,0,0.001892,1949.4261163423998,0.0,0.0
M,1,50,25,2,2,0,high,no_adaptive,kmeans,3,M50_P25_seed0_high_kmeans25,not_milp,1250,148,0.8816,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.076655,654.28723,2210.077894,0.02,0.02,61099.444883,0.916667,0,0.013185,2466.4919103424,0.0,0.0
M,1,50,25,2,2,0,high,no_uq,kmeans,3,M50_P25_seed0_high_kmeans25,not_milp,1250,148,0.8816,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.145829,613.426486,2210.077894,0.02,0.02,61316.58445,0.916667,0,0.012678,2491.3917863424,0.0,0.0
M,1,50,25,2,2,0,high,no_risk_value,kmeans,3,M50_P25_seed0_high_kmeans25,not_milp,1250,148,0.8816,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.53533,658.509409,2211.976027,0.0,0.0,61520.294254,0.916667,0,0.012042,2479.5947295024,0.0,0.0
M,1,50,25,2,2,0,high,no_clustering,direct,3,M50_P25_seed0_high,not_milp,1250,1250,0.0,1250,100.0,5.0,0.0,5.0,101.0,50.0,900.0,19.0,21.0,19.0,18.0,23.0,46.0,54.0,114.067732,625.884327,2601.619784,0.0,0.0,65406.194091,0.833333,0,0.031271,2737.7930095424,0.0,0.0
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,M50_P25_seed1_high_kmeans25,not_milp,1250,148,0.8816,81,100.0,5.0,0.0,5.0,101.0,50.0,900.0,16.0,21.0,23.0,19.0,21.0,51.0,49.0,105.960169,656.727944,2211.340411,0.0,0.0,55073.896115,0.916667,0,0.035314,2245.081591052,0.0,0.0
M,1,50,25,2,2,1,high,no_pinn,kmeans,3,M50_P25_seed1_high_kmeans25,not_milp,1250,148,0.8816,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.111746,542.44015,2211.203907,0.02,0.02,77555.127922,0.25,0,0.002225,2039.1146492520002,0.0,0.0
M,1,50,25,2,2,1,high,no_adaptive,kmeans,3,M50_P25_seed1_high_kmeans25,not_milp,1250,148,0.8816,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.911797,649.255917,2209.459151,0.02,0.02,55363.069304,0.833333,0,0.013412,2266.9525526120005,0.0,0.0
M,1,50,25,2,2,1,high,no_uq,kmeans,3,M50_P25_seed1_high_kmeans25,not_milp,1250,148,0.8816,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.536656,671.007232,2209.459151,0.02,0.02,55088.446556,0.916667,0,0.012829,2282.004208612,0.0,0.0
