size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,scenario_id,milp_status,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,1,50,25,2,2,0,high,alns_pinn_full,M50_P25_seed0_high,not_milp,113.700787,584.29048,2613.45621,0.0,0.0,65806.846161,0.916667,0,0.005101,2797.6223394224,0.0,
M,1,50,25,2,2,0,high,no_pinn,M50_P25_seed0_high,not_milp,120.249981,586.723422,2611.341785,0.02,0.02,100459.043177,0.25,0,0.001434,2448.3716813824008,0.0,
M,1,50,25,2,2,0,high,no_adaptive,M50_P25_seed0_high,not_milp,113.816391,605.971567,2611.164352,0.02,0.02,66000.284047,0.833333,0,0.004975,2784.4532075823995,0.0,
M,1,50,25,2,2,0,high,no_uq,M50_P25_seed0_high,not_milp,113.700787,584.29048,2611.164352,0.02,0.02,65713.710454,0.916667,0,0.004624,2792.2742565824,0.0,
M,1,50,25,2,2,0,high,no_risk_value,M50_P25_seed0_high,not_milp,113.816391,605.971567,2613.45621,0.0,0.0,66097.971479,0.833333,0,0.005032,2789.8012904224,0.0,
M,1,50,25,2,2,1,high,alns_pinn_full,M50_P25_seed1_high,not_milp,117.883769,614.423226,2596.050152,0.0,0.0,61319.291754,0.833333,0,0.004899,2604.8136448920004,0.0,
M,1,50,25,2,2,1,high,no_pinn,M50_P25_seed1_high,not_milp,116.05345,658.817334,2594.250278,0.02,0.02,84572.146318,0.25,0,0.001446,2395.7110916119996,0.0,
M,1,50,25,2,2,1,high,no_adaptive,M50_P25_seed1_high,not_milp,117.160837,673.689032,2594.250278,0.02,0.02,62104.189887,0.833333,0,0.004616,2605.6080926120007,0.0,
M,1,50,25,2,2,1,high,no_uq,M50_P25_seed1_high,not_milp,116.812938,614.423226,2594.250278,0.02,0.02,61317.102405,0.833333,0,0.005828,2604.501333612,0.0,
M,1,50,25,2,2,1,high,no_risk_value,M50_P25_seed1_high,not_milp,118.087746,687.039513,2596.050152,0.0,0.0,62103.968395,0.833333,0,0.005721,2605.7764818920004,0.0,
