size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,scenario_id,milp_status,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
CASE,0,200,100,4,3,0,high,alns_fixed,CASE200_P100_seed0_high,not_milp,149.944058,6624.985868,9754.455183,0.0,0.0,385292.283447,0.2,0,0.013054,13227.9061934024,0.0,0.0
CASE,0,200,100,4,3,0,high,alns_pinn,CASE200_P100_seed0_high,not_milp,151.675346,6714.439273,9754.393247,0.0,0.0,244396.694668,0.88,0,0.075383,14362.035282002402,0.0,0.0
CASE,0,200,100,4,3,0,high,alns_pinn_full,CASE200_P100_seed0_high,not_milp,151.612283,6353.017243,9754.393247,0.0,0.0,242847.437542,0.92,0,0.078785,14380.500842002411,0.0,0.0
CASE,0,200,100,4,3,1,high,alns_fixed,CASE200_P100_seed1_high,not_milp,152.488328,6584.874833,10737.52427,0.01,0.01,461879.215466,0.16,0,0.013399,13140.446732625604,0.0,0.0
CASE,0,200,100,4,3,1,high,alns_pinn,CASE200_P100_seed1_high,not_milp,148.177253,6393.833788,10705.63947,0.01,0.01,270575.486312,0.9,0,0.07623,14704.813934425596,0.0,0.0
CASE,0,200,100,4,3,1,high,alns_pinn_full,CASE200_P100_seed1_high,not_milp,148.52954,6352.618289,10709.269557,0.0,0.0,269911.093662,0.94,0,0.08313,14740.482151745606,0.0,0.0
CASE,0,200,100,4,3,2,high,alns_fixed,CASE200_P100_seed2_high,not_milp,155.363349,6430.318135,9859.813873,0.0,0.0,372384.904815,0.28,0,0.012338,13221.922649712798,0.0,0.0
CASE,0,200,100,4,3,2,high,alns_pinn,CASE200_P100_seed2_high,not_milp,151.492962,6100.034531,9859.813873,0.0,0.0,230879.882665,0.9,0,0.075032,14453.757061712793,0.0,0.0
CASE,0,200,100,4,3,2,high,alns_pinn_full,CASE200_P100_seed2_high,not_milp,152.118337,6202.308897,9859.813873,0.0,0.0,229564.632712,0.9,0,0.082675,14478.692193712799,0.0,0.0
CASE,0,200,100,4,3,3,high,alns_fixed,CASE200_P100_seed3_high,not_milp,152.763181,6563.312998,10164.306716,0.0,0.0,463478.513994,0.28,0,0.013332,13041.001441381597,0.0,0.0
CASE,0,200,100,4,3,3,high,alns_pinn,CASE200_P100_seed3_high,not_milp,152.456787,5956.564539,10164.306716,0.0,0.0,287412.091683,0.88,0,0.076735,14358.792010381601,0.0,0.0
CASE,0,200,100,4,3,3,high,alns_pinn_full,CASE200_P100_seed3_high,not_milp,152.826272,6543.442433,10164.306716,0.0,0.0,286474.092408,0.9,0,0.080882,14375.975561381598,0.0,0.0
CASE,0,200,100,4,3,4,high,alns_fixed,CASE200_P100_seed4_high,not_milp,152.381412,6344.391253,10132.174739,0.005,0.005,391031.774273,0.26,0,0.016768,13162.548682832805,0.0,0.0
CASE,0,200,100,4,3,4,high,alns_pinn,CASE200_P100_seed4_high,not_milp,151.861846,6307.577181,10127.278826,0.005,0.005,239840.202197,0.9,0,0.080316,14169.135498632799,0.0,0.0
CASE,0,200,100,4,3,4,high,alns_pinn_full,CASE200_P100_seed4_high,not_milp,152.899716,6436.789905,10129.166935,0.0,0.0,238214.812229,0.94,0,0.080265,14176.5518351928,0.0,0.0
