size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
CASE,0,200,100,4,3,0,high,alns_fixed,kmeans,3,CASE200_P100_seed0_high_kmeans100,not_milp,20000,600,0.97,389,,0.0,0.0,0.0,0.0,0.0,False,0.0,72.0,40.0,8.0,25.0,81.0,200.0,2880.0,19.0,18.0,21.0,14.0,8.0,23.0,20.0,17.0,20.0,138.872551,6288.964163,8461.907349,0.0,0.0,327425.443573,0.16,0,0.851143,10681.227133122402,0.0,0.0
CASE,0,200,100,4,3,0,high,alns_pinn,kmeans,3,CASE200_P100_seed0_high_kmeans100,not_milp,20000,600,0.97,389,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.696093,6491.334547,8461.907349,0.0,0.0,222864.604585,0.88,0,0.282767,12942.062340122395,0.0,0.0
CASE,0,200,100,4,3,0,high,alns_pinn_full,kmeans,3,CASE200_P100_seed0_high_kmeans100,not_milp,20000,600,0.97,389,,0.0,0.0,0.0,0.0,0.0,True,0.25,60.0,21.0,20.0,4.0,81.0,200.0,2880.0,22.0,14.0,14.0,13.0,17.0,32.0,27.0,11.0,10.0,136.878578,6546.968981,8461.907349,0.0,0.0,219860.735679,0.88,0,1.443762,12867.284690122402,0.0,0.0
CASE,0,200,100,4,3,1,high,alns_fixed,kmeans,3,CASE200_P100_seed1_high_kmeans100,not_milp,20000,598,0.9701,299,,0.0,0.0,0.0,0.0,0.0,False,0.0,70.0,19.0,10.0,13.0,81.0,200.0,2880.0,17.0,15.0,16.0,16.0,16.0,16.0,18.0,32.0,14.0,132.808108,6318.893496,8709.585291,0.005,0.005,363043.657374,0.22,0,1.111763,10193.994999785595,0.0,0.0
CASE,0,200,100,4,3,1,high,alns_pinn,kmeans,3,CASE200_P100_seed1_high_kmeans100,not_milp,20000,598,0.9701,299,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.871383,6104.41019,8709.585291,0.005,0.005,232315.202173,0.94,0,0.355202,12406.094385785604,0.0,0.0
CASE,0,200,100,4,3,1,high,alns_pinn_full,kmeans,3,CASE200_P100_seed1_high_kmeans100,not_milp,20000,598,0.9701,299,,0.0,0.0,0.0,0.0,0.0,True,0.25,60.0,22.0,20.0,10.0,81.0,200.0,2880.0,22.0,20.0,9.0,8.0,21.0,23.0,34.0,11.0,12.0,130.865577,6820.340294,8711.447608,0.0,0.0,230381.688721,0.92,0,1.341509,12304.0918355056,0.0,0.0
CASE,0,200,100,4,3,2,high,alns_fixed,kmeans,3,CASE200_P100_seed2_high_kmeans100,not_milp,20000,584,0.9708,373,,0.0,0.0,0.0,0.0,0.0,False,0.0,71.0,21.0,9.0,19.0,81.0,200.0,2880.0,23.0,19.0,14.0,6.0,18.0,25.0,21.0,21.0,13.0,152.443254,5714.417925,9334.766532,0.04,0.04,353330.332005,0.18,163.8907,1.037515,11329.663648632803,0.0,0.0
CASE,0,200,100,4,3,2,high,alns_pinn,kmeans,3,CASE200_P100_seed2_high_kmeans100,not_milp,20000,584,0.9708,373,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.502905,6041.515779,9334.766532,0.04,0.04,231987.532985,0.88,163.8907,0.328704,14263.718245632801,0.0,0.0
CASE,0,200,100,4,3,2,high,alns_pinn_full,kmeans,3,CASE200_P100_seed2_high_kmeans100,not_milp,20000,584,0.9708,373,,0.0,0.0,0.0,0.0,0.0,True,0.25,59.0,23.0,21.0,14.0,81.0,200.0,2880.0,19.0,14.0,20.0,10.0,17.0,33.0,27.0,10.0,10.0,150.789255,6413.799711,9350.102573,0.005,0.005,227735.22878,0.9,163.8907,1.254667,13823.144512832794,0.0,0.0
CASE,0,200,100,4,3,3,high,alns_fixed,kmeans,3,CASE200_P100_seed3_high_kmeans100,not_milp,20000,600,0.97,341,,0.0,0.0,0.0,0.0,0.0,False,0.0,76.0,21.0,4.0,20.0,81.0,200.0,2880.0,17.0,14.0,18.0,12.0,19.0,21.0,25.0,27.0,7.0,137.096559,6572.077371,8669.307611,0.0,0.0,399192.345869,0.14,0,0.956581,10696.3597789416,0.0,0.0
CASE,0,200,100,4,3,3,high,alns_pinn,kmeans,3,CASE200_P100_seed3_high_kmeans100,not_milp,20000,600,0.97,341,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.256414,6596.957628,8669.307611,0.0,0.0,258601.840466,0.86,0,0.324163,12735.304550941602,0.0,0.0
CASE,0,200,100,4,3,3,high,alns_pinn_full,kmeans,3,CASE200_P100_seed3_high_kmeans100,not_milp,20000,600,0.97,341,,0.0,0.0,0.0,0.0,0.0,True,0.25,59.0,18.0,21.0,3.0,81.0,200.0,2880.0,17.0,7.0,19.0,19.0,18.0,30.0,30.0,11.0,9.0,138.248832,6428.998986,8669.307611,0.0,0.0,256178.13798,0.9,0,1.322194,12662.051631941596,0.0,0.0
CASE,0,200,100,4,3,4,high,alns_fixed,kmeans,3,CASE200_P100_seed4_high_kmeans100,not_milp,20000,594,0.9703,342,,0.0,0.0,0.0,0.0,0.0,False,0.0,75.0,22.0,5.0,22.0,81.0,200.0,2880.0,25.0,14.0,16.0,11.0,14.0,30.0,26.0,18.0,6.0,136.267877,6394.868595,8689.053567,0.015,0.015,351605.129022,0.32,0,1.027511,11008.415639912797,0.0,0.0
CASE,0,200,100,4,3,4,high,alns_pinn,kmeans,3,CASE200_P100_seed4_high_kmeans100,not_milp,20000,594,0.9703,342,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.659844,6335.845921,8687.338826,0.015,0.015,216585.632588,0.88,0,0.315778,12576.490963912795,0.0,0.0
CASE,0,200,100,4,3,4,high,alns_pinn_full,kmeans,3,CASE200_P100_seed4_high_kmeans100,not_milp,20000,594,0.9703,342,,0.0,0.0,0.0,0.0,0.0,True,0.25,64.0,17.0,16.0,14.0,81.0,200.0,2880.0,22.0,22.0,12.0,15.0,9.0,29.0,33.0,10.0,8.0,139.620885,6646.136262,8692.835605,0.0,0.0,214279.169147,0.9,0,1.296596,12465.0145756328,0.0,0.0
