size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,implementation_family,service_graph_pattern_count,service_graph_feasible_count,selected_sortie_count,missed_service_count,duplicate_service_count,objective_rwct,objective_makespan,objective_ground_travel,objective_q95_energy,objective_missed_penalty,objective_duplicate_penalty,objective_total,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,alns_portfolio_candidate_count,alns_selected_portfolio_candidate,alns_selected_portfolio_infeasible_count,alns_selected_portfolio_rwct,alns_selected_portfolio_makespan,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,0,30,15,2,2,0,medium,alns_pinn_full,direct,3,M30_P15_seed0_medium,not_milp,not_milp,False,not_milp,450,450,0.0,59,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,4767.0,136.0,26.0,0.0,0.0,52.09444,148.604936,83.19279899999998,1887.066832,0.0,0.0,2142.5216898428253,True,0.25,True,50.0,18.0,50.0,4.0,101.0,30.0,500.0,7.0,alns_search,0.0,52.09444,148.604936,12.0,31.0,18.0,13.0,26.0,35.0,14.0,27.0,24.0,163.143309,125.346283,1514.091267,0.0,0.0,52.09444,0.714286,0.714286,26,1.153846,0,0.693127,2142.5216898428253,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn_full,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,54,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,4491.0,148.0,30.0,0.0,0.0,46.445818,123.177879,102.15254300000001,1665.1986209999998,0.0,0.0,1897.3998833228252,True,0.25,True,59.0,22.0,41.0,3.0,101.0,30.0,500.0,6.0,alns_search,0.0,46.445818,123.177879,13.0,28.0,24.0,16.0,19.0,26.0,23.0,26.0,25.0,135.302293,147.225801,1336.074931,0.0,0.0,46.445818,0.571429,0.571429,30,1.0,0,0.756237,1897.3998833228252,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn_full,dbscan,3,M30_P15_seed0_medium_dbscan3,not_milp,not_milp,False,not_milp,90,54,0.4,12,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,1206.0,34.0,29.0,0.0,0.0,59.732809,207.971293,72.245404,4197.940652,0.0,0.0,3116.2860775228255,True,0.25,True,74.0,34.0,26.0,0.0,101.0,30.0,497.0,6.0,risk_bucket_stop_5,12.0,59.732809,207.971293,15.0,17.0,24.0,22.0,22.0,32.0,16.0,23.0,29.0,221.176667,107.545729,3482.006018,0.413793,0.413793,59.732809,1.0,0.571429,29,1.034483,989.0768,0.209984,3116.2860775228255,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn_full,direct,3,M30_P15_seed1_medium,not_milp,not_milp,False,not_milp,450,450,0.0,62,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,4729.0,165.0,26.0,0.0,0.0,46.213012,136.206342,86.28961699999999,1748.421697,0.0,0.0,1897.1381699776991,True,0.25,True,43.0,15.0,57.0,5.0,101.0,30.0,500.0,6.0,alns_search,0.0,46.213012,136.206342,12.0,29.0,26.0,18.0,15.0,29.0,18.0,32.0,21.0,149.052924,127.689028,1425.934742,0.0,0.0,46.213012,0.285714,0.285714,26,1.153846,0,0.618282,1897.1381699776991,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn_full,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,63,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,4915.0,189.0,30.0,0.0,0.0,50.541673,215.487737,214.60365900000002,1595.921873,0.0,0.0,3303.0239520576984,True,0.25,True,41.0,14.0,59.0,0.0,101.0,30.0,499.0,6.0,risk_bucket_stop_8,0.0,50.541673,215.487737,21.0,23.0,19.0,21.0,16.0,32.0,23.0,25.0,20.0,231.646465,287.837183,1301.56269,0.0,0.0,50.541673,1.0,1.0,30,1.0,0,0.624746,3303.0239520576984,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn_full,dbscan,3,M30_P15_seed1_medium_dbscan3,not_milp,not_milp,False,not_milp,90,58,0.355556,14,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,1206.0,50.0,30.0,0.0,0.0,44.923045,203.196428,84.376864,3788.431241,0.0,0.0,3135.135061777699,True,0.25,True,71.0,28.0,29.0,0.0,101.0,30.0,499.0,6.0,risk_bucket_stop_4,7.0,44.923045,203.196428,21.0,31.0,14.0,17.0,17.0,29.0,17.0,28.0,26.0,216.259109,121.093027,3350.677394,0.233333,0.233333,44.923045,1.0,0.857143,30,1.0,461.8435,0.223409,3135.135061777699,0.0,0.0
M,0,30,15,2,2,2,medium,alns_pinn_full,direct,3,M30_P15_seed2_medium,not_milp,not_milp,False,not_milp,450,450,0.0,61,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,4588.0,160.0,27.0,0.0,0.0,45.274873,140.58932,86.780531,1835.435412,0.0,0.0,1917.7414497586574,True,0.25,True,42.0,15.0,58.0,1.0,101.0,30.0,500.0,5.0,alns_search,0.0,45.274873,140.58932,11.0,33.0,18.0,23.0,15.0,22.0,28.0,29.0,21.0,146.164418,118.052508,1480.043488,0.0,0.0,45.274873,0.714286,0.714286,27,1.111111,0,0.557971,1917.7414497586574,0.0,0.0
M,0,30,15,2,2,2,medium,alns_pinn_full,kmeans,3,M30_P15_seed2_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,59,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,4651.0,164.0,28.0,0.0,0.0,42.833749,121.286455,85.510607,1601.9707210000004,0.0,0.0,1743.7179001186573,True,0.25,True,52.0,19.0,48.0,5.0,101.0,30.0,500.0,6.0,alns_search,0.0,42.833749,121.286455,14.0,37.0,21.0,18.0,10.0,24.0,18.0,40.0,18.0,128.985435,117.763121,1291.784128,0.0,0.0,42.833749,0.714286,0.714286,28,1.071429,0,0.747999,1743.7179001186573,0.0,0.0
M,0,30,15,2,2,2,medium,alns_pinn_full,dbscan,3,M30_P15_seed2_medium_dbscan3,not_milp,not_milp,False,not_milp,90,62,0.311111,16,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,1206.0,38.0,30.0,0.0,0.0,47.541188,199.764047,80.396875,4009.726377999999,0.0,0.0,2719.095171398658,True,0.25,True,58.0,22.0,42.0,0.0,101.0,30.0,497.0,6.0,risk_bucket_stop_5,9.0,47.541188,199.764047,17.0,14.0,26.0,24.0,19.0,31.0,19.0,24.0,26.0,213.099072,109.353884,3377.414947,0.3,0.3,47.541188,0.857143,0.428571,30,1.0,807.5658,0.191172,2719.095171398658,0.0,0.0
M,0,30,15,2,2,3,medium,alns_pinn_full,direct,3,M30_P15_seed3_medium,not_milp,not_milp,False,not_milp,450,450,0.0,51,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,4452.0,106.0,27.0,0.0,0.0,60.295937,226.252534,182.807883,2009.9019070000002,0.0,0.0,3316.652619824628,True,0.25,True,45.0,19.0,55.0,2.0,101.0,30.0,500.0,6.0,risk_bucket_stop_5,0.0,60.295937,226.252534,13.0,21.0,21.0,29.0,16.0,24.0,23.0,25.0,28.0,246.064772,254.215591,1561.924542,0.0,0.0,60.295937,1.0,1.0,27,1.111111,0,0.621171,3316.652619824628,0.0,0.0
