size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,0,30,15,2,2,0,medium,alns_pinn_full,direct,3,M30_P15_seed0_medium,not_milp,not_milp,False,not_milp,450,450,0.0,59,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,14.0,22.0,3.0,101.0,30.0,500.0,21.0,21.0,15.0,18.0,25.0,33.0,38.0,12.0,17.0,239.502216,252.121779,1616.514678,0.0,0.0,70.150195,1.0,1.0,29,1.034483,0,0.038024,3527.813144122825,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn_full,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,54,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,75.0,15.0,25.0,5.0,101.0,30.0,500.0,28.0,13.0,17.0,19.0,23.0,42.0,29.0,14.0,15.0,182.518896,216.955581,1315.452034,0.0,0.0,60.104734,1.0,1.0,29,1.034483,0,0.040935,2878.6838867228253,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn_full,dbscan,3,M30_P15_seed0_medium_dbscan3,not_milp,not_milp,False,not_milp,90,54,0.4,12,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,15.0,22.0,12.0,101.0,30.0,500.0,26.0,21.0,15.0,8.0,30.0,37.0,37.0,10.0,16.0,211.094391,108.144864,3482.006018,0.413793,0.413793,56.447989,0.714286,0.428571,29,1.034483,989.0768,0.016774,2711.195106522826,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn_full,direct,3,M30_P15_seed1_medium,not_milp,not_milp,False,not_milp,450,450,0.0,62,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,75.0,10.0,25.0,3.0,101.0,30.0,500.0,20.0,26.0,21.0,20.0,13.0,37.0,32.0,10.0,21.0,260.051711,287.853742,1446.03852,0.0,0.0,56.198499,1.0,1.0,27,1.111111,0,0.045006,3643.768363537699,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn_full,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,63,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,24.0,23.0,4.0,101.0,30.0,500.0,28.0,22.0,19.0,12.0,19.0,30.0,34.0,10.0,26.0,235.185895,274.263667,1301.56269,0.0,0.0,51.731305,1.0,1.0,30,1.0,0,0.055798,3341.308692057699,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn_full,dbscan,3,M30_P15_seed1_medium_dbscan3,not_milp,not_milp,False,not_milp,90,58,0.355556,14,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,75.0,13.0,25.0,12.0,101.0,30.0,500.0,23.0,19.0,21.0,20.0,17.0,39.0,35.0,13.0,13.0,239.67256,167.225114,3350.677394,0.233333,0.233333,49.004122,0.571429,0.571429,30,1.0,461.8435,0.035996,3121.237569777699,0.0,0.0
M,0,30,15,2,2,2,medium,alns_pinn_full,direct,3,M30_P15_seed2_medium,not_milp,not_milp,False,not_milp,450,450,0.0,61,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,81.0,16.0,19.0,5.0,101.0,30.0,500.0,19.0,24.0,25.0,15.0,17.0,34.0,41.0,10.0,15.0,250.371791,270.387598,1542.472151,0.0,0.0,68.268708,1.0,1.0,30,1.0,0,0.053641,3772.1890506786576,0.0,0.0
M,0,30,15,2,2,2,medium,alns_pinn_full,kmeans,3,M30_P15_seed2_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,59,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,16.0,22.0,5.0,101.0,30.0,500.0,29.0,21.0,12.0,17.0,21.0,37.0,38.0,11.0,14.0,221.259147,257.056174,1329.217222,0.0,0.0,60.13386,0.857143,0.857143,30,1.0,0,0.060526,3254.204738198658,0.0,0.0
M,0,30,15,2,2,2,medium,alns_pinn_full,dbscan,3,M30_P15_seed2_medium_dbscan3,not_milp,not_milp,False,not_milp,90,62,0.311111,16,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,81.0,11.0,19.0,10.0,101.0,30.0,500.0,22.0,21.0,16.0,16.0,25.0,33.0,47.0,8.0,12.0,223.695656,124.461311,3335.415514,0.310345,0.310345,52.116263,0.714286,0.428571,29,1.034483,807.5658,0.034301,2698.3335105586575,0.0,0.0
M,0,30,15,2,2,3,medium,alns_pinn_full,direct,3,M30_P15_seed3_medium,not_milp,not_milp,False,not_milp,450,450,0.0,51,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,75.0,10.0,25.0,2.0,101.0,30.0,500.0,26.0,16.0,23.0,19.0,16.0,28.0,44.0,14.0,14.0,265.614301,287.387024,1649.753436,0.0,0.0,66.819507,0.857143,0.857143,30,1.0,0,0.055927,3710.8633309046277,0.0,0.0
M,0,30,15,2,2,3,medium,alns_pinn_full,kmeans,3,M30_P15_seed3_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,52,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,15.0,23.0,1.0,101.0,30.0,500.0,19.0,12.0,30.0,21.0,18.0,35.0,36.0,17.0,12.0,249.572237,285.63667,1363.673456,0.0,0.0,57.050001,1.0,1.0,30,1.0,0,0.038927,3309.2030437046283,0.0,0.0
M,0,30,15,2,2,3,medium,alns_pinn_full,dbscan,3,M30_P15_seed3_medium_dbscan3,not_milp,not_milp,False,not_milp,90,54,0.4,12,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,74.0,10.0,26.0,9.0,101.0,30.0,500.0,17.0,15.0,23.0,24.0,21.0,41.0,31.0,13.0,15.0,205.972129,90.302054,3729.450753,0.4,0.4,54.222384,0.571429,0.285714,30,1.0,1074.5266,0.025625,2693.532189544628,0.0,0.0
