size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,0,30,15,2,2,0,medium,alns_pinn_full,direct,3,M30_P15_seed0_medium,not_milp,450,450,0.0,450,74.0,28.0,26.0,3.0,101.0,30.0,500.0,23.0,23.0,18.0,14.0,22.0,35.0,27.0,12.0,26.0,72.004794,212.130965,1633.792152,0.0,0.0,22054.05368,0.857143,0,0.019657,990.6167461632001,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn_full,kmeans,3,M30_P15_seed0_medium_kmeans15,not_milp,450,90,0.8,54,75.0,15.0,25.0,5.0,101.0,30.0,500.0,28.0,13.0,17.0,19.0,23.0,42.0,29.0,14.0,15.0,59.344569,250.112202,1336.074931,0.0,0.0,19415.57366,0.857143,0,0.019018,826.9175296432,0.0,0.0
M,0,30,15,2,2,0,medium,alns_pinn_full,dbscan,3,M30_P15_seed0_medium_dbscan3,not_milp,90,54,0.4,12,80.0,14.0,20.0,7.0,101.0,30.0,500.0,23.0,20.0,13.0,12.0,32.0,41.0,35.0,8.0,16.0,137.944807,168.571988,3508.17493,0.4,0.4,42044.584057,0.714286,989.0768,0.007024,1929.5402054432,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn_full,direct,3,M30_P15_seed1_medium,not_milp,450,450,0.0,450,74.0,6.0,26.0,3.0,101.0,30.0,500.0,26.0,20.0,19.0,17.0,18.0,39.0,33.0,12.0,16.0,67.714146,285.834701,1508.372753,0.0,0.0,18821.769151,1.0,0,0.019269,913.1812541055999,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn_full,kmeans,3,M30_P15_seed1_medium_kmeans15,not_milp,450,90,0.8,63,76.0,9.0,24.0,2.0,101.0,30.0,500.0,20.0,26.0,21.0,16.0,17.0,30.0,32.0,10.0,28.0,62.368457,310.057742,1301.56269,0.0,0.0,15727.462719,1.0,0,0.019564,761.1576581855999,0.0,0.0
M,0,30,15,2,2,1,medium,alns_pinn_full,dbscan,3,M30_P15_seed1_medium_dbscan3,not_milp,90,58,0.355556,14,76.0,18.0,24.0,12.0,101.0,30.0,500.0,25.0,17.0,24.0,18.0,16.0,39.0,34.0,13.0,14.0,133.224631,221.183439,3350.677394,0.233333,0.233333,30585.861238,0.714286,461.8435,0.006391,1774.0926379056002,0.0,0.0
M,0,30,15,2,2,2,medium,alns_pinn_full,direct,3,M30_P15_seed2_medium,not_milp,450,450,0.0,450,78.0,13.0,22.0,4.0,101.0,30.0,500.0,13.0,22.0,19.0,25.0,21.0,38.0,34.0,9.0,19.0,71.085145,274.10351,1542.472151,0.0,0.0,20464.720739,0.857143,0,0.019634,978.7396236095999,0.0,0.0
M,0,30,15,2,2,2,medium,alns_pinn_full,kmeans,3,M30_P15_seed2_medium_kmeans15,not_milp,450,90,0.8,59,82.0,29.0,18.0,4.0,101.0,30.0,500.0,25.0,18.0,24.0,11.0,22.0,38.0,37.0,10.0,15.0,62.679065,301.24297,1329.217222,0.0,0.0,19402.05766,1.0,0,0.018852,863.8229421296,0.0,0.0
M,0,30,15,2,2,2,medium,alns_pinn_full,dbscan,3,M30_P15_seed2_medium_dbscan3,not_milp,90,62,0.311111,16,81.0,10.0,19.0,7.0,101.0,30.0,500.0,20.0,20.0,17.0,17.0,26.0,33.0,46.0,10.0,11.0,136.94197,156.027908,3377.414947,0.3,0.3,40445.638977,0.571429,807.5658,0.006255,1951.2848543296,0.0,0.0
M,0,30,15,2,2,3,medium,alns_pinn_full,direct,3,M30_P15_seed3_medium,not_milp,450,450,0.0,450,73.0,16.0,27.0,3.0,101.0,30.0,500.0,16.0,23.0,20.0,18.0,23.0,31.0,33.0,14.0,22.0,72.364332,288.73242,1649.753436,0.0,0.0,21897.657708,0.857143,0,0.019519,1007.4767911648,0.0,0.0
M,0,30,15,2,2,3,medium,alns_pinn_full,kmeans,3,M30_P15_seed3_medium_kmeans15,not_milp,450,90,0.8,52,77.0,13.0,23.0,1.0,101.0,30.0,500.0,18.0,14.0,21.0,22.0,25.0,38.0,35.0,14.0,13.0,64.794147,260.244448,1363.673456,0.0,0.0,17506.206883,1.0,0,0.019029,806.5219819647998,0.0,0.0
M,0,30,15,2,2,3,medium,alns_pinn_full,dbscan,3,M30_P15_seed3_medium_dbscan3,not_milp,90,54,0.4,12,76.0,24.0,24.0,10.0,101.0,30.0,500.0,24.0,18.0,25.0,16.0,17.0,39.0,33.0,13.0,15.0,140.323326,240.304572,3729.450753,0.4,0.4,44774.264531,0.714286,1074.5266,0.007364,2082.4030258048,0.0,0.0
M,0,30,15,2,2,4,medium,alns_pinn_full,direct,3,M30_P15_seed4_medium,not_milp,450,450,0.0,450,76.0,26.0,24.0,5.0,101.0,30.0,500.0,24.0,15.0,23.0,20.0,18.0,34.0,38.0,10.0,18.0,71.266012,267.101654,1611.26964,0.0,0.0,25974.3057,0.714286,0,0.019501,956.0281608736,0.0,0.0
M,0,30,15,2,2,4,medium,alns_pinn_full,kmeans,3,M30_P15_seed4_medium_kmeans15,not_milp,450,90,0.8,55,78.0,9.0,22.0,2.0,101.0,30.0,500.0,18.0,28.0,13.0,16.0,25.0,42.0,32.0,11.0,15.0,65.295907,244.619965,1371.112413,0.0,0.0,22212.942014,0.714286,0,0.018701,787.2399734336002,0.0,0.0
M,0,30,15,2,2,4,medium,alns_pinn_full,dbscan,3,M30_P15_seed4_medium_dbscan3,not_milp,90,52,0.422222,11,77.0,19.0,23.0,10.0,101.0,30.0,500.0,25.0,17.0,19.0,18.0,21.0,36.0,37.0,12.0,15.0,132.389686,189.388275,3643.144602,0.4,0.4,46385.886106,0.428571,920.453,0.006891,1932.1658943536004,0.0,0.0
M,0,30,15,2,2,5,medium,alns_pinn_full,direct,3,M30_P15_seed5_medium,not_milp,450,450,0.0,450,81.0,7.0,19.0,3.0,101.0,30.0,500.0,16.0,28.0,14.0,19.0,23.0,48.0,28.0,10.0,14.0,69.494117,270.733663,1615.264141,0.0,0.0,27268.575846,0.857143,0,0.019537,859.3465277711998,0.0,0.0
M,0,30,15,2,2,5,medium,alns_pinn_full,kmeans,3,M30_P15_seed5_medium_kmeans15,not_milp,450,90,0.8,51,78.0,13.0,22.0,5.0,101.0,30.0,500.0,16.0,23.0,18.0,19.0,24.0,45.0,25.0,10.0,20.0,66.9916,236.778663,1431.500703,0.0,0.0,23720.495828,0.857143,0,0.019628,740.6034933312,0.0,0.0
M,0,30,15,2,2,5,medium,alns_pinn_full,dbscan,3,M30_P15_seed5_medium_dbscan3,not_milp,90,54,0.4,12,76.0,16.0,24.0,12.0,101.0,30.0,500.0,16.0,27.0,15.0,13.0,29.0,41.0,30.0,10.0,19.0,140.806806,99.042047,3664.32078,0.4,0.4,54563.751013,0.857143,1106.2932,0.006265,1871.8689608512,0.0,0.0
M,0,30,15,2,2,6,medium,alns_pinn_full,direct,3,M30_P15_seed6_medium,not_milp,450,450,0.0,450,74.0,11.0,26.0,2.0,101.0,30.0,500.0,25.0,28.0,21.0,15.0,11.0,39.0,27.0,10.0,24.0,71.19037,297.810729,1681.063197,0.0,0.0,21131.440636,0.857143,0,0.018512,939.912681604,0.0,0.0
M,0,30,15,2,2,6,medium,alns_pinn_full,kmeans,3,M30_P15_seed6_medium_kmeans15,not_milp,450,90,0.8,53,74.0,18.0,26.0,6.0,101.0,30.0,500.0,26.0,24.0,20.0,11.0,19.0,31.0,35.0,10.0,24.0,65.420463,292.775319,1425.249423,0.0,0.0,17346.721232,0.714286,0,0.020169,762.310461204,0.0,0.0
M,0,30,15,2,2,6,medium,alns_pinn_full,dbscan,3,M30_P15_seed6_medium_dbscan3,not_milp,90,54,0.4,12,79.0,13.0,21.0,9.0,101.0,30.0,500.0,22.0,23.0,17.0,22.0,16.0,36.0,39.0,7.0,18.0,137.637356,207.365565,3707.545889,0.433333,0.433333,43390.986166,0.714286,1170.7365,0.006378,1940.572147564,0.0,0.0
M,0,30,15,2,2,7,medium,alns_pinn_full,direct,3,M30_P15_seed7_medium,not_milp,450,450,0.0,450,77.0,17.0,23.0,4.0,101.0,30.0,500.0,25.0,20.0,21.0,16.0,18.0,43.0,26.0,13.0,18.0,72.483362,276.947846,1508.429201,0.0,0.0,20413.544956,0.857143,0,0.018667,915.3846105024,0.0,0.0
