sensitivity_factor,sensitivity_level,method,candidate_mode,size,tower_count,uncertainty,n,makespan_mean,makespan_sd,total_vehicle_distance_mean,total_vehicle_distance_sd,expected_energy_mean,expected_energy_sd,energy_violation_rate_mean,energy_violation_rate_sd,infeasible_sortie_rate_mean,infeasible_sortie_rate_sd,risk_weighted_completion_time_mean,risk_weighted_completion_time_sd,top_risk_coverage_mean,top_risk_coverage_sd,missed_value_mean,missed_value_sd,solver_runtime_mean,solver_runtime_sd,objective_value_mean,objective_value_sd,milp_gap_mean,milp_gap_sd,optimality_gap_pct_mean,optimality_gap_pct_sd,total_candidate_pairs_mean,total_candidate_pairs_sd,screened_pair_count_mean,screened_pair_count_sd,candidate_pair_reduction_mean,candidate_pair_reduction_sd,feasible_candidate_pairs_mean,feasible_candidate_pairs_sd,alns_accepted_moves_mean,alns_accepted_moves_sd,alns_improving_moves_mean,alns_improving_moves_sd,alns_rejected_moves_mean,alns_rejected_moves_sd,alns_best_updates_mean,alns_best_updates_sd,alns_objective_evaluations_mean,alns_objective_evaluations_sd,alns_score_cache_size_mean,alns_score_cache_size_sd,alns_repair_position_evaluations_mean,alns_repair_position_evaluations_sd,destroy_random_removal_uses_mean,destroy_random_removal_uses_sd,destroy_worst_energy_removal_uses_mean,destroy_worst_energy_removal_uses_sd,destroy_shaw_related_removal_uses_mean,destroy_shaw_related_removal_uses_sd,destroy_path_segment_removal_uses_mean,destroy_path_segment_removal_uses_sd,destroy_uav_chain_removal_uses_mean,destroy_uav_chain_removal_uses_sd,repair_greedy_insert_repair_uses_mean,repair_greedy_insert_repair_uses_sd,repair_regret_insert_repair_uses_mean,repair_regret_insert_repair_uses_sd,repair_energy_minimum_insert_repair_uses_mean,repair_energy_minimum_insert_repair_uses_sd,repair_synchronization_aware_insert_repair_uses_mean,repair_synchronization_aware_insert_repair_uses_sd
candidate_mode,dbscan,alns_pinn_full,dbscan,M,50,high,10,326.042087,5.562873,318.685031,25.659306,9092.206876,377.140511,0.714,0.03534,0.714,0.03534,149489.032508,23541.170406,0.7,0.105409,2756.12556,260.195678,0.017685,0.003116,7513.920092,164.712398,0.0,0.0,0.0,0.0,150.0,0.0,69.8,1.75119,0.534667,0.011675,9.9,0.875595,77.3,2.626785,17.7,2.830391,22.7,2.626785,9.8,4.289522,101.0,0.0,50.0,0.0,900.0,0.0,21.1,4.121758,21.0,4.666667,18.3,3.529243,17.1,2.024846,22.5,5.338539,34.7,4.715224,38.1,4.976612,10.8,1.686548,16.4,2.54733
candidate_mode,direct,alns_pinn_full,direct,M,50,high,10,117.762586,3.409435,640.382978,38.264924,2656.73056,87.484056,0.0,0.0,0.0,0.0,57978.46725,8702.15565,0.9,0.065734,0.0,0.0,0.072326,0.01059,2680.185111,109.225422,0.0,0.0,0.0,0.0,1250.0,0.0,1250.0,0.0,0.0,0.0,1250.0,0.0,76.9,2.84605,18.4,6.65332,23.1,2.84605,5.1,2.233582,101.0,0.0,50.0,0.0,900.0,0.0,22.1,6.967384,19.7,5.850926,19.9,4.840799,15.7,2.983287,22.6,4.857983,35.2,5.432413,37.3,5.078276,11.1,2.330951,16.4,2.836273
candidate_mode,kmeans,alns_pinn_full,kmeans,M,50,high,10,106.119384,3.19201,628.501388,45.035931,2269.519418,84.80631,0.0,0.0,0.0,0.0,51907.898553,8075.256134,0.891667,0.040254,0.0,0.0,0.070854,0.00868,2343.81952,120.783786,0.0,0.0,0.0,0.0,1250.0,0.0,148.2,1.75119,0.88144,0.001401,78.8,7.345445,77.5,3.308239,20.6,5.834762,22.5,3.308239,4.9,2.282786,101.0,0.0,50.0,0.0,900.0,0.0,21.0,6.306963,20.1,3.510302,19.8,6.05163,16.6,5.440588,22.5,4.88194,38.7,4.137901,33.8,5.411921,11.9,1.72884,15.6,2.319004
iteration_budget,100,alns_pinn_full,kmeans,M,50,high,10,106.119384,3.19201,628.501388,45.035931,2269.519418,84.80631,0.0,0.0,0.0,0.0,51907.898553,8075.256134,0.891667,0.040254,0.0,0.0,0.072723,0.008672,2343.81952,120.783786,0.0,0.0,0.0,0.0,1250.0,0.0,148.2,1.75119,0.88144,0.001401,78.8,7.345445,77.5,3.308239,20.6,5.834762,22.5,3.308239,4.9,2.282786,101.0,0.0,50.0,0.0,900.0,0.0,21.0,6.306963,20.1,3.510302,19.8,6.05163,16.6,5.440588,22.5,4.88194,38.7,4.137901,33.8,5.411921,11.9,1.72884,15.6,2.319004
iteration_budget,160,alns_pinn_full,kmeans,M,50,high,10,106.119384,3.19201,628.501388,45.035931,2269.519418,84.80631,0.0,0.0,0.0,0.0,51907.898553,8075.256134,0.891667,0.040254,0.0,0.0,0.076904,0.009863,2343.81952,120.783786,0.0,0.0,0.0,0.0,1250.0,0.0,148.2,1.75119,0.88144,0.001401,78.8,7.345445,128.1,4.886489,25.3,7.803845,31.9,4.886489,4.9,2.282786,161.0,0.0,50.0,0.0,1440.0,0.0,34.2,6.250333,32.4,5.581716,32.6,7.214184,26.4,8.044322,34.4,6.397916,62.9,6.081849,58.4,6.963396,16.0,2.828427,22.7,3.860052
iteration_budget,50,alns_pinn_full,kmeans,M,50,high,10,106.39721,3.684969,627.894184,46.230583,2269.519418,84.80631,0.0,0.0,0.0,0.0,51920.340884,8070.032599,0.891667,0.040254,0.0,0.0,0.069061,0.008944,2343.258042,119.132686,0.0,0.0,0.0,0.0,1250.0,0.0,148.2,1.75119,0.88144,0.001401,78.8,7.345445,37.5,1.840894,13.5,4.006938,12.5,1.840894,4.7,2.213594,51.0,0.0,50.0,0.0,450.0,0.0,10.1,4.383048,8.8,2.859681,10.8,3.794733,8.3,3.560587,12.0,4.189935,19.3,3.465705,14.8,4.104198,6.9,1.286684,9.0,1.490712
quantile_z,1.28,alns_pinn_full,kmeans,M,50,high,10,105.865956,3.272633,625.829775,32.378533,2268.796959,84.539619,0.0,0.0,0.0,0.0,51937.487406,8085.026761,0.891667,0.040254,0.0,0.0,0.070454,0.013252,2338.429448,122.452935,0.0,0.0,0.0,0.0,1250.0,0.0,149.0,1.414214,0.8808,0.001131,86.4,6.058969,76.9,4.148628,20.1,6.539623,23.1,4.148628,4.8,2.20101,101.0,0.0,50.0,0.0,900.0,0.0,22.7,6.429965,20.5,3.02765,18.6,6.432556,17.8,5.750362,20.4,4.599517,37.8,4.91709,34.5,5.602579,12.4,1.429841,15.3,1.946507
quantile_z,1.645,alns_pinn_full,kmeans,M,50,high,10,106.119384,3.19201,628.501388,45.035931,2269.519418,84.80631,0.0,0.0,0.0,0.0,51907.898553,8075.256134,0.891667,0.040254,0.0,0.0,0.068962,0.00816,2343.81952,120.783786,0.0,0.0,0.0,0.0,1250.0,0.0,148.2,1.75119,0.88144,0.001401,78.8,7.345445,77.5,3.308239,20.6,5.834762,22.5,3.308239,4.9,2.282786,101.0,0.0,50.0,0.0,900.0,0.0,21.0,6.306963,20.1,3.510302,19.8,6.05163,16.6,5.440588,22.5,4.88194,38.7,4.137901,33.8,5.411921,11.9,1.72884,15.6,2.319004
quantile_z,1.96,alns_pinn_full,kmeans,M,50,high,10,105.414804,3.315438,624.389917,37.402388,2270.582205,85.386304,0.004,0.008433,0.004,0.008433,51908.436738,8137.603305,0.875,0.043921,11.34873,23.926267,0.071641,0.007619,2343.005238,117.058629,0.0,0.0,0.0,0.0,1250.0,0.0,146.4,2.951459,0.88288,0.002361,71.8,7.656515,77.2,3.583915,18.3,4.164666,22.8,3.583915,5.2,3.852849,101.0,0.0,50.0,0.0,900.0,0.0,20.6,4.325634,18.7,2.790858,20.6,5.929212,17.3,5.538752,22.8,5.138093,37.3,4.029061,35.6,4.623611,12.4,1.577621,14.7,2.057507
reserve_ratio,0.08,alns_pinn_full,kmeans,M,50,high,10,106.103822,3.360728,630.510169,45.285003,2268.985085,84.394872,0.0,0.0,0.0,0.0,51946.66092,8107.273929,0.891667,0.040254,0.0,0.0,0.076312,0.012676,2345.228881,123.525953,0.0,0.0,0.0,0.0,1250.0,0.0,148.8,1.398412,0.88096,0.001119,83.1,6.402257,77.3,3.335,20.1,5.820462,22.7,3.335,4.5,2.223611,101.0,0.0,50.0,0.0,900.0,0.0,21.8,6.285786,19.2,3.489667,20.4,6.022181,16.7,5.417051,21.9,5.486347,38.4,4.060651,34.2,5.473167,12.1,1.852926,15.3,1.636392
