size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,sensitivity_factor,sensitivity_level,quantile_z,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,implementation_family,service_graph_pattern_count,service_graph_feasible_count,selected_sortie_count,missed_service_count,duplicate_service_count,objective_rwct,objective_makespan,objective_ground_travel,objective_q95_energy,objective_missed_penalty,objective_duplicate_penalty,objective_total,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,alns_portfolio_candidate_count,alns_selected_portfolio_candidate,alns_selected_portfolio_infeasible_count,alns_selected_portfolio_rwct,alns_selected_portfolio_makespan,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct,reserve_ratio,iteration_budget,uav_count_override
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,quantile_z,1.28,1.28,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,95,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7863.0,250.0,47.0,0.0,0.0,108.966207,369.791741,375.052748,2900.7044650000003,0.0,0.0,8969.18101044753,True,0.25,True,52.0,27.0,48.0,2.0,101.0,50.0,900.0,7.0,risk_bucket_stop_4,0.0,108.966207,369.791741,28.0,9.0,11.0,20.0,32.0,18.0,23.0,29.0,30.0,392.634063,474.498955,2159.704523,0.0,0.0,108.966207,1.0,1.0,47,1.06383,0,1.657204,8969.18101044753,0.0,0.0,,,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,quantile_z,1.645,1.645,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7863.0,195.0,47.0,0.0,0.0,97.618595,267.491104,255.131314,3087.1409290000006,0.0,0.0,6805.149055007529,True,0.25,True,52.0,22.0,48.0,0.0,101.0,50.0,900.0,7.0,alns_search,0.0,97.618595,267.491104,19.0,26.0,23.0,16.0,16.0,19.0,27.0,22.0,32.0,276.309424,334.590617,2157.633975,0.0,0.0,97.618595,0.583333,0.583333,47,1.06383,0,2.029806,6805.149055007529,0.0,0.0,,,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,quantile_z,1.96,1.96,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,82,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7863.0,174.0,46.0,0.0,0.0,95.368097,265.769114,266.35512500000004,3213.290881999999,0.0,0.0,6630.57826204753,True,0.25,True,74.0,33.0,26.0,0.0,101.0,50.0,900.0,7.0,alns_search,0.0,95.368097,265.769114,12.0,29.0,23.0,23.0,13.0,31.0,24.0,21.0,24.0,274.587434,331.349181,2121.742147,0.0,0.0,95.368097,0.583333,0.583333,46,1.086957,0,1.822583,6630.57826204753,0.0,0.0,,,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,reserve_ratio,0.08,,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,92,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7863.0,218.0,48.0,0.0,0.0,92.625039,237.404094,181.32578600000005,3133.8993280000004,0.0,0.0,5611.094779927532,True,0.25,True,57.0,22.0,43.0,2.0,101.0,50.0,900.0,7.0,alns_search,0.0,92.625039,237.404094,14.0,28.0,23.0,17.0,18.0,28.0,23.0,22.0,27.0,252.445219,244.337646,2174.898835,0.0,0.0,92.625039,0.583333,0.583333,48,1.041667,0,1.568602,5611.094779927532,0.0,0.0,0.08,,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,reserve_ratio,0.12,,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7863.0,195.0,47.0,0.0,0.0,97.618595,267.491104,255.131314,3087.1409290000006,0.0,0.0,6805.149055007529,True,0.25,True,52.0,22.0,48.0,0.0,101.0,50.0,900.0,7.0,alns_search,0.0,97.618595,267.491104,19.0,26.0,23.0,16.0,16.0,19.0,27.0,22.0,32.0,276.309424,334.590617,2157.633975,0.0,0.0,97.618595,0.583333,0.583333,47,1.06383,0,2.082425,6805.149055007529,0.0,0.0,0.12,,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,reserve_ratio,0.2,,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,78,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7863.0,138.0,49.0,0.0,0.0,102.585892,218.267752,177.73684099999997,3138.6604629999997,0.0,0.0,5619.975702327528,True,0.25,True,69.0,33.0,31.0,2.0,101.0,50.0,900.0,7.0,alns_search,0.0,102.585892,218.267752,11.0,23.0,18.0,29.0,19.0,30.0,25.0,22.0,23.0,225.045141,223.415364,2193.388083,0.0,0.0,102.585892,0.416667,0.416667,49,1.020408,0,2.144339,5619.975702327528,0.0,0.0,0.2,,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,iteration_budget,50,,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7863.0,195.0,47.0,0.0,0.0,97.618595,267.491104,255.131314,3087.1409290000006,0.0,0.0,6805.149055007529,True,0.25,True,26.0,10.0,24.0,0.0,51.0,50.0,450.0,7.0,alns_search,0.0,97.618595,267.491104,8.0,11.0,16.0,9.0,6.0,12.0,13.0,10.0,15.0,276.309424,334.590617,2157.633975,0.0,0.0,97.618595,0.583333,0.583333,47,1.06383,0,0.899669,6805.149055007529,0.0,0.0,,50,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,iteration_budget,100,,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7863.0,195.0,47.0,0.0,0.0,97.618595,267.491104,255.131314,3087.1409290000006,0.0,0.0,6805.149055007529,True,0.25,True,52.0,22.0,48.0,0.0,101.0,50.0,900.0,7.0,alns_search,0.0,97.618595,267.491104,19.0,26.0,23.0,16.0,16.0,19.0,27.0,22.0,32.0,276.309424,334.590617,2157.633975,0.0,0.0,97.618595,0.583333,0.583333,47,1.06383,0,2.086252,6805.149055007529,0.0,0.0,,100,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,iteration_budget,160,,M50_P25_seed0_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7863.0,195.0,48.0,0.0,0.0,93.028636,217.21274,175.055173,3086.9424819999995,0.0,0.0,5367.37028312753,True,0.25,True,82.0,36.0,78.0,2.0,161.0,50.0,1440.0,7.0,alns_search,0.0,93.028636,217.21274,24.0,42.0,31.0,37.0,26.0,35.0,33.0,39.0,53.0,240.581736,258.144243,2157.496255,0.0,0.0,93.028636,0.5,0.5,48,1.041667,0,3.238247,5367.37028312753,0.0,0.0,,160,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,uav_count,2,,M50_P25_seed0_high_uav_count2_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,87,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7863.0,195.0,46.0,0.0,0.0,121.137187,391.922579,383.230755,3063.3600960000003,0.0,0.0,9946.61838868753,True,0.25,True,64.0,24.0,36.0,0.0,101.0,50.0,900.0,7.0,risk_bucket_stop_5,0.0,121.137187,391.922579,19.0,27.0,19.0,23.0,12.0,19.0,33.0,17.0,31.0,417.621787,503.734332,2141.130284,0.0,0.0,121.137187,0.916667,0.916667,46,1.086957,0,2.085433,9946.61838868753,0.0,0.0,,,2
