size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,sensitivity_factor,sensitivity_level,quantile_z,scenario_id,milp_status,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct,reserve_ratio,iteration_budget,uav_count_override
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,quantile_z,1.28,1.28,M50_P25_seed0_high_kmeans25,not_milp,1250,150,0.88,95,82.0,26.0,18.0,3.0,101.0,50.0,900.0,28.0,18.0,20.0,12.0,22.0,40.0,34.0,10.0,16.0,103.154642,625.900396,2210.077894,0.0,0.0,61048.528966,0.916667,0,0.056169,2466.798680902399,0.0,0.0,,,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,quantile_z,1.645,1.645,M50_P25_seed0_high_kmeans25,not_milp,1250,148,0.8816,87,83.0,23.0,17.0,4.0,101.0,50.0,900.0,26.0,18.0,17.0,15.0,24.0,41.0,35.0,10.0,14.0,103.086942,618.143857,2211.976027,0.0,0.0,60709.293726,0.916667,0,0.060949,2475.1522335024006,0.0,0.0,,,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,quantile_z,1.96,1.96,M50_P25_seed0_high_kmeans25,not_milp,1250,148,0.8816,82,83.0,23.0,17.0,4.0,101.0,50.0,900.0,26.0,18.0,17.0,15.0,24.0,41.0,35.0,10.0,14.0,103.086942,618.143857,2211.976027,0.0,0.0,60709.293726,0.916667,0,0.0614,2482.5717081024,0.0,0.0,,,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,reserve_ratio,0.08,,M50_P25_seed0_high_kmeans25,not_milp,1250,150,0.88,92,83.0,22.0,17.0,2.0,101.0,50.0,900.0,20.0,17.0,24.0,14.0,25.0,38.0,36.0,8.0,18.0,102.739301,640.941696,2210.077894,0.0,0.0,61039.453709,0.916667,0,0.103605,2470.9428193424,0.0,0.0,0.08,,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,reserve_ratio,0.12,,M50_P25_seed0_high_kmeans25,not_milp,1250,148,0.8816,87,83.0,23.0,17.0,4.0,101.0,50.0,900.0,26.0,18.0,17.0,15.0,24.0,41.0,35.0,10.0,14.0,103.086942,618.143857,2211.976027,0.0,0.0,60709.293726,0.916667,0,0.062514,2475.1522335024006,0.0,0.0,0.12,,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,reserve_ratio,0.2,,M50_P25_seed0_high_kmeans25,not_milp,1250,148,0.8816,78,83.0,23.0,17.0,4.0,101.0,50.0,900.0,26.0,18.0,17.0,15.0,24.0,41.0,35.0,10.0,14.0,103.086942,618.143857,2211.976027,0.0,0.0,60709.293726,0.916667,0,0.064923,2475.1522335024006,0.0,0.0,0.2,,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,iteration_budget,50,,M50_P25_seed0_high_kmeans25,not_milp,1250,148,0.8816,87,41.0,13.0,9.0,4.0,51.0,50.0,450.0,9.0,5.0,13.0,9.0,14.0,19.0,18.0,6.0,7.0,103.086942,618.143857,2211.976027,0.0,0.0,60709.293726,0.916667,0,0.055423,2475.1522335024006,0.0,0.0,,50,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,iteration_budget,100,,M50_P25_seed0_high_kmeans25,not_milp,1250,148,0.8816,87,83.0,23.0,17.0,4.0,101.0,50.0,900.0,26.0,18.0,17.0,15.0,24.0,41.0,35.0,10.0,14.0,103.086942,618.143857,2211.976027,0.0,0.0,60709.293726,0.916667,0,0.060308,2475.1522335024006,0.0,0.0,,100,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,iteration_budget,160,,M50_P25_seed0_high_kmeans25,not_milp,1250,148,0.8816,87,139.0,37.0,21.0,4.0,161.0,50.0,1440.0,46.0,29.0,27.0,23.0,35.0,65.0,64.0,11.0,20.0,103.086942,618.143857,2211.976027,0.0,0.0,60709.293726,0.916667,0,0.058821,2475.1522335024006,0.0,0.0,,160,
M,1,50,25,2,2,0,high,alns_pinn_full,kmeans,3,uav_count,2,,M50_P25_seed0_high_uav_count2_kmeans25,not_milp,1250,148,0.8816,87,83.0,23.0,17.0,4.0,101.0,50.0,900.0,26.0,18.0,17.0,15.0,24.0,41.0,35.0,10.0,14.0,202.243075,651.206273,2211.976027,0.0,0.0,113973.326338,0.916667,0,0.059228,5109.7413285023995,0.0,0.0,,,2
