id,x,y
0,-8.580963,6.722553
1,-7.069563,3.607491
2,-6.335661,-7.782531
3,-6.184338,4.951683
4,-5.801885,-0.813147
5,-5.670374,-1.344147
6,-5.830229,0.533335
7,-5.45381,5.077357
8,-5.190371,5.268257
9,-4.753726,5.253566
10,-3.390764,5.55822
11,-2.242968,6.794899
12,-1.482699,8.103418
13,-0.865222,-1.35649
14,-0.160444,1.097474
15,1.019523,11.094688
16,2.188042,11.051802
17,3.041709,1.798315
18,3.127355,0.4136
19,3.645181,10.226156
20,4.13474,-1.210001
21,4.234634,4.490835
22,4.668259,6.169626
23,4.845192,-2.052126
24,5.727221,10.328143
25,6.270055,0.595895
26,6.972475,-0.948938
27,7.471458,6.096336
28,8.534611,0.690567
29,9.203861,-7.336016
