id,x,y,risk,value,service_time,payload,segment
0,-8.833146,6.412064,0.3975,92.7125,5.09,0.9755,0
1,-7.32828,-9.013384,0.5047,105.0405,5.5188,1.1213,0
2,-6.744651,-8.084183,0.4981,104.2815,5.4924,0.5811,0
3,-6.398837,-8.108001,0.5221,107.0415,5.5884,0.9807,0
4,-6.14089,2.437985,0.6092,117.058,5.9368,0.9053,0
5,-6.10772,1.982252,0.3933,92.2295,5.0732,1.2554,0
6,-6.076882,-2.612706,0.7044,128.006,6.3176,0.7539,0
7,-5.770236,-7.401089,0.6676,123.774,6.1704,1.1303,0
8,-5.58854,-5.442654,0.4991,104.3965,5.4964,1.1079,0
9,-4.653682,-3.395753,0.6355,120.0825,6.042,0.5589,0
10,-3.580217,5.408629,0.5952,115.448,5.8808,1.3719,0
11,-2.541901,-3.838766,0.542,109.33,5.668,1.3831,0
12,-1.618315,7.978981,0.8157,140.8055,6.7628,1.2717,0
13,-1.062228,-1.141206,0.5253,107.4095,5.6012,0.5569,0
14,-0.481514,9.790527,0.6668,123.682,6.1672,1.2553,0
15,0.333774,1.951685,0.6853,113.8095,6.2412,0.861,1
16,1.430992,2.087899,0.8257,129.9555,6.8028,1.2904,1
17,2.463442,2.800226,0.7504,121.296,6.5016,0.6462,1
18,2.824529,0.198216,0.5354,96.571,5.6416,0.964,1
19,3.205986,-0.690788,0.7575,122.1125,6.53,1.0917,1
20,3.652608,-1.569574,0.651,109.865,6.104,0.6552,1
21,3.902437,-2.216974,0.6544,110.256,6.1176,0.7952,1
22,4.320085,5.25399,0.6217,106.4955,5.9868,0.8539,1
23,4.390249,-2.657107,0.5833,102.0795,5.8332,1.1555,1
24,5.45579,1.835386,0.6298,107.427,6.0192,1.261,1
25,5.888084,2.48551,0.4189,83.1735,5.1756,0.8285,1
26,6.4862,-10.851094,0.6096,105.104,5.9384,1.0269,1
27,7.17872,-6.07998,0.3456,74.744,4.8824,1.013,1
28,8.181181,-6.745594,0.6048,104.552,5.9192,1.2524,1
29,8.76254,-7.879372,0.2907,68.4305,4.6628,0.7133,1
