id,x,y
0,-23.116052,13.632129
1,-21.367541,-20.11386
2,-19.657016,16.812931
3,-18.092011,-9.473119
4,-16.46912,-1.257954
5,-15.481336,16.548765
6,-13.931539,8.068049
7,-12.022256,14.163769
8,-10.757072,-14.040078
9,-9.921174,2.212828
10,-8.207948,20.290274
11,-7.249588,-6.167856
12,-6.336729,-9.329566
13,-5.36748,2.093799
14,-4.163069,11.795731
15,-1.669265,4.841368
16,0.365002,17.870102
17,2.851106,-14.745478
18,4.289837,-10.235895
19,6.096932,3.421302
20,7.807897,11.634009
21,9.129168,-7.114282
22,10.8004,19.650279
23,11.717532,-2.459133
24,13.711008,-18.267861
25,15.953472,-0.26496
26,18.043594,7.60013
27,20.211685,-20.67201
28,21.587842,16.283948
29,23.742597,-17.189268
