id,x,y,risk,value,service_time,payload,segment
0,-23.33765,13.299121,0.3972,92.678,5.0888,1.2522,0
1,-22.411795,13.578354,0.3557,87.9055,4.9228,0.674,0
2,-21.672238,-20.571746,0.5924,115.126,5.8696,1.3976,0
3,-20.747869,16.222995,0.4764,101.786,5.4056,0.5716,0
4,-20.044812,16.230167,0.5092,105.558,5.5368,0.8184,0
5,-19.089692,18.145314,0.509,105.535,5.536,0.8538,0
6,-18.313609,-9.806127,0.6139,117.5985,5.9556,1.0512,0
7,-17.24647,-11.106465,0.396,92.54,5.084,0.9059,0
8,-16.773817,-1.71584,0.5837,114.1255,5.8348,0.8184,0
9,-16.299547,1.577736,0.4182,95.093,5.1728,1.3703,0
10,-15.869132,15.966001,0.434,96.91,5.236,1.3667,0
11,-15.225978,6.821073,0.5186,106.639,5.5744,0.9559,0
12,-14.153137,7.735041,0.4831,102.5565,5.4324,0.6822,0
13,-12.96793,12.604863,0.5997,115.9655,5.8988,1.248,0
14,-12.326953,13.705883,0.5381,108.8815,5.6524,0.9407,0
15,-11.627877,-14.557171,0.7689,135.4235,6.5756,1.2429,0
16,-11.144868,-14.622842,0.782,136.93,6.628,0.571,0
17,-10.587591,-14.606119,0.5029,104.8335,5.5116,0.9721,0
18,-10.142772,1.87982,0.5308,108.042,5.6232,0.7338,0
19,-9.289102,1.934327,0.7417,132.2955,6.4668,0.7696,0
20,-8.512645,19.832388,0.5632,99.768,5.7528,0.966,1
21,-8.028169,-22.194949,0.6282,107.243,6.0128,0.7684,1
22,-7.637384,-6.75062,0.779,124.585,6.616,1.2935,1
23,-7.180527,1.726926,0.8028,127.322,6.7112,1.0978,1
24,-6.558327,-9.662574,0.495,91.925,5.48,0.7135,1
25,-6.106284,6.15159,0.6663,111.6245,6.1652,0.8398,1
26,-5.672177,1.635913,0.6095,105.0925,5.938,0.8804,1
27,-5.174485,-22.166028,0.712,116.88,6.348,0.6582,1
28,-4.550865,11.212967,0.8332,130.818,6.8328,1.1145,1
29,-3.904607,7.364484,0.8205,129.3575,6.782,0.7573,1
30,-2.980948,-15.324183,0.5354,96.571,5.6416,0.784,1
31,-1.890863,4.50836,0.5364,96.686,5.6456,1.0055,1
32,-0.760129,1.523395,0.7459,120.7785,6.4836,1.0445,1
33,0.060305,17.412216,0.6957,115.0055,6.2828,0.89,1
34,1.396591,-1.34635,0.7251,118.3865,6.4004,1.1637,1
35,2.46331,-15.328242,0.7884,125.666,6.6536,1.2481,1
36,3.310569,-3.139615,0.5447,97.6405,5.6788,1.2334,1
37,4.068239,-10.568903,0.554,98.71,5.716,0.8732,1
38,4.77468,1.31963,0.5377,96.8355,5.6508,0.5961,1
39,5.792235,2.963416,0.5545,98.7675,5.718,1.2455,1
40,6.684461,-9.755356,0.7305,119.0075,6.422,0.8975,2
41,7.420101,11.051245,0.7099,116.6385,6.3396,1.1873,2
42,7.95504,12.904878,0.7133,117.0295,6.3532,0.9869,2
43,8.90757,-7.44729,0.5622,99.653,5.7488,0.8715,2
44,9.976691,18.051799,0.4548,87.302,5.3192,1.1091,2
45,10.495703,19.192393,0.6438,109.037,6.0752,0.9653,2
46,10.961907,20.345308,0.457,87.555,5.328,0.6903,2
47,11.329736,-3.041897,0.5927,103.1605,5.8708,0.9053,2
48,11.753637,-2.785993,0.6383,108.4045,6.0532,0.8481,2
49,13.48941,-18.600869,0.3896,79.804,5.0584,0.9354,2
50,14.406273,2.604078,0.6488,109.612,6.0952,1.304,2
51,15.648775,-0.722846,0.5135,94.0525,5.554,0.776,2
52,17.06363,7.285824,0.6262,107.013,6.0048,0.8551,2
53,17.655798,7.017366,0.5405,97.1575,5.662,1.3993,2
54,18.740192,6.185805,0.5445,97.6175,5.678,0.796,2
55,19.990087,-21.005018,0.4635,88.3025,5.354,0.7999,2
56,20.789584,13.970872,0.4447,86.1405,5.2788,1.1821,2
57,21.283145,15.826062,0.516,94.34,5.564,0.6378,2
58,22.222468,-2.672307,0.5823,101.9645,5.8292,0.6032,2
59,23.354801,-17.772032,0.3833,79.0795,5.0332,1.1674,2
