id,x,y
0,-18.122995,10.773423
1,-15.286827,-3.010425
2,-12.4608,-5.322487
3,-11.411376,-10.25499
4,-10.517144,-15.147234
5,-9.471435,-15.832056
6,-7.813094,8.349314
7,-7.395461,0.336125
8,-6.447507,5.44987
9,-4.333676,7.609689
10,-3.051342,-14.675445
11,-2.019169,-11.101762
12,-0.83878,5.803714
13,0.285755,5.106038
14,1.16334,2.866631
15,1.702163,-8.10996
16,1.97187,-1.815734
17,3.130674,-12.016664
18,4.385169,16.650661
19,5.604624,-13.473693
20,6.835104,-11.798544
21,7.920195,-11.78231
22,9.083757,-9.718379
23,10.040775,-6.287905
24,11.113085,-4.766957
25,11.52365,-4.454782
26,12.520937,8.084371
27,13.808624,-1.676023
28,14.691915,0.013247
29,18.728001,-15.586649
