id,x,y,risk,value,service_time,payload,segment
0,-18.357861,10.449636,0.5409,109.2035,5.6636,0.8824,0
1,-16.482227,-0.140306,0.5973,115.6895,5.8892,1.1034,0
2,-15.609768,-3.455632,0.3911,91.9765,5.0644,0.6952,0
3,-14.312776,-4.573776,0.5753,113.1595,5.8012,1.2525,0
4,-12.871816,-5.889114,0.3889,91.7235,5.0556,0.6016,0
5,-11.853309,-12.223164,0.5181,106.5815,5.5724,0.8561,0
6,-11.646242,-10.578777,0.6021,116.2415,5.9084,1.369,0
7,-11.511117,-8.294953,0.393,92.195,5.072,1.1388,0
8,-10.840085,-15.592441,0.5219,107.0185,5.5876,1.1648,0
9,-10.182543,4.113173,0.4644,100.406,5.3576,0.9182,0
10,-9.882451,-16.398683,0.6974,127.201,6.2896,1.1548,0
11,-9.144786,2.39055,0.6352,120.048,6.0408,0.8661,0
12,-8.04796,8.025527,0.6886,126.189,6.2544,0.7918,0
13,-7.889332,0.492405,0.559,111.285,5.736,1.0796,0
14,-7.718402,-0.109082,0.6113,117.2995,5.9452,1.2174,0
15,-7.13733,4.339355,0.6749,124.6135,6.1996,1.3762,0
16,-6.858523,4.883243,0.5243,107.2945,5.5972,1.0757,0
17,-6.284132,7.647909,0.6674,123.751,6.1696,0.9178,0
18,-4.568542,7.285902,0.6623,123.1645,6.1492,1.2483,0
19,-3.541275,-12.346579,0.715,129.225,6.36,0.701,0
20,-3.374283,-15.120652,0.6966,115.109,6.2864,1.0318,1
21,-2.864795,-11.565456,0.5915,103.0225,5.866,1.3727,1
22,-2.430185,-11.668389,0.5846,102.229,5.8384,1.1533,1
23,-1.848819,-13.169011,0.7855,125.3325,6.642,0.8654,1
24,-1.073646,5.479927,0.5093,93.5695,5.5372,0.8792,1
25,-0.559189,-11.877136,0.7065,116.2475,6.326,0.8998,1
26,-0.037186,4.660831,0.785,125.275,6.64,0.7625,1
27,0.423898,-12.537835,0.5009,92.6035,5.5036,1.2429,1
28,0.752324,2.300004,0.6612,111.038,6.1448,1.336,1
29,1.129696,-0.484299,0.6935,114.7525,6.274,1.3829,1
30,1.228822,1.577602,0.7186,117.639,6.3744,0.5953,1
31,1.467297,-8.433747,0.7071,116.3165,6.3284,1.3625,1
32,1.511633,-9.239455,0.4979,92.2585,5.4916,0.7127,1
33,1.648929,-2.260941,0.7044,116.006,6.3176,0.7395,1
34,1.799808,-2.78388,0.7535,121.6525,6.514,0.9041,1
35,2.719658,-12.583291,0.6081,104.9315,5.9324,0.6488,1
36,3.367105,-12.527104,0.7773,124.3895,6.6092,1.2488,1
37,4.150303,16.326874,0.6317,107.6455,6.0268,1.2788,1
38,4.683302,-12.994391,0.8004,127.046,6.7016,0.6694,1
39,5.281683,-13.9189,0.8052,127.598,6.7208,0.653,1
40,5.738691,13.690883,0.5579,99.1585,5.7316,1.3836,2
41,6.424088,-12.365171,0.5506,98.319,5.7024,1.2218,2
42,7.007147,-12.427318,0.4837,90.6255,5.4348,1.2284,2
43,7.685329,-12.106097,0.4946,91.879,5.4784,0.8709,2
44,8.221135,-15.830043,0.7162,117.363,6.3648,0.9162,2
45,8.760816,-10.163586,0.722,118.03,6.388,1.2553,2
46,9.1956,-8.596936,0.5583,99.2045,5.7332,1.2168,2
47,9.629759,-6.854532,0.5083,93.4545,5.5332,1.0017,2
48,10.452922,-5.601363,0.3982,80.793,5.0928,0.5971,2
49,10.878219,-5.090744,0.6141,105.6215,5.9564,0.6519,2
50,11.015791,-5.103843,0.6245,106.8175,5.998,1.0391,2
51,11.200709,-4.899989,0.404,81.46,5.116,0.6697,2
52,11.519712,-4.592234,0.356,75.94,4.924,0.5624,2
53,12.109921,7.517744,0.5626,99.699,5.7504,1.0042,2
54,13.094177,6.086229,0.3297,72.9155,4.8188,1.0527,2
55,13.573758,-1.99981,0.372,77.78,4.988,1.1962,2
56,13.933876,-1.641217,0.3989,80.8735,5.0956,1.3948,2
57,14.368974,-0.43196,0.6092,105.058,5.9368,1.3311,2
58,15.369085,-15.812185,0.5987,103.8505,5.8948,1.109,2
59,18.316985,-16.153276,0.3515,75.4225,4.906,1.21,2
