case_id,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,iterations,scenario_id,objective_value,solver_runtime,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
public_bay_area_full,0,greedy_nearest,greedy_nearest,60,30,3,6,0,public_bay_area_full_seed0,8486.705754337589,0.007646,323.252792,510.155072,2520.255932,0.0,0.0,140.926787,0.4,0.4,60,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,0,ga,ga,60,30,3,6,50,public_bay_area_full_seed0,8591.319585337587,0.102179,304.349957,474.633741,2520.255932,0.0,0.0,107.109277,1.0,1.0,60,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,0,aco,aco,60,30,3,6,50,public_bay_area_full_seed0,8372.035629337588,0.178057,299.285345,463.503723,2520.255932,0.0,0.0,104.488883,1.0,1.0,60,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,0,alns_fixed,alns_fixed,60,30,3,6,80,public_bay_area_full_seed0,414.343699,7.003599,220.010829,234.461551,1969.406841,0.038462,0.038462,103.019705,0.2,0.2,26,2.307692,0,61.0,29.0,19.0,7.0
public_bay_area_full,0,alns_pinn,alns_point,60,30,3,6,80,public_bay_area_full_seed0,414.343699,7.527234,220.010829,234.461551,1969.406841,0.038462,0.038462,103.019705,0.2,0.2,26,2.307692,0,61.0,29.0,19.0,7.0
public_bay_area_full,0,alns_pinn_full,alns_full,60,30,3,6,80,public_bay_area_full_seed0,412.345629,6.619596,220.59725,235.971963,2037.192304,0.0,0.0,92.30884,0.333333,0.333333,33,1.818182,0,46.0,19.0,34.0,3.0
public_bay_area_full,1,greedy_nearest,greedy_nearest,60,30,3,6,0,public_bay_area_full_seed1,8486.705754337589,0.008561,323.252792,510.155072,2520.255932,0.0,0.0,140.926787,0.4,0.4,60,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,1,ga,ga,60,30,3,6,50,public_bay_area_full_seed1,8591.319585337587,0.096721,304.349957,474.633741,2520.255932,0.0,0.0,107.109277,1.0,1.0,60,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,1,aco,aco,60,30,3,6,50,public_bay_area_full_seed1,8372.035629337588,0.187005,299.285345,463.503723,2520.255932,0.0,0.0,104.488883,1.0,1.0,60,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,1,alns_fixed,alns_fixed,60,30,3,6,80,public_bay_area_full_seed1,416.833946,9.750171,211.246218,217.430489,2052.607952,0.066667,0.066667,98.455816,0.533333,0.533333,30,2.0,0,53.0,24.0,27.0,10.0
public_bay_area_full,1,alns_pinn,alns_point,60,30,3,6,80,public_bay_area_full_seed1,416.833946,8.618136,211.246218,217.430489,2052.607952,0.066667,0.066667,98.455816,0.533333,0.533333,30,2.0,0,53.0,24.0,27.0,10.0
public_bay_area_full,1,alns_pinn_full,alns_full,60,30,3,6,80,public_bay_area_full_seed1,410.842856,5.24896,210.962321,254.688671,2037.533555,0.0,0.0,90.962786,0.4,0.4,36,1.666667,0,54.0,23.0,26.0,2.0
