case_id,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,iterations,scenario_id,objective_value,solver_runtime,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
public_bay_area_full,0,greedy_nearest,greedy_nearest,60,30,3,6,0,public_bay_area_full_seed0,8486.705754337589,0.003068,323.252792,510.155072,2520.255932,0.0,0.0,140.926787,0.4,0.4,60,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,0,ga,ga,60,30,3,6,50,public_bay_area_full_seed0,8591.319585337587,0.0631,304.349957,474.633741,2520.255932,0.0,0.0,107.109277,1.0,1.0,60,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,0,aco,aco,60,30,3,6,50,public_bay_area_full_seed0,8372.035629337588,0.117112,299.285345,463.503723,2520.255932,0.0,0.0,104.488883,1.0,1.0,60,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,0,alns_fixed,alns_fixed,60,30,3,6,80,public_bay_area_full_seed0,8275.635701337591,0.100643,329.548812,528.871214,2520.255932,0.0,0.0,147.79502,0.2,0.2,60,1.0,0,72.0,15.0,8.0,12.0
public_bay_area_full,0,alns_pinn,alns_point,60,30,3,6,80,public_bay_area_full_seed0,8710.70447833759,0.031742,312.553435,515.447517,2520.255932,0.0,0.0,107.824303,0.933333,0.933333,60,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,0,alns_pinn_uq,uq_alns,60,30,3,6,80,public_bay_area_full_seed0,8684.265187377589,0.033132,312.143245,493.751105,2504.011802,0.0,0.0,107.608216,0.933333,0.933333,59,1.016949,0,0.0,0.0,0.0,0.0
public_bay_area_full,0,alns_pinn_full,alns_full,60,30,3,6,80,public_bay_area_full_seed0,8391.107946177592,0.24209,303.563642,452.307036,2450.236151,0.0,0.0,104.570332,1.0,1.0,58,1.034483,0,65.0,13.0,15.0,1.0
public_bay_area_full,1,greedy_nearest,greedy_nearest,60,30,3,6,0,public_bay_area_full_seed1,8486.705754337589,0.002805,323.252792,510.155072,2520.255932,0.0,0.0,140.926787,0.4,0.4,60,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,1,ga,ga,60,30,3,6,50,public_bay_area_full_seed1,8591.319585337587,0.06411,304.349957,474.633741,2520.255932,0.0,0.0,107.109277,1.0,1.0,60,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,1,aco,aco,60,30,3,6,50,public_bay_area_full_seed1,8372.035629337588,0.109053,299.285345,463.503723,2520.255932,0.0,0.0,104.488883,1.0,1.0,60,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,1,alns_fixed,alns_fixed,60,30,3,6,80,public_bay_area_full_seed1,8275.635701337591,0.0948,329.548812,528.871214,2520.255932,0.0,0.0,147.79502,0.2,0.2,60,1.0,0,71.0,18.0,9.0,10.0
public_bay_area_full,1,alns_pinn,alns_point,60,30,3,6,80,public_bay_area_full_seed1,8710.70447833759,0.037859,312.553435,515.447517,2520.255932,0.0,0.0,107.824303,0.933333,0.933333,60,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,1,alns_pinn_uq,uq_alns,60,30,3,6,80,public_bay_area_full_seed1,8684.265187377589,0.032726,312.143245,493.751105,2504.011802,0.0,0.0,107.608216,0.933333,0.933333,59,1.016949,0,0.0,0.0,0.0,0.0
public_bay_area_full,1,alns_pinn_full,alns_full,60,30,3,6,80,public_bay_area_full_seed1,8391.107946177592,0.221722,303.563642,452.307036,2450.236151,0.0,0.0,104.570332,1.0,1.0,58,1.034483,0,57.0,16.0,23.0,8.0
public_bay_area_full,2,greedy_nearest,greedy_nearest,60,30,3,6,0,public_bay_area_full_seed2,8486.705754337589,0.003943,323.252792,510.155072,2520.255932,0.0,0.0,140.926787,0.4,0.4,60,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,2,ga,ga,60,30,3,6,50,public_bay_area_full_seed2,8591.319585337587,0.075004,304.349957,474.633741,2520.255932,0.0,0.0,107.109277,1.0,1.0,60,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,2,aco,aco,60,30,3,6,50,public_bay_area_full_seed2,8372.035629337588,0.115298,299.285345,463.503723,2520.255932,0.0,0.0,104.488883,1.0,1.0,60,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,2,alns_fixed,alns_fixed,60,30,3,6,80,public_bay_area_full_seed2,8275.635701337591,0.095538,329.548812,528.871214,2520.255932,0.0,0.0,147.79502,0.2,0.2,60,1.0,0,69.0,13.0,11.0,12.0
public_bay_area_full,2,alns_pinn,alns_point,60,30,3,6,80,public_bay_area_full_seed2,8710.70447833759,0.030376,312.553435,515.447517,2520.255932,0.0,0.0,107.824303,0.933333,0.933333,60,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,2,alns_pinn_uq,uq_alns,60,30,3,6,80,public_bay_area_full_seed2,8684.265187377589,0.034996,312.143245,493.751105,2504.011802,0.0,0.0,107.608216,0.933333,0.933333,59,1.016949,0,0.0,0.0,0.0,0.0
public_bay_area_full,2,alns_pinn_full,alns_full,60,30,3,6,80,public_bay_area_full_seed2,8567.503221177589,0.221843,313.745892,508.793619,2450.236151,0.0,0.0,106.561243,1.0,1.0,58,1.034483,0,62.0,8.0,18.0,6.0
public_bay_area_full,3,greedy_nearest,greedy_nearest,60,30,3,6,0,public_bay_area_full_seed3,8486.705754337589,0.004349,323.252792,510.155072,2520.255932,0.0,0.0,140.926787,0.4,0.4,60,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,3,ga,ga,60,30,3,6,50,public_bay_area_full_seed3,8591.319585337587,0.059933,304.349957,474.633741,2520.255932,0.0,0.0,107.109277,1.0,1.0,60,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,3,aco,aco,60,30,3,6,50,public_bay_area_full_seed3,8372.035629337588,0.118582,299.285345,463.503723,2520.255932,0.0,0.0,104.488883,1.0,1.0,60,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,3,alns_fixed,alns_fixed,60,30,3,6,80,public_bay_area_full_seed3,8275.635701337591,0.102496,329.548812,528.871214,2520.255932,0.0,0.0,147.79502,0.2,0.2,60,1.0,0,73.0,19.0,7.0,9.0
