case_id,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,iterations,scenario_id,objective_value,solver_runtime,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
los_angeles_inland_public_full,0,greedy_nearest,greedy_nearest,60,30,3,6,0,los_angeles_inland_public_full_seed0,1836.325452016,0.003034,91.886828,858.647962,2898.264739,0.0,0.0,164184.480305,0.133333,0,0.0,0.0,0.0,0.0
los_angeles_inland_public_full,0,ga,ga,60,30,3,6,50,los_angeles_inland_public_full_seed0,2283.641410016,0.044896,93.067843,837.257019,2898.264739,0.0,0.0,158086.831185,0.933333,0,0.0,0.0,0.0,0.0
los_angeles_inland_public_full,0,aco,aco,60,30,3,6,50,los_angeles_inland_public_full_seed0,2283.4597530160004,0.076682,93.120462,796.030454,2898.264739,0.0,0.0,158074.23348,0.933333,0,0.0,0.0,0.0,0.0
los_angeles_inland_public_full,0,alns_fixed,alns_fixed,60,30,3,6,80,los_angeles_inland_public_full_seed0,1825.4964690160002,0.059275,92.092046,844.1778,2898.264739,0.0,0.0,167532.086792,0.133333,0,69.0,13.0,11.0,8.0
los_angeles_inland_public_full,0,alns_pinn,alns_point,60,30,3,6,80,los_angeles_inland_public_full_seed0,2289.333584016,0.023699,92.911065,864.731578,2898.264739,0.0,0.0,158458.335975,0.933333,0,0.0,0.0,0.0,0.0
los_angeles_inland_public_full,0,alns_pinn_uq,uq_alns,60,30,3,6,80,los_angeles_inland_public_full_seed0,2292.0767180160005,0.021164,92.738158,858.323781,2898.264739,0.0,0.0,158542.390637,0.933333,0,0.0,0.0,0.0,0.0
los_angeles_inland_public_full,0,alns_pinn_full,alns_full,60,30,3,6,80,los_angeles_inland_public_full_seed0,2271.5390930159997,0.08345,93.090665,875.773447,2898.264739,0.0,0.0,157337.593729,0.933333,0,67.0,29.0,13.0,2.0
los_angeles_inland_public_full,1,greedy_nearest,greedy_nearest,60,30,3,6,0,los_angeles_inland_public_full_seed1,1836.325452016,0.001864,91.886828,858.647962,2898.264739,0.0,0.0,164184.480305,0.133333,0,0.0,0.0,0.0,0.0
los_angeles_inland_public_full,1,ga,ga,60,30,3,6,50,los_angeles_inland_public_full_seed1,2283.641410016,0.046439,93.067843,837.257019,2898.264739,0.0,0.0,158086.831185,0.933333,0,0.0,0.0,0.0,0.0
los_angeles_inland_public_full,1,aco,aco,60,30,3,6,50,los_angeles_inland_public_full_seed1,2283.4597530160004,0.072883,93.120462,796.030454,2898.264739,0.0,0.0,158074.23348,0.933333,0,0.0,0.0,0.0,0.0
los_angeles_inland_public_full,1,alns_fixed,alns_fixed,60,30,3,6,80,los_angeles_inland_public_full_seed1,1825.4964690160002,0.071405,92.092046,844.1778,2898.264739,0.0,0.0,167532.086792,0.133333,0,70.0,23.0,10.0,13.0
los_angeles_inland_public_full,1,alns_pinn,alns_point,60,30,3,6,80,los_angeles_inland_public_full_seed1,2289.333584016,0.025725,92.911065,864.731578,2898.264739,0.0,0.0,158458.335975,0.933333,0,0.0,0.0,0.0,0.0
los_angeles_inland_public_full,1,alns_pinn_uq,uq_alns,60,30,3,6,80,los_angeles_inland_public_full_seed1,2292.0767180160005,0.023293,92.738158,858.323781,2898.264739,0.0,0.0,158542.390637,0.933333,0,0.0,0.0,0.0,0.0
los_angeles_inland_public_full,1,alns_pinn_full,alns_full,60,30,3,6,80,los_angeles_inland_public_full_seed1,2271.5390930159997,0.082369,93.090665,875.773447,2898.264739,0.0,0.0,157337.593729,0.933333,0,65.0,33.0,15.0,2.0
los_angeles_inland_public_full,2,greedy_nearest,greedy_nearest,60,30,3,6,0,los_angeles_inland_public_full_seed2,1836.325452016,0.002016,91.886828,858.647962,2898.264739,0.0,0.0,164184.480305,0.133333,0,0.0,0.0,0.0,0.0
los_angeles_inland_public_full,2,ga,ga,60,30,3,6,50,los_angeles_inland_public_full_seed2,2283.641410016,0.046926,93.067843,837.257019,2898.264739,0.0,0.0,158086.831185,0.933333,0,0.0,0.0,0.0,0.0
los_angeles_inland_public_full,2,aco,aco,60,30,3,6,50,los_angeles_inland_public_full_seed2,2283.4597530160004,0.073451,93.120462,796.030454,2898.264739,0.0,0.0,158074.23348,0.933333,0,0.0,0.0,0.0,0.0
