id,x,y,risk,value,service_time,payload,segment,risk_value,kind,tower_id,stop_id,uav_id,start,finish,energy_mean,energy_q95,feasible,vehicle_id,vehicle_arrival,vehicle_departure,road_travel,priority,sortie_id
0.0,-0.5612,0.2657,0.4738,163.8907,7.8579,1.0157,0,0.01623416263626991,tower,,,,,,,,,,,,,,
1.0,1.796,7.1062,0.4451,66.5159,7.1214,1.3445,1,0.005131518820173026,tower,,,,,,,,,,,,,,
2.0,3.768,15.3765,0.2999,53.7948,3.9844,1.4029,2,0.003098923722450134,tower,,,,,,,,,,,,,,
3.0,4.3738,22.2608,0.4526,74.1159,5.0171,1.3711,3,0.006009467038636278,tower,,,,,,,,,,,,,,
4.0,2.2806,0.1493,0.2434,84.7153,3.4847,1.6391,0,0.005388583461616577,tower,,,,,,,,,,,,,,
5.0,3.9796,7.16,0.3427,63.5806,7.5513,0.6984,1,0.004222603403964902,tower,,,,,,,,,,,,,,
6.0,5.4821,14.7668,0.3138,56.2406,7.9745,1.4948,2,0.0033849784813735416,tower,,,,,,,,,,,,,,
7.0,6.4094,22.815,0.2006,38.3514,5.4955,0.6332,3,0.0014680769524322004,tower,,,,,,,,,,,,,,
8.0,3.39,0.247,0.7329,213.9235,5.4609,0.4634,0,0.028405094385558063,tower,,,,,,,,,,,,,,
9.0,4.4906,7.4452,0.38,55.7737,5.2763,0.9497,1,0.003656878247814611,tower,,,,,,,,,,,,,,
10.0,6.4347,15.1858,0.4405,66.4258,7.8313,0.6506,2,0.005093517561499487,tower,,,,,,,,,,,,,,
11.0,8.4174,22.9792,0.3695,89.5507,4.3714,1.2648,3,0.006939150326176123,tower,,,,,,,,,,,,,,
12.0,5.4717,-0.5449,0.37,108.8228,4.0947,1.5285,0,0.008846204372959405,tower,,,,,,,,,,,,,,
13.0,6.6114,7.2376,0.2262,40.5676,3.275,0.9787,1,0.0017091175501433842,tower,,,,,,,,,,,,,,
