method,candidate_mode,size,tower_count,stop_count,uncertainty,n,makespan_mean,makespan_sd,total_vehicle_distance_mean,total_vehicle_distance_sd,expected_energy_mean,expected_energy_sd,energy_violation_rate_mean,energy_violation_rate_sd,infeasible_sortie_rate_mean,infeasible_sortie_rate_sd,risk_weighted_completion_time_mean,risk_weighted_completion_time_sd,top_risk_coverage_mean,top_risk_coverage_sd,feasible_top_risk_coverage_mean,feasible_top_risk_coverage_sd,sortie_count_mean,sortie_count_sd,avg_towers_per_sortie_mean,avg_towers_per_sortie_sd,missed_value_mean,missed_value_sd,solver_runtime_mean,solver_runtime_sd,objective_value_mean,objective_value_sd,milp_gap_mean,milp_gap_sd,milp_optimizes_rwct_mean,milp_optimizes_rwct_sd,optimality_gap_pct_mean,optimality_gap_pct_sd,total_candidate_pairs_mean,total_candidate_pairs_sd,screened_pair_count_mean,screened_pair_count_sd,candidate_pair_reduction_mean,candidate_pair_reduction_sd,feasible_candidate_pairs_mean,feasible_candidate_pairs_sd,alns_accepted_moves_mean,alns_accepted_moves_sd,alns_improving_moves_mean,alns_improving_moves_sd,alns_rejected_moves_mean,alns_rejected_moves_sd,alns_best_updates_mean,alns_best_updates_sd,alns_objective_evaluations_mean,alns_objective_evaluations_sd,alns_score_cache_size_mean,alns_score_cache_size_sd,alns_repair_position_evaluations_mean,alns_repair_position_evaluations_sd,destroy_random_removal_uses_mean,destroy_random_removal_uses_sd,destroy_worst_energy_removal_uses_mean,destroy_worst_energy_removal_uses_sd,destroy_shaw_related_removal_uses_mean,destroy_shaw_related_removal_uses_sd,destroy_path_segment_removal_uses_mean,destroy_path_segment_removal_uses_sd,destroy_uav_chain_removal_uses_mean,destroy_uav_chain_removal_uses_sd,repair_greedy_insert_repair_uses_mean,repair_greedy_insert_repair_uses_sd,repair_regret_insert_repair_uses_mean,repair_regret_insert_repair_uses_sd,repair_energy_minimum_insert_repair_uses_mean,repair_energy_minimum_insert_repair_uses_sd,repair_synchronization_aware_insert_repair_uses_mean,repair_synchronization_aware_insert_repair_uses_sd,baseline_candidate_evaluations_mean,baseline_candidate_evaluations_sd,baseline_generations_mean,baseline_generations_sd,baseline_population_size_mean,baseline_population_size_sd,baseline_ant_count_mean,baseline_ant_count_sd,baseline_best_order_score_mean,baseline_best_order_score_sd,alns_risk_value_weight_mean,alns_risk_value_weight_sd,alns_adaptive_enabled_mean,alns_adaptive_enabled_sd
aco,kmeans,L,500,250,medium,10,3644.801673,113.065318,14939.016111,615.611884,22617.962167,646.318718,0.0032,0.00391,0.0032,0.00391,1001.609757,32.634549,0.9752,0.008804,0.9736,0.008475,500.0,0.0,1.0,0.0,0.0,0.0,2.269735,0.291231,882388.556914,37394.23572,0.0,0.0,0.0,0.0,0.0,0.0,125000.0,0.0,1496.8,3.910101,0.988026,3.1e-05,964.5,71.232405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,0.0,40.0,0.0,0.0,0.0,24.0,0.0,562087.700294,15256.249623,0.0,0.0,0.0,0.0
aco,kmeans,M,100,50,medium,10,717.669169,42.815907,1583.963998,132.405198,4415.93129,142.916817,0.002,0.004216,0.002,0.004216,189.74135,14.535362,0.968,0.031552,0.968,0.031552,100.0,0.0,1.0,0.0,0.0,0.0,0.248694,0.049446,34446.66566,2069.426545,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,299.6,0.843274,0.94008,0.000169,200.3,21.197746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,50.0,0.0,0.0,0.0,24.0,0.0,23320.705562,1452.514545,0.0,0.0,0.0,0.0
alns_fixed,kmeans,L,500,250,medium,10,3624.309789,81.603552,15139.276661,475.833872,22620.134054,647.57446,0.0032,0.00391,0.0032,0.00391,1701.878493,61.464345,0.2368,0.019668,0.2368,0.019668,500.0,0.0,1.0,0.0,0.0,0.0,5.863221,1.08207,860512.100676,27046.543205,0.0,0.0,0.0,0.0,0.0,0.0,125000.0,0.0,1496.8,3.910101,0.988026,3.1e-05,964.5,71.232405,55.1,2.024846,21.3,4.547282,4.9,2.024846,18.2,4.022161,61.0,0.0,500.0,0.0,5400.0,0.0,13.1,4.629615,9.2,2.740641,12.7,6.342975,10.8,3.425395,14.2,3.552777,19.2,4.894441,15.7,5.313505,17.2,3.224903,7.9,3.314949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
alns_fixed,kmeans,M,100,50,medium,10,699.945625,29.859337,1563.83786,70.663037,4415.93129,142.916817,0.002,0.004216,0.002,0.004216,327.462088,24.394687,0.256,0.082624,0.256,0.082624,100.0,0.0,1.0,0.0,0.0,0.0,0.318379,0.048977,32550.719164,1645.373221,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,299.6,0.843274,0.94008,0.000169,200.3,21.197746,91.3,1.567021,24.4,5.929212,8.7,1.567021,15.2,4.184628,101.0,0.0,100.0,0.0,1800.0,0.0,23.0,7.483315,19.1,4.357624,21.9,6.154492,15.3,2.263233,20.7,4.137901,31.9,5.173651,25.2,6.285786,30.1,6.573516,12.8,3.823901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
alns_pinn,kmeans,L,500,250,medium,10,3627.359538,146.367295,14947.939491,844.345993,22617.962167,646.318718,0.0032,0.00391,0.0032,0.00391,1005.102924,61.573412,0.984,0.008433,0.9824,0.008262,500.0,0.0,1.0,0.0,0.0,0.0,1.950407,0.483734,885505.027078,54071.378236,0.0,0.0,0.0,0.0,0.0,0.0,125000.0,0.0,1496.8,3.910101,0.988026,3.1e-05,964.5,71.232405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alns_pinn,kmeans,M,100,50,medium,10,714.434788,37.946036,1583.357493,120.829695,4415.93129,142.916817,0.002,0.004216,0.002,0.004216,189.029893,13.503073,0.972,0.032931,0.972,0.032931,100.0,0.0,1.0,0.0,0.0,0.0,0.099867,0.018746,34200.382557,1998.176833,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,299.6,0.843274,0.94008,0.000169,200.3,21.197746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alns_pinn_full,kmeans,L,500,250,medium,10,3701.015203,137.282191,15332.991021,674.298866,22608.065881,645.323885,0.0,0.0,0.0,0.0,1035.346478,43.93699,0.9736,0.008475,0.9736,0.008475,499.6,0.516398,1.000802,0.001035,0.0,0.0,7.932421,0.601478,906800.722896,35242.701467,0.0,0.0,0.0,0.0,0.0,0.0,125000.0,0.0,1496.8,3.910101,0.988026,3.1e-05,964.5,71.232405,46.9,2.685351,21.8,5.050853,13.1,2.685351,15.1,5.486347,61.0,0.0,500.0,0.0,5400.0,0.0,16.4,4.835057,10.2,2.394438,9.3,4.083844,11.0,2.94392,13.1,3.414023,22.2,5.865151,23.6,5.796551,7.1,1.37032,7.1,1.791957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0
alns_pinn_full,kmeans,M,100,50,medium,10,718.579177,34.117563,1592.470913,100.819907,4410.910571,138.508257,0.0,0.0,0.0,0.0,187.967782,12.521068,0.972,0.026998,0.972,0.026998,99.7,0.483046,1.00303,0.004879,0.0,0.0,0.429445,0.073425,34190.584078,1796.836739,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,299.6,0.843274,0.94008,0.000169,200.3,21.197746,77.1,3.95671,23.0,7.483315,22.9,3.95671,7.8,3.489667,101.0,0.0,100.0,0.0,1800.0,0.0,22.0,5.617433,18.2,2.740641,21.3,5.538752,16.0,3.231787,22.5,4.766783,37.4,7.662318,36.0,6.992059,12.3,2.710064,14.3,2.213594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0
alns_pinn_uq,kmeans,L,500,250,medium,10,3638.984532,98.676725,15058.977914,581.80099,22617.408683,653.989541,0.0,0.0,0.0,0.0,1000.995671,49.026798,0.9848,0.007955,0.9848,0.007955,499.8,0.421637,1.000401,0.000845,0.0,0.0,1.902731,0.305831,884258.471588,32562.43359,0.0,0.0,0.0,0.0,0.0,0.0,125000.0,0.0,1496.8,3.910101,0.988026,3.1e-05,964.5,71.232405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alns_pinn_uq,kmeans,M,100,50,medium,10,720.962431,39.875693,1597.430302,121.793011,4410.991833,140.049146,0.0,0.0,0.0,0.0,190.298897,13.482942,0.972,0.032931,0.972,0.032931,99.7,0.674949,1.003051,0.006875,0.0,0.0,0.097988,0.017422,34540.018254,1919.150876,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,299.6,0.843274,0.94008,0.000169,200.3,21.197746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
