id,x,y,risk,value,service_time,payload,segment,case,kind,risk_value
0,-8.833146,6.412064,0.3975,92.7125,5.09,0.9755,0.0,Bay Area,tower,0.00672598851226218
1,-7.949019,-10.751274,0.421,95.415,5.184,1.1357,0.0,Bay Area,tower,0.007940611952653618
2,-7.416315,3.180568,0.5708,112.642,5.7832,0.8123,0.0,Bay Area,tower,0.017877276806741903
3,-6.990293,-9.839664,0.3159,83.3285,4.7636,0.7137,0.0,Bay Area,tower,0.00323323257774153
4,-6.776982,-8.325887,0.5141,106.1215,5.5564,1.2294,0.0,Bay Area,tower,0.013670057645826551
5,-6.543009,-8.223377,0.543,109.445,5.672,1.0558,0.0,Bay Area,tower,0.015746575456128533
6,-6.436521,4.641194,0.594,115.31,5.876,0.9331,0.0,Bay Area,tower,0.019755416415610214
7,-6.206514,3.579592,0.4747,101.5905,5.3988,0.7904,0.0,Bay Area,tower,0.011066532216923802
8,-6.148637,-1.24007,0.3945,92.3675,5.078,1.3205,0.0,Bay Area,tower,0.006577649291327298
9,-6.124106,4.293409,0.5141,106.1215,5.5564,0.5721,0.0,Bay Area,tower,0.013670057645826551
10,-6.111695,-1.887503,0.3928,92.172,5.0712,0.8048,0.0,Bay Area,tower,0.006494265689199159
11,-6.093746,1.209046,0.4402,97.623,5.2608,1.0188,0.0,Bay Area,tower,0.009002275451425502
12,-6.082412,0.222846,0.6585,122.7275,6.134,1.2605,0.0,Bay Area,tower,0.02545505065823885
13,-5.994298,-3.055986,0.5508,110.342,5.7032,1.3817,0.0,Bay Area,tower,0.01633121350661583
14,-5.800562,4.650434,0.4345,96.9675,5.238,1.0309,0.0,Bay Area,tower,0.008680590527623667
15,-5.730335,-6.775061,0.7198,129.777,6.3792,1.2947,0.0,Bay Area,tower,0.03152366751860138
16,-5.631692,4.724901,0.4534,99.141,5.3136,0.6314,0.0,Bay Area,tower,0.009768315278777227
17,-5.450826,-4.482396,0.6575,122.6125,6.13,0.9195,0.0,Bay Area,tower,0.025361317415075246
18,-5.005909,4.943077,0.4762,101.763,5.4048,1.1048,0.0,Bay Area,tower,0.011160846421675155
19,-4.139201,5.233797,0.637,120.255,6.048,0.9845,0.0,Bay Area,tower,0.023477036737566234
20,-3.737516,5.131297,0.6786,113.039,6.2144,1.3254,1.0,Bay Area,tower,0.021571931985156334
21,-3.138966,5.526573,0.7816,124.884,6.6264,1.3688,1.0,Bay Area,tower,0.03157337864525275
22,-2.684289,6.251543,0.6332,107.818,6.0328,1.2556,1.0,Bay Area,tower,0.01773294787256162
23,-2.201034,-3.962348,0.5537,98.6755,5.7148,0.59,1.0,Bay Area,tower,0.011849712135945547
