method,candidate_mode,size,tower_count,stop_count,uncertainty,n,makespan_mean,makespan_sd,total_vehicle_distance_mean,total_vehicle_distance_sd,expected_energy_mean,expected_energy_sd,energy_violation_rate_mean,energy_violation_rate_sd,infeasible_sortie_rate_mean,infeasible_sortie_rate_sd,risk_weighted_completion_time_mean,risk_weighted_completion_time_sd,top_risk_coverage_mean,top_risk_coverage_sd,feasible_top_risk_coverage_mean,feasible_top_risk_coverage_sd,sortie_count_mean,sortie_count_sd,avg_towers_per_sortie_mean,avg_towers_per_sortie_sd,missed_value_mean,missed_value_sd,solver_runtime_mean,solver_runtime_sd,objective_value_mean,objective_value_sd,milp_gap_mean,milp_gap_sd,milp_optimizes_rwct_mean,milp_optimizes_rwct_sd,optimality_gap_pct_mean,optimality_gap_pct_sd,total_candidate_pairs_mean,total_candidate_pairs_sd,screened_pair_count_mean,screened_pair_count_sd,candidate_pair_reduction_mean,candidate_pair_reduction_sd,feasible_candidate_pairs_mean,feasible_candidate_pairs_sd,alns_accepted_moves_mean,alns_accepted_moves_sd,alns_improving_moves_mean,alns_improving_moves_sd,alns_rejected_moves_mean,alns_rejected_moves_sd,alns_best_updates_mean,alns_best_updates_sd,alns_objective_evaluations_mean,alns_objective_evaluations_sd,alns_score_cache_size_mean,alns_score_cache_size_sd,alns_repair_position_evaluations_mean,alns_repair_position_evaluations_sd,alns_portfolio_candidate_count_mean,alns_portfolio_candidate_count_sd,alns_selected_portfolio_infeasible_count_mean,alns_selected_portfolio_infeasible_count_sd,alns_selected_portfolio_rwct_mean,alns_selected_portfolio_rwct_sd,alns_selected_portfolio_makespan_mean,alns_selected_portfolio_makespan_sd,destroy_random_removal_uses_mean,destroy_random_removal_uses_sd,destroy_worst_energy_removal_uses_mean,destroy_worst_energy_removal_uses_sd,destroy_shaw_related_removal_uses_mean,destroy_shaw_related_removal_uses_sd,destroy_path_segment_removal_uses_mean,destroy_path_segment_removal_uses_sd,destroy_uav_chain_removal_uses_mean,destroy_uav_chain_removal_uses_sd,repair_greedy_insert_repair_uses_mean,repair_greedy_insert_repair_uses_sd,repair_regret_insert_repair_uses_mean,repair_regret_insert_repair_uses_sd,repair_energy_minimum_insert_repair_uses_mean,repair_energy_minimum_insert_repair_uses_sd,repair_synchronization_aware_insert_repair_uses_mean,repair_synchronization_aware_insert_repair_uses_sd,baseline_candidate_evaluations_mean,baseline_candidate_evaluations_sd,baseline_generations_mean,baseline_generations_sd,baseline_population_size_mean,baseline_population_size_sd,baseline_ant_count_mean,baseline_ant_count_sd,baseline_best_order_score_mean,baseline_best_order_score_sd,alns_risk_value_weight_mean,alns_risk_value_weight_sd,alns_adaptive_enabled_mean,alns_adaptive_enabled_sd
alns_pinn,kmeans,L,150,75,medium,10,1253.107103,70.425915,2763.673546,206.152483,6738.934425,222.257524,0.002667,0.006441,0.002667,0.006441,349.12562,36.267726,0.978378,0.017093,0.97027,0.032357,150.0,0.0,1.0,0.0,0.0,0.0,0.20394,0.013594,93595.116335,5917.095209,0.0,0.0,0.0,0.0,0.0,0.0,11250.0,0.0,449.2,1.932184,0.960071,0.000172,290.7,23.485456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alns_pinn,kmeans,L,200,100,medium,10,1318.012024,61.919462,3912.27059,277.358551,8894.906295,360.554397,0.004,0.008097,0.004,0.008097,362.0827,25.128448,0.976,0.012649,0.974,0.013499,200.0,0.0,1.0,0.0,16.38907,51.82679,0.542047,0.182117,128217.77129,8011.035201,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,598.4,3.238655,0.97008,0.000162,398.7,36.524117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alns_pinn,kmeans,L,300,150,medium,10,1758.881418,82.198614,6836.834856,403.532923,13253.676069,382.453279,0.001,0.00161,0.001,0.00161,486.140086,25.594084,0.977333,0.010977,0.976,0.013771,300.0,0.0,1.0,0.0,0.0,0.0,1.242247,0.438182,258200.377546,14947.209104,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,0.0,899.4,0.966092,0.980013,2.1e-05,625.1,46.800878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alns_pinn,kmeans,L,500,250,medium,10,3627.359538,146.367295,14947.939491,844.345993,22617.962167,646.318718,0.0032,0.00391,0.0032,0.00391,1005.102924,61.573412,0.984,0.008433,0.9824,0.008262,500.0,0.0,1.0,0.0,0.0,0.0,2.579297,0.699866,885505.027078,54071.378236,0.0,0.0,0.0,0.0,0.0,0.0,125000.0,0.0,1496.8,3.910101,0.988026,3.1e-05,964.5,71.232405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alns_pinn,kmeans,M,30,15,medium,10,219.247517,14.825713,257.274193,25.09054,1353.970802,52.821411,0.0,0.0,0.0,0.0,54.018402,11.539505,0.971429,0.060234,0.971429,0.060234,30.0,0.0,1.0,0.0,0.0,0.0,0.010239,0.001785,3084.148437,276.802159,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,90.0,0.0,0.8,0.0,55.5,4.813176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alns_pinn,kmeans,M,50,25,medium,10,452.607066,21.398202,608.264827,33.975849,2267.752158,83.542295,0.008,0.013984,0.008,0.013984,121.243382,9.769678,0.958333,0.04392,0.958333,0.04392,50.0,0.0,1.0,0.0,0.0,0.0,0.023674,0.002202,10872.110708,575.038159,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,149.2,1.398412,0.88064,0.001119,93.9,6.436873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alns_pinn,kmeans,M,75,35,medium,10,477.457936,19.610355,986.965022,54.207853,3446.146774,103.000523,0.001333,0.004216,0.001333,0.004216,119.962204,14.189107,0.977778,0.028689,0.977778,0.028689,75.0,0.0,1.0,0.0,0.0,0.0,0.045314,0.003712,17062.193429,1195.666358,0.0,0.0,0.0,0.0,0.0,0.0,2625.0,0.0,224.8,0.632456,0.914362,0.000241,135.7,14.150383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alns_pinn,kmeans,M,100,50,medium,10,714.434788,37.946036,1583.357493,120.829695,4415.93129,142.916817,0.002,0.004216,0.002,0.004216,189.029893,13.503073,0.972,0.032931,0.972,0.032931,100.0,0.0,1.0,0.0,0.0,0.0,0.104785,0.011144,34200.382557,1998.176833,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,299.6,0.843274,0.94008,0.000169,200.3,21.197746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alns_pinn_full,kmeans,L,150,75,medium,10,1217.494651,39.292054,2642.801336,114.381803,6736.012732,226.171046,0.0,0.0,0.0,0.0,334.118847,28.216218,0.97027,0.015342,0.97027,0.015342,149.8,0.421637,1.001342,0.00283,0.0,0.0,1.463906,0.11365,89319.700667,3295.545085,0.0,0.0,0.0,0.0,0.0,0.0,11250.0,0.0,449.2,1.932184,0.960071,0.000172,290.7,23.485456,47.1,2.424413,17.9,5.586691,12.9,2.424413,8.6,4.005552,61.0,0.0,150.0,0.0,1620.0,0.0,4.0,0.0,0.0,0.0,334.118847,28.216218,1171.167494,39.570579,11.9,4.605552,11.3,3.12872,10.6,4.221637,12.0,4.642796,14.2,3.047768,23.6,3.949684,21.4,4.115013,7.0,1.333333,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0
alns_pinn_full,kmeans,L,200,100,medium,10,1298.424358,58.991891,3824.065244,250.420849,8896.740727,363.289999,0.0,0.0,0.0,0.0,353.129927,20.160949,0.98,0.013333,0.98,0.013333,200.0,0.0,1.0,0.0,0.0,0.0,3.97103,1.176314,124968.064658,6757.936746,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,598.4,3.238655,0.97008,0.000162,398.7,36.524117,47.3,2.790858,20.1,4.357624,12.7,2.790858,11.5,4.57651,61.0,0.0,200.0,0.0,2160.0,0.0,4.0,0.0,0.0,0.0,353.129927,20.160949,1237.355178,65.634443,14.1,5.646041,9.1,2.884826,11.7,3.860052,10.3,3.743142,14.8,5.202563,24.3,4.110961,21.2,3.675746,6.4,1.646545,8.1,1.66333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0
