prediction_model,size,uncertainty,n,mae_mean,mae_sd,rmse_mean,rmse_sd,mape_mean,mape_sd,coverage_95_mean,coverage_95_sd,false_feasible_rate_mean,false_feasible_rate_sd,training_sample_count_mean,training_sample_count_sd,source,model,train_count,test_count,mae_wh,rmse_wh,mape,wape,smape,bias_wh,residual_std_wh,coverage_95,false_feasible_high_energy_rate,high_energy_threshold_wh
fixed_physics,M,high,10.0,12.964954,3.768374,13.87191,3.997124,0.199891,0.048697,0.102,0.219585,0.004,0.008433,0.0,0.0,P3,,,,,,,,,,,,,
fixed_physics,M,low,10.0,12.028724,3.728682,12.864707,3.97469,0.188054,0.04969,0.132,0.282717,0.004,0.008433,0.0,0.0,P3,,,,,,,,,,,,,
fixed_physics,M,medium,10.0,12.369171,3.742851,13.229426,3.982624,0.19241,0.04932,0.118,0.26305,0.004,0.008433,0.0,0.0,P3,,,,,,,,,,,,,
point_pinn,M,high,10.0,9.395798,2.450631,10.124483,2.511506,0.1473,0.030742,0.43,0.238933,0.002,0.006325,0.0,0.0,P3,,,,,,,,,,,,,
point_pinn,M,low,10.0,8.514652,2.41097,9.076929,2.484752,0.135471,0.031647,0.516,0.260734,0.002,0.006325,0.0,0.0,P3,,,,,,,,,,,,,
point_pinn,M,medium,10.0,8.835069,2.424647,9.454066,2.493247,0.139825,0.031299,0.484,0.262602,0.002,0.006325,0.0,0.0,P3,,,,,,,,,,,,,
probabilistic_pinn,M,high,10.0,1.295997,0.137424,1.638117,0.157636,0.021019,0.002501,1.0,0.0,0.0,0.0,936.0,0.0,P3,,,,,,,,,,,,,
probabilistic_pinn,M,low,10.0,0.907138,0.098119,1.145517,0.113352,0.014976,0.001941,1.0,0.0,0.002,0.006325,936.0,0.0,P3,,,,,,,,,,,,,
probabilistic_pinn,M,medium,10.0,1.047649,0.110949,1.323635,0.128513,0.017177,0.002117,0.998,0.006325,0.002,0.006325,936.0,0.0,P3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,P10,constant_mean,168.0,41.0,3.901572,5.316285,3.280583,0.188127,0.208979,0.586715,6.577478,0.97561,0.0,23.979898
,,,,,,,,,,,,,,,,P10,parameter_linear,168.0,41.0,2.409968,3.249726,2.112204,0.116204,0.147021,-0.086657,3.998807,0.97561,0.0,23.979898
,,,,,,,,,,,,,,,,P10,parameter_route_linear,168.0,41.0,1.259689,1.543576,0.075451,0.06074,0.07097,-0.335026,1.543726,0.97561,0.0,23.979898
,,,,,,,,,,,,,,,,P10,telemetry_weather_linear,168.0,41.0,0.890103,1.083295,0.066856,0.042919,0.090855,-0.112391,1.248093,1.0,0.0,23.979898
