method,candidate_mode,size,tower_count,stop_count,uncertainty,n,makespan_mean,makespan_sd,total_vehicle_distance_mean,total_vehicle_distance_sd,expected_energy_mean,expected_energy_sd,energy_violation_rate_mean,energy_violation_rate_sd,infeasible_sortie_rate_mean,infeasible_sortie_rate_sd,risk_weighted_completion_time_mean,risk_weighted_completion_time_sd,top_risk_coverage_mean,top_risk_coverage_sd,feasible_top_risk_coverage_mean,feasible_top_risk_coverage_sd,sortie_count_mean,sortie_count_sd,avg_towers_per_sortie_mean,avg_towers_per_sortie_sd,missed_value_mean,missed_value_sd,solver_runtime_mean,solver_runtime_sd,objective_value_mean,objective_value_sd,milp_gap_mean,milp_gap_sd,milp_optimizes_rwct_mean,milp_optimizes_rwct_sd,optimality_gap_pct_mean,optimality_gap_pct_sd,total_candidate_pairs_mean,total_candidate_pairs_sd,screened_pair_count_mean,screened_pair_count_sd,candidate_pair_reduction_mean,candidate_pair_reduction_sd,feasible_candidate_pairs_mean,feasible_candidate_pairs_sd,service_graph_pattern_count_mean,service_graph_pattern_count_sd,service_graph_feasible_count_mean,service_graph_feasible_count_sd,selected_sortie_count_mean,selected_sortie_count_sd,missed_service_count_mean,missed_service_count_sd,duplicate_service_count_mean,duplicate_service_count_sd,objective_rwct_mean,objective_rwct_sd,objective_makespan_mean,objective_makespan_sd,objective_ground_travel_mean,objective_ground_travel_sd,objective_q95_energy_mean,objective_q95_energy_sd,objective_missed_penalty_mean,objective_missed_penalty_sd,objective_duplicate_penalty_mean,objective_duplicate_penalty_sd,objective_total_mean,objective_total_sd,alns_accepted_moves_mean,alns_accepted_moves_sd,alns_improving_moves_mean,alns_improving_moves_sd,alns_rejected_moves_mean,alns_rejected_moves_sd,alns_best_updates_mean,alns_best_updates_sd,alns_objective_evaluations_mean,alns_objective_evaluations_sd,alns_score_cache_size_mean,alns_score_cache_size_sd,alns_repair_position_evaluations_mean,alns_repair_position_evaluations_sd,alns_portfolio_candidate_count_mean,alns_portfolio_candidate_count_sd,alns_selected_portfolio_infeasible_count_mean,alns_selected_portfolio_infeasible_count_sd,alns_selected_portfolio_rwct_mean,alns_selected_portfolio_rwct_sd,alns_selected_portfolio_makespan_mean,alns_selected_portfolio_makespan_sd,destroy_random_removal_uses_mean,destroy_random_removal_uses_sd,destroy_worst_energy_removal_uses_mean,destroy_worst_energy_removal_uses_sd,destroy_shaw_related_removal_uses_mean,destroy_shaw_related_removal_uses_sd,destroy_path_segment_removal_uses_mean,destroy_path_segment_removal_uses_sd,destroy_uav_chain_removal_uses_mean,destroy_uav_chain_removal_uses_sd,repair_greedy_insert_repair_uses_mean,repair_greedy_insert_repair_uses_sd,repair_regret_insert_repair_uses_mean,repair_regret_insert_repair_uses_sd,repair_energy_minimum_insert_repair_uses_mean,repair_energy_minimum_insert_repair_uses_sd,repair_synchronization_aware_insert_repair_uses_mean,repair_synchronization_aware_insert_repair_uses_sd,baseline_candidate_evaluations_mean,baseline_candidate_evaluations_sd,baseline_generations_mean,baseline_generations_sd,baseline_population_size_mean,baseline_population_size_sd,baseline_ant_count_mean,baseline_ant_count_sd,baseline_best_order_score_mean,baseline_best_order_score_sd,alns_risk_value_weight_mean,alns_risk_value_weight_sd,alns_adaptive_enabled_mean,alns_adaptive_enabled_sd,source,stress_case
alns_fixed,kmeans,M,50,25,high,10,282.269903,14.279998,251.400894,25.981895,2005.094964,95.981883,0.222543,0.059923,0.222543,0.059923,111.720896,12.588876,0.458333,0.148293,0.441667,0.136366,33.2,2.529822,1.514581,0.125079,0.0,0.0,2.097231,0.490429,494.071898,24.181385,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,148.2,1.75119,0.88144,0.001401,78.8,7.345445,7830.0,365.987249,600.9,81.40632,33.2,2.529822,0.0,0.0,0.0,0.0,111.720896,12.588876,282.269903,14.279998,215.486481,22.270196,3043.483733,228.775475,0.0,0.0,0.0,0.0,494.071898,24.181385,57.5,7.30677,29.2,5.473167,42.5,7.30677,10.4,2.458545,101.0,0.0,50.0,0.0,899.2,1.619328,1.0,0.0,0.0,0.0,111.720896,12.588876,282.269903,14.279998,13.8,4.022161,20.6,4.427189,24.9,5.762908,24.8,4.732864,15.9,3.541814,26.7,6.429965,21.6,6.095536,30.1,5.820462,21.6,4.033196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,P4_ablation,
alns_pinn,kmeans,M,50,25,high,10,282.269903,14.279998,251.400894,25.981895,2005.094964,95.981883,0.222543,0.059923,0.222543,0.059923,111.720896,12.588876,0.458333,0.148293,0.441667,0.136366,33.2,2.529822,1.514581,0.125079,0.0,0.0,2.151541,0.568915,494.071898,24.181385,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,148.2,1.75119,0.88144,0.001401,78.8,7.345445,7830.0,365.987249,600.9,81.40632,33.2,2.529822,0.0,0.0,0.0,0.0,111.720896,12.588876,282.269903,14.279998,215.486481,22.270196,3043.483733,228.775475,0.0,0.0,0.0,0.0,494.071898,24.181385,57.5,7.30677,29.2,5.473167,42.5,7.30677,10.4,2.458545,101.0,0.0,50.0,0.0,899.2,1.619328,1.0,0.0,0.0,0.0,111.720896,12.588876,282.269903,14.279998,13.8,4.022161,20.6,4.427189,24.9,5.762908,24.8,4.732864,15.9,3.541814,26.7,6.429965,21.6,6.095536,30.1,5.820462,21.6,4.033196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,P4_ablation,
alns_pinn_full,kmeans,M,50,25,high,10,308.141519,75.248211,362.925817,121.5335,2236.078545,86.758295,0.0,0.0,0.0,0.0,97.470022,13.079887,0.741667,0.264837,0.741667,0.264837,48.2,1.619328,1.038418,0.035527,0.0,0.0,1.848139,0.172125,7200.40602,1658.688575,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,148.2,1.75119,0.88144,0.001401,78.8,7.345445,7830.0,365.987249,148.2,28.467525,48.2,1.619328,0.0,0.0,0.0,0.0,97.470022,13.079887,294.178569,72.309032,283.006194,102.080278,3367.063538,218.455918,0.0,0.0,0.0,0.0,7200.40602,1658.688575,62.4,6.719788,27.0,5.617433,37.6,6.719788,3.1,2.078995,101.0,0.0,50.0,0.0,900.0,0.0,6.9,0.316228,0.0,0.0,97.470022,13.079887,294.178569,72.309032,12.2,2.780887,26.9,2.806738,22.8,5.633235,21.0,4.2947,17.1,5.839521,23.0,7.071068,24.5,4.089281,26.3,6.395311,26.2,9.052931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,P4_ablation,
alns_pinn_uq,kmeans,M,50,25,high,10,275.043899,22.569076,243.170922,35.707762,2166.695975,97.129576,0.02689,0.017862,0.02689,0.017862,108.910974,11.310522,0.45,0.089581,0.45,0.089581,40.9,2.282786,1.226015,0.070183,100.71184,67.22283,1.831248,0.361103,513.543955,22.364709,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,148.2,1.75119,0.88144,0.001401,78.8,7.345445,7830.0,365.987249,148.2,28.467525,40.9,2.282786,0.0,0.0,0.0,0.0,108.910974,11.310522,275.043899,22.569076,208.432219,30.606653,3287.809787,228.568703,0.0,0.0,0.0,0.0,513.543955,22.364709,62.5,7.677529,30.6,4.671426,37.5,7.677529,10.1,3.478505,101.0,0.0,50.0,0.0,900.0,0.0,1.0,0.0,0.0,0.0,108.910974,11.310522,275.043899,22.569076,14.6,4.835057,22.5,5.126185,22.9,4.306326,23.6,4.40202,16.4,5.103376,25.7,4.029061,22.5,7.214954,26.6,4.575296,25.2,6.629899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,P4_ablation,
no_adaptive,kmeans,M,50,25,high,10,282.442014,27.27888,254.477878,46.28566,2137.251973,120.892741,0.037565,0.024372,0.037565,0.024372,101.9684,8.813402,0.566667,0.116534,0.566667,0.116534,36.8,4.366539,1.377277,0.174966,136.19659,118.217471,1.557897,0.274181,504.737978,22.821857,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,148.2,1.75119,0.88144,0.001401,78.8,7.345445,7830.0,365.987249,148.2,28.467525,36.8,4.366539,0.0,0.0,0.0,0.0,101.9684,8.813402,282.442015,27.27888,218.123895,39.673423,3244.687854,272.705147,0.0,0.0,0.0,0.0,504.737978,22.821857,46.4,9.323805,21.7,3.917199,53.6,9.323805,4.0,3.018462,101.0,0.0,50.0,0.0,900.0,0.0,1.0,0.0,0.0,0.0,101.9684,8.813402,282.442015,27.27888,20.4,4.40202,17.9,2.233582,20.0,4.594683,19.5,4.648775,22.2,4.049691,25.3,5.012207,23.8,4.848826,24.9,3.381321,26.0,5.291503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,P4_ablation,
no_clustering,direct,M,50,25,high,10,369.558901,68.210353,414.09816,109.256225,2581.073211,135.929143,0.0,0.0,0.0,0.0,110.317967,11.191565,0.816667,0.244697,0.816667,0.244697,46.4,2.951459,1.081834,0.074324,0.0,0.0,1.64828,0.310604,8654.087224,1687.032481,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,1250.0,0.0,0.0,0.0,74.8,8.093893,8237.1,272.566995,119.5,24.847312,46.4,2.951459,0.0,0.0,0.0,0.0,110.317967,11.191565,350.755211,70.32621,324.105589,96.557842,3887.834799,287.946094,0.0,0.0,0.0,0.0,8654.087224,1687.032481,56.4,11.047373,25.8,5.996295,43.6,11.047373,4.6,3.306559,101.0,0.0,50.0,0.0,900.0,0.0,6.7,0.483046,0.0,0.0,110.317967,11.191565,350.755211,70.32621,12.4,3.373096,21.1,6.026792,23.7,4.762119,24.7,8.069834,18.1,3.695342,31.4,4.299871,20.5,4.836206,23.9,5.820462,24.2,4.54117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,P4_ablation,
no_energy_repair,kmeans,M,50,25,high,10,278.203485,21.651554,262.165693,28.99011,2137.512561,96.317766,0.028572,0.018363,0.028572,0.018363,105.808849,13.739881,0.491667,0.14933,0.483333,0.145933,38.5,3.566822,1.309416,0.128967,135.21956,108.607446,1.901995,0.307504,508.278056,26.280729,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,148.2,1.75119,0.88144,0.001401,78.8,7.345445,7830.0,365.987249,148.2,28.467525,38.5,3.566822,0.0,0.0,0.0,0.0,105.808849,13.739881,278.203485,21.651554,224.713451,24.848666,3243.571643,226.876748,0.0,0.0,0.0,0.0,508.278056,26.280729,57.8,7.20802,24.8,3.32666,42.2,7.20802,2.9,1.286684,101.0,0.0,50.0,0.0,900.0,0.0,1.0,0.0,0.0,0.0,105.808849,13.739881,278.203485,21.651554,15.4,3.470511,27.5,7.604823,22.0,4.921608,19.4,5.541761,15.7,4.854551,33.8,7.627436,34.8,7.554248,0.0,0.0,31.4,6.785606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,P4_ablation,
no_pinn,kmeans,M,50,25,high,10,282.269903,14.279998,251.400894,25.981895,2005.094964,95.981883,0.222543,0.059923,0.222543,0.059923,111.720896,12.588876,0.458333,0.148293,0.441667,0.136366,33.2,2.529822,1.514581,0.125079,0.0,0.0,2.134711,0.537421,494.071898,24.181385,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,148.2,1.75119,0.88144,0.001401,78.8,7.345445,7830.0,365.987249,600.9,81.40632,33.2,2.529822,0.0,0.0,0.0,0.0,111.720896,12.588876,282.269903,14.279998,215.486481,22.270196,3043.483733,228.775475,0.0,0.0,0.0,0.0,494.071898,24.181385,57.5,7.30677,29.2,5.473167,42.5,7.30677,10.4,2.458545,101.0,0.0,50.0,0.0,899.2,1.619328,1.0,0.0,0.0,0.0,111.720896,12.588876,282.269903,14.279998,13.8,4.022161,20.6,4.427189,24.9,5.762908,24.8,4.732864,15.9,3.541814,26.7,6.429965,21.6,6.095536,30.1,5.820462,21.6,4.033196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,P4_ablation,
no_risk_value,kmeans,M,50,25,high,10,275.043899,22.569076,243.170922,35.707762,2166.695975,97.129576,0.02689,0.017862,0.02689,0.017862,108.910974,11.310522,0.45,0.089581,0.45,0.089581,40.9,2.282786,1.226015,0.070183,100.71184,67.22283,1.920835,0.491167,513.543955,22.364709,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,148.2,1.75119,0.88144,0.001401,78.8,7.345445,7830.0,365.987249,148.2,28.467525,40.9,2.282786,0.0,0.0,0.0,0.0,108.910974,11.310522,275.043899,22.569076,208.432219,30.606653,3287.809787,228.568703,0.0,0.0,0.0,0.0,513.543955,22.364709,62.5,7.677529,30.6,4.671426,37.5,7.677529,10.1,3.478505,101.0,0.0,50.0,0.0,900.0,0.0,1.0,0.0,0.0,0.0,108.910974,11.310522,275.043899,22.569076,14.6,4.835057,22.5,5.126185,22.9,4.306326,23.6,4.40202,16.4,5.103376,25.7,4.029061,22.5,7.214954,26.6,4.575296,25.2,6.629899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,P4_ablation,
no_sync_repair,kmeans,M,50,25,high,10,292.068052,24.64907,259.339764,34.972448,2108.734788,103.345045,0.029219,0.019318,0.029219,0.019318,106.364714,11.245456,0.533334,0.131468,0.533334,0.131468,35.0,3.771236,1.443595,0.155797,148.03471,119.537565,1.616227,0.138013,507.08991,21.951963,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,148.2,1.75119,0.88144,0.001401,78.8,7.345445,7830.0,365.987249,148.2,28.467525,35.0,3.771236,0.0,0.0,0.0,0.0,106.364714,11.245456,292.068052,24.64907,222.291226,29.976384,3200.824641,245.236607,0.0,0.0,0.0,0.0,507.08991,21.951963,56.4,5.738757,25.1,3.3483,43.6,5.738757,3.9,2.726414,101.0,0.0,50.0,0.0,900.0,0.0,1.0,0.0,0.0,0.0,106.364714,11.245456,292.068052,24.64907,13.1,2.923088,25.1,5.40473,22.3,5.755191,21.2,4.263541,18.3,4.001389,32.0,7.133645,32.7,7.364328,35.3,6.58365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,P4_ablation,
