id,x,y,risk,value,service_time,payload,segment,risk_value,case,kind
0,-8.833146,6.412064,0.3975,92.7125,5.09,0.9755,0.0,36.85321875,Bay Area,tower
1,-7.949019,-10.751274,0.421,95.415,5.184,1.1357,0.0,40.169715000000004,Bay Area,tower
2,-7.416315,3.180568,0.5708,112.642,5.7832,0.8123,0.0,64.2960536,Bay Area,tower
3,-6.990293,-9.839664,0.3159,83.3285,4.7636,0.7137,0.0,26.32347315,Bay Area,tower
4,-6.776982,-8.325887,0.5141,106.1215,5.5564,1.2294,0.0,54.55706315,Bay Area,tower
5,-6.543009,-8.223377,0.543,109.445,5.672,1.0558,0.0,59.428635,Bay Area,tower
6,-6.436521,4.641194,0.594,115.31,5.876,0.9331,0.0,68.49414,Bay Area,tower
7,-6.206514,3.579592,0.4747,101.5905,5.3988,0.7904,0.0,48.225010350000005,Bay Area,tower
8,-6.148637,-1.24007,0.3945,92.3675,5.078,1.3205,0.0,36.438978750000004,Bay Area,tower
9,-6.124106,4.293409,0.5141,106.1215,5.5564,0.5721,0.0,54.55706315,Bay Area,tower
10,-6.111695,-1.887503,0.3928,92.172,5.0712,0.8048,0.0,36.2051616,Bay Area,tower
11,-6.093746,1.209046,0.4402,97.623,5.2608,1.0188,0.0,42.9736446,Bay Area,tower
12,-6.082412,0.222846,0.6585,122.7275,6.134,1.2605,0.0,80.81605875,Bay Area,tower
13,-5.994298,-3.055986,0.5508,110.342,5.7032,1.3817,0.0,60.77637359999999,Bay Area,tower
14,-5.800562,4.650434,0.4345,96.9675,5.238,1.0309,0.0,42.13237875,Bay Area,tower
15,-5.730335,-6.775061,0.7198,129.777,6.3792,1.2947,0.0,93.41348459999999,Bay Area,tower
16,-5.631692,4.724901,0.4534,99.141,5.3136,0.6314,0.0,44.95052940000001,Bay Area,tower
17,-5.450826,-4.482396,0.6575,122.6125,6.13,0.9195,0.0,80.61771875,Bay Area,tower
18,-5.005909,4.943077,0.4762,101.763,5.4048,1.1048,0.0,48.459540600000004,Bay Area,tower
19,-4.139201,5.233797,0.637,120.255,6.048,0.9845,0.0,76.602435,Bay Area,tower
20,-3.737516,5.131297,0.6786,113.039,6.2144,1.3254,1.0,76.7082654,Bay Area,tower
